A Goblin standard;Uno standard dei Goblin
Abyssal demon head;Testa di demone abissale
Ali M's Market;Il mercato di Ali M
Ancient brazier;Antico braciere
Baker's Stall;La bancarella del panettiere
Bakery stall;Bancarella di panetteria
Bamboo Gate;Porta di bambù
Bank deposit box;Cassetta di deposito bancario
Arrows;Frecce
Asgarnian Hops;Luppolo Asgarniano
Asgarnian ale;Birra asgarniana
Ash pile;Mucchio di cenere
Avalanche;Valanga
Banana tree;Albero di banane
Banana tree stump;Ceppo di banano
Apple Press;Apple Press
Armour display;Esposizione dell'armatura
Attack stone;Pietra d'attacco
Badly repaired wall;Muro mal riparato
Bags for sale;Borse in vendita
Bamboo Ladder;Scaletta Di Bambù
Bank Deposit Box;Cassetta di deposito bancaria
Apparatus;Apparato
Apple tree;Melo
Arena Entrance;Ingresso all'Arena
Artefact;Artefatto
Axeman's Folly;La follia di Axeman
Bank Deposit Chest;Cassa di deposito bancario
Apple basket;Cesto di mele
Apple tree stump;Ceppo di melo
Aquarium;Acquario
Arceuus Library Portal;Portale della Biblioteca Arceuus
Armour;Armatura
Armour stand;Supporto per armatura
Bamboo Stool;Sgabello in bambù
Bank Chest-wreck;Naufragio della cassa della banca
Backpack;Zaino
Baker's stall;La bancarella di Baker
Bamboo Bookcase;Libreria in bambù
Bank Table;Tavolo bancario
Bank counter;Sportello bancario
Arcane crystal;Cristallo arcano
Arceuus statue;Statua di Arceuo
Arena space;Spazio arena
Arrav;Arrav
Banana Tree;Albero di banane
Appendage;Appendice
Arctic Pine;Pino artico
Ardougne Wall Door;Porta a muro di Ardougne
Artefacts;Manufatti
Baby red dragon;Cucciolo di drago rosso
Bank Box;Casella bancaria
Bank light;Luce della banca
Arm;Braccio
Armour space;Spazio armatura
Attacker item machine;Macchina per gli oggetti dell'attaccante
Apple Tree;Albero di mele
Arch;Arco
Armadyl armour display case;Vetrina per armatura Armadyl
Armour stall;Stallo dell'armatura
Axe case;Caso dell'ascia
Axes;Assi
Ballista;Balista
Bamboo Pipes;Tubi di bambù
Arena;Arena
Armour repair stand;Supporto per riparazione armature
Attas plant display;Esposizione delle piante di Attas
Awakened Altar;Altare risvegliato
Bandage table;Tavolo per bendaggi
Bank;Banca
Armour case;Custodia per armatura
Attas plant;Pianta di Attas
Bamboo Door;Porta di bambù
Bank chest;Cassapanca della banca
Archery target;Bersaglio del tiro con l'arco
Armadyl altar;Altare Armadilico
Armed Forces Report;Rapporto delle Forze Armate
Arrow;Freccia
Aspidistra plant;Pianta dell'aspidistra
Awowogei;Awowogei
Bailing buckets;Secchi di salvataggio
Ball;Palla
Bandos altar;Altare di Bandos
Bandos armour display case;Vetrina per armatura Bandos
Archway;Arco
Argento;Argento
Asgarnian Ale;Birra Asgarniana
Astronomical chart;Carta astronomica
Aviary Hatch;Portello della voliera
Balancing ledge;Sporgenza di bilanciamento
Bamboo Desk;Scrivania in bambù
Bank Deposit Pot;Deposito bancario
Bank booth;Cabina bancaria
Ape Atoll Dungeon Portal;Portale del dungeon dell'Ape Atoll
Ardougne Portal;Portale di Ardougne
Arena Exit;Uscita dall'Arena
Balance beam;Trave di equilibrio
Balancing rope;Corda d'equilibrio
Bamboo Bed;Letto in bambù
Bank notice board;Bacheca della banca
Armillary sphere;Sfera armillare
Armour case space;Spazio per la custodia dell'armatura
Axe cabinet;Armadietto dell'ascia
Bank Booth;Cabina della banca
Bank safe;Banca sicura
Barbarian chair;Sedia barbarica
Barrel of Water;Barile d'acqua
Barren patch;Zona sterile
Basket;Cestino
Beer barrels;Botti di birra
Big Plant space 2;Spazio grande pianta 2
Banner stand space;Spazio per stand banner
Barley;Orzo
Barrel of flour;Barile di farina
Beacon;Faro
Bell-pull;Suonare il campanello
Belladonna;Belladonna
Big hole;Grande buco
Big plant 2;Pianta grande 2
Big window;Grande finestra
Bath screen;Schermo da bagno
Bathtub;Vasca
Bed space;Spazio letto
Big Door;Grande Porta
Bank papers;Documenti bancari
Barrel of Spears;Barile di lance
Barricade;Barricata
Barronite Crusher;Frantoio Barronite
Beard;Barba
Bellshroom;Campana
Banner stand;Supporto per striscioni
Barbarian anvil;Incudine barbarica
Barrel space;Spazio in botte
Bath pipes;Tubi da bagno
Bay window;Finestra a bovindo
Beetle;Scarafaggio
Biclopse;Biclosse
Bank table;Tavolo della banca
Barbarian table;Tavola barbarica
Barrel of fishbones;Barile di lische di pesce
Barrel rack;Portabotti
Beam;Trave
Beanstalk;Fagiolo magico
Bedroom door;Porta della camera da letto
Bell mechanism;Meccanismo a campana
Bar;Sbarra
Bar pumps;Pompe da barra
Basket Fungi;Funghi del cestino
Beehive;Alveare
Big beer barrel;Grande botte di birra
Big chest;Grande petto
Barrel of fish;Barile di pesce
Big egg;Grande uovo
Banquet table;Tavolo per banchetti
Barge controls;Controlli sulle chiatte
Bars;Barre
Basalt rock;Roccia basaltica
Battle tower;Torre di battaglia
Battlement;Merlatura
Beach;Spiaggia
Beacon.;Faro.
Bellows;Soffietto
Big door;Grande porta
Big, foot print;Grande, impronta del piede
Banner making stand;Stand per la realizzazione di striscioni
Barbarian bed;Letto barbaro
Barrel;Barile
Basic Jewellery Box;Portagioie di base
Battlefront Portal;Portale del fronte di battaglia
Bear droppings;Escrementi di orso
Belladonna patch;Patch di Belladonna
Big Button;Pulsante grande
Big, big boulder...;Grande, grande masso...
Bell rope;Corda di campana
Big Tree space;Spazio grande albero
Big plant;Grande pianta
Bar dispenser;Distributore di barre
Bed hotspot;Punto caldo del letto
Bell;Campana
Big Compost Bin;Contenitore per compost grande
Barrels;Botti
Barrier;Barriera
Barstool;Sgabello da bar
Battlements;Merli
Bean Mound;Tumulo di fagioli
Beanstump;Fagiolo
Bed;Letto
Big Plant space 1;Spazio grande pianta 1
Barricade table;Tavolo da barricata
Barrow;Carriola
Barrows Portal;Portale di Barrows
Basilisk head;Testa di basilisco
Beer barrel;Barile di birra
Bell pull space;Spazio per tirare il campanello
Bells;Campane
Betty's cauldron;Il calderone di Betty
Banner;Stendardo
Barrel of Mud;Barile di fango
Bath;Bagno
Bathroom table;Tavolo da bagno
Battering ram;Ariete
Bench;Panca
Big fish;Pesce grosso
Big vase;Grande vaso
Black Chest;Petto Nero
Blockage;Blocco
Boat Chute;Scivolo della barca
Bob's barrel;La canna di Bob
Bonfire;Falò
Bottle machine;Macchina per bottiglie
Bow and arrow;Arco e freccia
Bird feeder;Mangiatoia per uccelli
Blighted vine;Vite rovinata
Blood Altar;Altare del Sangue
Bologano seedling;Piantina bolognese
Boulder;Masso
Blacksmith's tools;Gli strumenti del fabbro
Blighted Logavano plant;Pianta di Logavano rovinata
Blisterwood Tree;Albero di legno di vesciche
Blue Flowers;Fiori blu
Blue banner;Bandiera blu
Blue flowers;Fiori blu
Boiler;Caldaia
Bonzo's Table;La Tavola di Bonzo
Books;Libri
Blighted Bologano plant;Pianta di Bolognano rovinata
Blindweed Patch;Patch di erba cieca
Bone barrel;Barilotto d'osso
Bitternut Tree;Albero di noce amara
Black hole;Buco nero
Blocked volcanic chamber;Camera vulcanica bloccata
Blood rift;Spaccatura di sangue
Blooming Hespori sprout;Germoglio di Hespori in fiore
Book Cart;Carrello dei libri
Boss lair space;Spazio nella tana del boss
Birthday cake;Torta di compleanno
Blocked Crevice;Crepaccio bloccato
Blocked entry;Ingresso bloccato
Bone door;Porta d'osso
Bookcase space;Spazio libreria
Bird cage stand;Supporto per gabbia per uccelli
Birdhouse;Casetta per gli uccelli
Blighted Bologano seedling;Piantina di Bologano rovinata
Blighted Golovanova seedling;Piantina di Golovanova rovinata
Blue Barrier;Barriera Blu
Boils;Bolle
Bone Chain;Catena ossea
Blade;Lama
Blighted Logavano seedling;Piantina di Logavano rovinata
Blood Stinktree;Albero Puzzolente di Sangue
Boards;Tavole
Boaty;Boaty
Bog;Palude
Bookcase;Libreria
Bird hide structure;Struttura in pelle di uccello
Blocked tunnel;Tunnel bloccato
Blue door;Porta blu
Boat;Barca
Bin;Bidone
Blue tears;Lacrime blu
Bowl;Ciotola
Bird snare;Laccio per uccelli
Bluebells;Campanule
Bone support;Supporto osseo
Book table;Tavolo da libro
Bookshelves;Scaffali
Boundary stones;Pietre di confine
Bow cabinet;Mobile di prua
Birdseed holder;Porta becchime
Black crystal;Cristallo nero
Blacksmiths' tools;Strumenti dei fabbri
Blood;Sangue
Boarded-up door;Porta sbarrata
Bones;Ossa
Bottle Machine;Macchina per bottiglie
Bitternut Sign;Segno della noce amara
Blackboard;Lavagna
Body rift;Spaccatura del corpo
Boil;Bollire
Bone rack;Rastrelliera per ossa
Boney ladder;Scala ossea
Bookshelf;Libreria
Bottle;Bottiglia
Bow case;Custodia per arco
Birdhouse (empty);Casetta per gli uccelli (vuota)
Bittercap Mushrooms;Funghi amaro
Blood Orb;Sfera di sangue
Blue Water Sign;Segno dell'acqua blu
Blue chemical;Prodotto chimico blu
Blurberry bar;Barra di mirtilli
Boat station;Stazione dei battelli
Bologano plant;Stabilimento Bolognano
Bone Crane;Gru ossea
Bone arch;Arco osseo
Bone grinder;Macinino per ossa
Black mushrooms;Funghi neri
Blood Stinkhorn;Corno Puzzolente di Sangue
Boulders;Massi
Bow and Arrow;Arco e freccia
Blighted Golovanova plant;Pianta rovinata di Golovanova
Blocked Tunnel;Tunnel bloccato
Blood crystal;Cristallo di sangue
Blue Fire;Fuoco Blu
Boss lair display;Visualizzazione della tana del boss
Branch;Ramo
Broken Roof;Tetto rotto
Broken Table;Tavolo rotto
Broken chain;Catena rotta
Broken experiment tube;Provetta rotta
Broken kiln;Forno rotto
Broken rowboat;Barca a remi rotta
Brick;Mattone
Broken Brazier;Braciere rotto
Broken Fountain;Fontana rotta
Broken Grate;Griglia rotta
Broken door;Porta rotta
Bridge;Ponte
Broken Fire altar;Altare del fuoco rotto
Broken battering ram;Ariete rotto
Broken fence;Recinzione rotta
Broken stairs;Scale rotte
Box of Health;Scatola della salute
Brew Barrel;Barile di birra
Broken Cannon;Cannone rotto
Broken Mirror;Specchio rotto
Broken Plantpot;Vaso rotto
Broken Railing;Ringhiera rotta
Broken bridge;Ponte rotto
Broken mace trap;Trappola per mazza rotta
Broken pillar;Pilastro rotto
Broken rock;Roccia rotta
Broken spinning wheel;Ruota che gira rotta
Broken altar;Altare rotto
Broken crossbow;Balestra rotta
Boxing ring;Anello di boxe
Broken Range;Gamma interrotta
Broken Statue;Statua rotta
Broken cogs;Ingranaggi rotti
Broken counter;Contatore rotto
Broken drilling machine;Trapano rotto
Box;Scatola
Box trap;Trappola a scatola
Bricks;Mattoni
Broken Shelves;Scaffali rotti
Broken boat;Barca rotta
Broken cannon;Cannone rotto
Broken cart wheel;Ruota del carrello rotta
Broken fish display;Display del pesce rotto
Broken mast;Albero rotto
Broken snare;Laccio rotto
Brewing vat;Tino di birra
Broken Cupboard;Armadio rotto
Broken Drawers;Cassetti rotti
Broken range;Gamma interrotta
Broken rope bridge;Ponte di corda rotto
Box of bones;Scatola di ossa
Broken Dresser;Comò rotto
Broken Fence;Recinzione rotta
Broken Grandiose Doors;Porte grandiose rotte
Broken Spinning Wheel;Rotella di filatura rotta
Broken stool;Sgabello rotto
Brazier;Braciere
Broken Door;Porta rotta
Broken Scaffold;Impalcatura rotta
Broken Well;Rotto bene
Broken machinery;Macchinari rotti
Broken rail;Binario rotto
Broken Chair;Sedia rotta
Brewing control;Controllo della birra
Broken Grandfather Clock;Orologio a pendolo rotto
Broken Raft;Zattera rotta
Broken Sink;Lavello rotto
Broken catapult;Catapulta rotta
Broken furnace;Fornace rotta
Broken ladder;Scala rotta
Boxes;Scatole
Boxing mat;Tappetino da boxe
Broken barrel;Canna rotta
Broken beer glass;Bicchiere di birra rotto
Broken cage;Gabbia rotta
Broken lobster trap;Trappola per aragoste rotta
Broken log raft;Zattera di tronchi rotta
Box cart;Carrello a scatola
Bright crystal;Cristallo brillante
Brimstone chest;Petto di zolfo
Broken Cart;Carrello rotto
Broken bath;Bagno rotto
Broken cart;Carrello rotto
Broken dead tree;Albero morto rotto
Broken equipment table;Tavolo dell'attrezzatura rotto
Bowsprit;Bompresso
Brewer's Barrel;Barile di birra
Broken Bed;Letto rotto
Broken Cabinet;Gabinetto rotto
Broken Lecturn;Leggio rotto
Broken Old Bookshelf;Vecchia libreria rotta
Broken Potter's Wheel;Il tornio del vasaio rotto
Broken Wall;Muro rotto
Broken chair;Sedia rotta
Broken ground;Terra spezzata
Broken lamp;Lampada rotta
Broken logs;Tronchi rotti
Broken multicannon;Multicannone rotto
Broken rune case;Custodia con rune rotte
Broken sun altar;Altare del sole rotto
Bush Patch;Toppa di Bush
Bust;Torace
Candle;Candela
Candlestick holder;Portacandele
Cape of Legends;Capo delle leggende
Broken wall;Muro rotto
Burial cairn;Tumulo funerario
Cactus;Cactus
Carol's barrel;Il barile di Carol
Bruma roots;Radici di Bruma
Camel's statue;La statua del cammello
Camping equipment;Attrezzatura da campeggio
Camping gear;Attrezzatura da campeggio
Cannonball;Palla di cannone
Carpet;Tappeto
Bronze axe;Ascia di bronzo
Bucket;Secchio
Buffers;Buffer
Buffet table;Tavolo da buffet
Cadarn Banner;Stendardo Cadarno
Cart Camel;Carrello Cammello
Bronze Chest;Cassapanca in bronzo
Camorra;Camorra
Camp fire;Fuoco da campo
Cape rack space;Spazio per il mantello
Carcass;Carcassa
Carrot;Carota
Carved doors;Ante intagliate
Camping fire;Fuoco da campeggio
Canal wall;Muro del canale
Candles;Candele
Cannon;Cannone
Cart;Carrello
Bull's head;Testa di toro
Bullrushes;Giunchi
Burning bones;Ossa in fiamme
Cabbage;Cavolo
Cage door;Porta della gabbia
Calquat Tree;Albero Calquat
Campfire;Falò
Cannonballs;Palle di cannone
Broken support;Supporto rotto
Buckets;Secchi
Bunsen burner;Becco Bunsen
Cabbages;Cavoli
Cannon stand;Supporto per cannone
Bronze Door;Porta di bronzo
Bunk bed;Letto a castello
Burning brazier;Braciere ardente
Burnt tree;Albero bruciato
Cart track sign;Cartello traccia del carrello
Broken strut;Puntone rotto
Bubbles;Bolle
Cactus patch;Patch di cactus
Cage;Gabbia
Campbed;Campeggiato
Canary;Canarino
Bryophyta display;Esposizione di briofite
Bucket of Blood;Secchio di sangue
Budding branch;Ramo in erba
Burnt chest;Petto bruciato
Burrow;Tana
Cabinet;Mobiletto
Candle stand;Supporto per candele
Cannon barrels;Canne di cannone
Canopic Jar;Vaso canopo
Cape hanger;Appendiabiti per mantello
Bronze pickaxe;Piccone in bronzo
Burning driftwood;Legni che bruciano
Cadavaberry bush;Cespuglio di bacche di Cadava
Campsite bed;Letto da campeggio
Cannon base;Base del cannone
Cart Track;Pista del carrello
Broom;Scopa
Cadava bush;Cespuglio di cadava
Broken table;Tavolo rotto
Broken trap(0);Trappola rotta(0)
Buried skeleton;Scheletro sepolto
Candelabrum;Candelabro
Canoe Station;Stazione della canoa
Carpet Exhibit;Mostra di tappeti
Cart tunnel;Tunnel del carrello
Burial mound;Tumulo funerario
Buried artefact;Manufatto sepolto
Burnt rock;Roccia bruciata
Cable;Cavo
Calquat patch;Patch di Calquat
Captain's Table;Tavolo del Capitano
Carpet hotspot;Punto caldo del tappeto
Carrallangar Portal;Portale Carrallangar
Broken weapons;Armi rotte
Bunkbed;Letto a castello
Burst boil;Bollire a scoppio
Bush;Cespuglio
Button;Pulsante
Cabinet space;Spazio nell'armadio
Cages;Gabbie
Camelot Portal;Portale di Camelot
Canal barge;Chiatta sul canale
Cat;Gatto
Cave gobins;Gobin delle caverne
Celastrus tree stump;Ceppo di albero di Celastrus
Cell wall window;Finestra sulla parete cellulare
Ceremonial table;Tavolo cerimoniale
Chair;Sedia
Chamber;Camera
Carved teak bench;Panca in teak intagliato
Castle Wars portal;Portale di Castle Wars
Catherby Portal;Portale Catherby
Cave wall;Muro della grotta
Ceremonial Pillow;Cuscino cerimoniale
Chalk patterns;Modelli di gesso
Chaos rift;Spaccatura del caos
Chemical vent (red);Sfiato chimico (rosso)
Ceremonial Pillar;Pilastro cerimoniale
Chemical waste pipe;Tubo per rifiuti chimici
Carved oak bench;Panca in rovere intagliato
Carved redwood;Sequoia intagliata
Cavern entrance;Ingresso della caverna
Cemetery Portal;Portale del cimitero
Centre of crop circle;Centro del cerchio nel grano
Centrepiece space;Spazio centrotavola
Charms;Incantesimi
Chemical pool;Piscina chimica
Cat basket space;Spazio nella cesta per gatti
Cauldron;Calderone
Cave Exit;Uscita della grotta
Cave entrance;Ingresso della grotta
Ceiling support;Supporto a soffitto
Cell Door;Porta della cella
Chain;Catena
Challenge portal;Portale delle sfide
Chandelier;Lampadario
Charm of Boost;Fascino della spinta
Charm of Fishing;Fascino della pesca
Cheese;Formaggio
Catapult-winch;Verricello catapulta
Cavity;Cavità
Celastrus tree;Albero di Celastro
Charm of Luck;Fascino della fortuna
Castle door;Porta del castello
Castle wall;Muro del castello
Cat Shrine;Santuario dei gatti
Cat basket;Cestino per gatti
Catapult-lever;Leva della catapulta
Ceremonial Brazier;Braciere cerimoniale
Chambers of Xeric;Camere di Xeric
Chasm;Abisso
Chemistry Table;Tabella di chimica
Castle Gates;Porte del castello
Cave web;Rete di caverne
Cavern;Caverna
Cerberus Topiary;Topiaria di Cerbero
Certificate of healing;Certificato di guarigione
Chains;Catene
Chart;Grafico
Carved rock;Roccia scolpita
Casual;Casuale
Cave in;Caverna
Cave rocks;Rocce della grotta
Ceremonial Pillow Stack;Pila di cuscini cerimoniali
Charred bones;Ossa carbonizzate
Chemical vent (blue);Sfiato chimico (blu)
Carved head;Testa scolpita
Catapult;Catapulta
Cell wall;Parete cellulare
Centre piece;Pezzo centrale
Changing Curtain;Cambiare la tenda
Charcoal furnace;Fornace a carbone
Charm of Defence;Fascino della difesa
Chef's Delight;La delizia dello chef
Carved log;Tronco intagliato
Cave Entrance;Ingresso della grotta
Cave exit;Uscita della grotta
Celastrus patch;Cerotto Celastro
Cellar stairs;Scale della cantina
Chaise lounge;Chaise longue
Chaos altar;Altare del caos
Charm of Preparation;Fascino della preparazione
Chest of Champions;Forziere dei Campioni
Cauldron of Thunder;Calderone del Tuono
Cavern exit;Uscita della caverna
Cell door;Porta della cella
Chair space;Spazio per sedie
Champion Statue;Statua del campione
Chemical vent (green);Sfiato chimico (verde)
Chest;Petto
Cave;Grotta
Cave opening;Apertura della grotta
Cell Gate;Porta della cella
Cello;Violoncello
Chalice;Calice
Charm of Mining;Fascino dell'estrazione mineraria
Chess;Scacchi
Carving;Intaglio
Celestial globe;Globo celeste
Cenotaph;Cenotafio
Cerberus display;Visualizzazione di Cerbero
Chair hotspot;Punto caldo della sedia
Chopped tendrils;Viticci tritati
Circle;Cerchio
City gate;Porta della città
Coin Collector;Collezionista di monete
Compost;Compost
Clan banner;Stendardo del clan
Clay fireplace;Camino in argilla
Clock spindle;Fuso dell'orologio
Cog;Ingranaggio
Colony gate;Porta della colonia
Combat dummy;Manichino da combattimento
Compromised support;Supporto compromesso
Christmas curtains;Tende natalizie
Church organ;Organo da chiesa
Clan Cup portal;Portale della Coppa del Clan
Clay Oven;Forno di argilla
Closed booth;Stand chiuso
Cloth;Stoffa
Column;Colonna
Citizen;Cittadino
Cleaning supplies;Prodotti per la pulizia
Clothes;Vestiti
Clothes rack;Appendiabiti
Clay forge;Fucina di argilla
Collapsed wall;Muro crollato
Combat ring space;Spazio dell'anello di combattimento
Chicken coop;Pollaio
Chimney pipe;Canna fumaria
Clothing shelves;Scaffali per abbigliamento
Coal;Carbone
Coffin;Bara
Coke;Coke
Compost Bin;Contenitore per compost
Chicken Shrine;Santuario del pollo
Clan Coffer;Forziere del clan
Clan hall portal;Portale della sala del clan
Climbing net;Rete da arrampicata
Clock;Orologio
Cloth covered table;Tavolo rivestito in stoffa
Clothes equipment;Attrezzatura per l'abbigliamento
Cloud bank;Banca delle nuvole
Clump of rocks;Ciuffo di rocce
Cogs;Ingranaggi
Combat Scroll;Pergamena di combattimento
Competitive;Competitivo
Connection pipe;Tubo di collegamento
Choc-Ice Stall;Bancarella di cioccolato e ghiaccio
Cider;Sidro
Clam;Vongola
Clan recruitment board;Consiglio di reclutamento del clan
Coffin hotspot;Punto caldo della bara
Combat ring;Anello da combattimento
Compost heap;Mucchio di compost
Chronicles of Xeric;Cronache di Xeric
Closed Chest;Petto chiuso
Confusing door;Porta confusa
Connected stalagmites;Stalagmiti collegate
Church pew;Banco della chiesa
Clay oven;Forno di argilla
Closed bank booth;Cabina bancaria chiusa
Chimney;Camino
Clan Wars portal;Portale delle guerre tra clan
Coins;Monete
Consecrated house;Casa consacrata
Chest pieces;Pezzi di petto
Christmas-Spirit Tree;Albero dello spirito natalizio
Clock face;Quadrante dell'orologio
Clothes model;Modello di vestiti
Clothes stall;Bancarella di vestiti
Coal Tar;Catrame di carbone
Chimney Pipe;Tubo del camino
Cider barrel;Barile di sidro
Cliff;Scogliera
Cliff edge;Bordo della scogliera
Climbing rope;Corda da arrampicata
Cloak rack;Appendiabiti
Clothes line;Linea di vestiti
Cockatrice head;Testa di Cocatrice
Cocoon;Bozzolo
Coffer;Forziere
Compromised floorboards;Assi del pavimento compromesse
Chicken;Pollo
Child's bed;Letto per bambini
Chopping table;Tavolo da taglio
Clan Cup Trophy;Trofeo Coppa del Clan
Climbing Net;Rete da arrampicata
Climbing rocks;Arrampicata su rocce
Closed chest;Petto chiuso
Clothes Stand;Stand di vestiti
Coal Truck;Camion del carbone
Coat rack;Appendiabiti
Collector Converter;Convertitore da collezione
City Gate;Porta della città
Clarinet;Clarinetto
Climbing Rope;Corda da arrampicata
Clockmaking space;Spazio dell'orologeria
Combat dummy space;Spazio fittizio da combattimento
Console;Consolle
Clockmaker's bench;Banco dell'orologiaio
Collapsed trap;Trappola crollata
Cooker;Fornello
Crevasse;Crepaccio
Crumbled wall;Muro sgretolato
Crutch;Stampella
Crwys Banner;Stendardo di Crwys
Crystal Dispenser;Dispenser di cristallo
Crystal tree patch;Toppa con albero di cristallo
Corporeal Beast display;Esposizione di bestie corporee
Cow wheel;Ruota di mucca
Crack;Crepa
Crowd of dwarves;Folla di nani
Crypt;Cripta
Cupboard;Credenza
Copper Ladder;Scala in rame
Counter;Contatore
Crab Shell;Guscio di granchio
Crashed glider;Aliante precipitato
Crossbow;Balestra
Crossbow stall;Stalla della balestra
Crypt Entrance;Ingresso della Cripta
Crystal ball space;Spazio della sfera di cristallo
Corpse;Cadavere
Crossbowman Statue;Statua del balestriere
Crystal outcrop;Affioramento di cristallo
Crystal structure;Struttura cristallina
Crystalline structure;Struttura cristallina
Coolant Dispenser;Erogatore del liquido refrigerante
Cosmic rift;Spaccatura cosmica
Council members;Membri del Consiglio
Court judge;Giudice della Corte
Crate of rune caskets;Cassa di scrigni runici
Crate of wands;Cassa di bacchette
Crusher;Frantoio
Cube Pile;Pila di cubi
Cooking shelves;Ripiani di cottura
Crafting Stall;Stalla di lavorazione
Crystal Deposit;Deposito di cristalli
Crystal of power;Cristallo di potere
Curling plant;Pianta d'arricciatura
Conveyor Belt;Nastro trasportatore
Cooking Pots;Pentole da cucina
Crafting stall;Bancarella di lavorazione
Crashed Star;Stella schiantata
Crib;Culla
Crossbow Tree;Albero della balestra
Crystal tree;Albero di cristallo
Control panel;Pannello di controllo
Conveyor belt;Nastro trasportatore
Cooking pot;Pentola da cucina
Corpses;Cadaveri
Cracked wall;Muro rotto
Craft stall;Bancarella artigianale
Crazy penguin;Pinguino pazzo
Creeping plant;Pianta strisciante
Cross;Attraverso
Crow nest;Nido di corvo
Crude boat;Barca grezza
Crystal bomb;Bomba di cristallo
Crystals;Cristalli
Corporeal Beast Display;Esposizione di bestie corporee
Corrupt Deposit;Deposito corrotto
Corrupt Deposit (Depleted);Deposito corrotto (esaurito)
Creeping Plant;Pianta strisciante
Crude raft;Zattera grezza
Crystal Sceptre;Scettro di cristallo
Crystal Staircase;Scala Di Cristallo
Container;Contenitore
Crawling hand;Mano che striscia
Crystal bridge;Ponte di cristallo
Crystal growth;Crescita dei cristalli
Coral Reef;Barriera corallina
Cradle of Life;Culla della vita
Creeper;Creeper
Crevice;Crepaccio
Crumbling wall;Muro fatiscente
Crystal ball;Sfera di cristallo
Crystal spire;Guglia di cristallo
Cupboard space;Spazio nell'armadio
Cooling chest;Petto rinfrescante
Coop;Coop
Creature;Creatura
Crushed barricade;Barricata schiacciata
Corner Table;Tavolo ad angolo
Contortion Bars;Barre di contorsione
Corner space;Spazio d'angolo
Corrupted Sceptre;Scettro Corrotto
Crop circle;Cerchio nel grano
