 Sneaky undead fowl;Uccelli non morti subdoli
Anja;Anja
Ankou;Ankou
Anleif;Anleif
Anna;Anna
Anna Jones;Anna Jones
Anne Isaakson;Anne Isaakson
Annette;Annetta
Annoyed guardian mummy;Mummia guardiana infastidita
Anton;Anton
Anwen;Anwen
Apmeken;Apmeken
Apothecary;Farmacista
Apprentice;Apprendista
Apprentice (medium);Apprendista (medio)
Apprentice workman;Apprendista operaio
Aranwe;Aranwe
Archaeological expert;Esperto archeologico
Archaeologist;Archeologo
Archeio;Archeio
Archer;Arciere
Archpriest of the Unicorn;Arciprete dell'Unicorno
Arcis;Arci
Aredhel;Aredhel
Aretha;Areta
Arhein;Arhein
Arianwyn;Arianwyn
Arianwyn (hard);Arianwyn (difficile)
Aristarchus;Aristarco
Armadylean guard;Guardia armadilena
Armod;Armod
Armour salesman;Venditore di armature
Armoured Foe;Nemico corazzato
Armourer (tier 1);Armaiolo (livello 1)
Armourer (tier 2);Armaiolo (livello 2)
Armourer (tier 3);Armaiolo (livello 3)
Armourer (tier 4);Armaiolo (livello 4)
Armourer (tier 5);Armaiolo (livello 5)
Army Commander;Comandante dell'Esercito
Arno;Arno
Arnold Lydspor;Arnold Lydspor
Arnor;Arnor
Arrg;Arr
Arrg (hard);Arrg (difficile)
Arsen the Thief;Arsen il ladro
Art;Arte
Art Critic Jacques;Critico d'arte Jacques
Arthur;Artù
Arthur the Clue Hunter;Arthur il cacciatore di indizi
Artimeus;Artimeo
Artur Hosidius;Arturo Osidio
Arvel;Arvel
Arzinian Avatar of Magic;Avatar arziniano della magia
Arzinian Avatar of Ranging;Avatar arziniano dell'esplorazione
Arzinian Avatar of Strength;Avatar arziniano della forza
Arzinian Being of Bordanzan;Essere Arziniano di Bordanzan
Ash;Cenere
Ashild;Ashild
Askeladden;Askeladden
Assassin;Assassino
Assistant;Assistente
Assistant Brock;Assistente Brock
Assistant Le Smith;Assistente Le Smith
Assistant Lori;Assistente Lori
Assistant Marrow;Assistente Midollo
Assistant Serf;Assistente servo
Assistant Stan;Assistente Stan
Asteros Arceuus;Asteros Arceuus
Asyff;Asyff
Asyn Shade;Asyn Ombra
Asyn Shadow;Asyn Ombra
Asyn shadow;Ombra Asin
Atlas;Atlante
Aubury;Aubury
Auctioneer;Banditore
Audmann;Audmann
Auguste;Augusto
Aurel;Aurel
Austri;Austri
Autumn Elemental;Elementale d'Autunno
Ava;Ava
Avan;Avan
Avatar of Creation;Avatar della Creazione
Avatar of Destruction;Avatar della Distruzione
Aviansie;Aviansie
Awakened Altar;Altare risvegliato
Awowogei;Awowogei
Awusah the Mayor;Awusah il sindaco
Ayesha;Ayesha
Azzanadra;Azzanadra
Baba Yaga;Baba Yaga
Baby Chinchompa;Il piccolo Chinchompa
Baby Mole;Piccola Talpa
Baby Mole-rat;Baby talpa
Baby Roc;Il piccolo Roc
Baby black dragon;Cucciolo di drago nero
Baby blue dragon;Drago celeste
Baby green dragon;Cucciolo di drago verde
Baby impling;Bambino che si implora
Baby red dragon;Cucciolo di drago rosso
Baby tanglefoot;Bambino aggrovigliato
Badger;Tasso
Bailey;Bailey
Baker;Panettiere
Bakuna;Bakuna
Bald Headed Eagle;Aquila dalla testa calva
Balfrug Kreeyath;Balfrug Kreeyath
Balloon Animal;Animale a palloncino
Balloon Toad;Rospo in mongolfiera
Bandit;Bandito
Bandit Leader;Capo bandito
Bandit champion;Campione bandito
Bandit shopkeeper;Negoziante bandito
Bandosian guard;Guardia Bandosiana
Banisoch;Banisoch
Bank guard;Guardia di banca
Banker;Banchiere
Banker tutor;Tutor bancario
Banknote Exchange Merchant;Commerciante di cambio banconote
Banshee;Banshee
Baraek;Baraek
Barb-tailed kebbit;Kebbit dalla coda a punta
Barbara;Barbara
Barbarian;Barbaro
Barbarian Warlord;Signore della guerra barbaro
Barbarian guard;Guardia barbara
Bardur;Bardur
Barfy Bill;Barfy Bill
Barge foreman;Caposquadra della chiatta
Barge guard;Guardia della chiatta
Barge workman;Operaio della chiatta
Bark Blamish Snail;Lumaca Blamish della corteccia
Barker;Barker
Barlak;Barlak
Barmaid;Barista
Barman;Barista
Barnabus Hurma;Barnabo Hurma
Barrelchest;Petto a botte
Barrelchest (hard);Petto a botte (duro)
Barricade;Barricata
Bartak;Bartak
Bartender;Barista
Basilisk;Basilisco
Basilisk Knight;Cavaliere Basilisco
Basilisk Sentinel;Sentinella del Basilisco
Basilisk Youngling;Giovane Basilisco
Bast;Basta
Bat;Pipistrello
Batt Mellamy;Batt Mellamy
Battle mage;Mago da battaglia
Battle tortoise display;Esposizione di tartarughe da battaglia
Baxtorian;Baxtoriano
Bear Cub;Cucciolo d'orso
Bearded gorilla;Gorilla barbuto
Beaver;Castoro
Bed;Letto
Bedabin Nomad;Nomade Bedabin
Bedabin Nomad Fighter;Combattente nomade Bedabin
Bedabin Nomad Guard;Guardia nomade Bedabin
Bedread the bold;Copriletto per gli audaci
Bee keeper;Apicoltore
Bees!;Api!
Beggar;Mendicante
Beigarth;Beigarth
Beite;Beite
Bellemorde;Bellemorde
Belona;Belona
Bench;Panca
Benjamin;Beniamino
Benny;Benny
Bentamir;Bentamir
Bernald;Bernardo
Berry;Bacca
Berserk barbarian spirit;Spirito barbaro berserk
Bert;Bert
Betty;Betty
Biblia;Biblia
Big Dave;Grande Dave
Big Snake;Grande serpente
Big Wolf;Grande Lupo
Big frog;Grande rana
BigRedJapan;BigRedGiappone
Bill Teach;Bill Teach
Billy;Billy
Billy Goat;Billy capra
Billy Rehnison;Billy Rehnison
Billy, a guard of Falador;Billy, una guardia di Falador
Bird;Uccello
Bjorn;Bjorn
Black Cat;Gatto Nero
Black Guard;Guardia Nera
Black Guard Berserker;Berserker della Guardia Nera
Black Heather;Erica nera
Black Knight;Cavaliere Nero
Black Knight Captain;Capitano del Cavaliere Nero
Black Knight Titan;Il Cavaliere Nero Titano
Black Knight Titan (hard);Titano Cavaliere Nero (difficile)
Black bear;Orso nero
Black chinchompa;Cincincompa nero
Black demon;Demone nero
Black demon (hard);Demone nero (difficile)
Black dragon;Drago nero
Black golem;Golem nero
Black knight;Cavaliere Nero
Black salamander;Salamandra nera
Black swan;Cigno nero
Black unicorn;Unicorno nero
Black unicorn Foal;Puledro di unicorno nero
Black warlock;Stregone nero
Blackjack seller;Venditore di blackjack
Blaec;Blaec
Blair;Blair
Blandebir;Blandebir
Blanin;Blanin
Blasidar the sculptor;Blasidar lo scultore
Blast Furnace Foreman;Caposquadra d'altoforno
Blessed giant rat;Benedetto ratto gigante
Blessed spider;Benedetto ragno
Bloated Toad;Rospo gonfio
Blood Blamish Snail;Lumaca Blamish Sangue
Blood spawn;Generazione di sangue
Bloodhound;Segugio
Bloodveld;Bloodveld
Bloodworm;Chironomus
Blue Monkey;Scimmia Blu
Blue Opal Director;Direttore dell'Opale Blu
Blue Opal Secretary;Segretario opale blu
Blue Sheep;Pecora Blu
Blue dragon;Drago blu
Blurberry;Sfocato
Boar;Cinghiale
Boat;Barca
Bob;Bob
Bob Barter (herbs);Bob Barter (erbe)
Bob, another guard of Falador;Bob, un'altra guardia di Falador
Bobawu;Bobawu
Bobbing fossil;Fossile fluttuante
Body Golem;Golem del corpo
Bolkoy;Bolkoy
Bologa;Bologna
Bolongo;Bolongo
Bonafido;Bonafido
Boneguard;Guardia delle ossa
Bones;Ossa
Bonzara;Bonzara
Bonzo;Bonzo
Boot;Stivale
Border Guard;Guardia di frontiera
Boris;Boris
Bork Sigmundson;Bork Sigmundson
Borrokar;Borrokar
Boulder;Masso
Bouncer;Buttafuori
Bouncer (hard);Buttafuori (duro)
Bouquet Mac Hyacinth;Mazzo Mac Giacinto
Bow and Arrow salesman;Venditore di arco e frecce
Boy;Ragazzo
Brambickle;Rovo
Brana;Brana
Branwen;Branwen
Brassican Mage;Mago Brassicano
Bravek;Bravek
Brawler;Combattente
Bree;Bree
Breive;Breve
Brendt;Brendt
Breoca;Breoca
Brewer;Birraio
Brian;Brian
Brian O'Richard;Brian O'Richard
Briget;Brigida
Brimstail;Bristail
Brine rat;Ratto di salamoia
Broddi;Broddi
Broken Handz;Mano rotta
Broken clay golem;Golem di argilla rotto
Bronze dragon;Drago di bronzo
Broodoo victim;Vittima di Broodoo
Brother Aimeri;Fratello Aimeri
Brother Althric;Fratello Althric
Brother Brace;Fratello Brace
Brother Cedric;Fratello Cedric
Brother Jered;Fratello Jered
Brother Kojo;Fratello Kojo
Brother Maledict;Fratello Maledetto
Brother Omad;Fratello Omad
Brother Tranquility;Fratello Tranquillità
Brown Engine Director;Direttore del motore Brown
Brown Engine Secretary;Segretario del Motore Brown
Brugsen Bursen;Brugsen Bursen
Bruise Blamish Snail;Livido Blamish Lumaca
Brundt the Chieftain;Brundt il capotribù
Brutal black dragon;Drago nero brutale
Brutal blue dragon;Drago blu brutale
Brutal green dragon;Drago verde brutale
Brutal red dragon;Drago rosso brutale
Bryn;Bryn
Bryophyta;Briofita
Bugs;Bug
Builder;Costruttore
Buinn;Buinn
Bullrush;Bullrush
Bunkdo;Bunkdo
Bunkwicket;Castello
Bunny;Coniglietto
Burkor;Burkor
Burntmeat;Carne bruciata
Burntof;Burntof
Bush snake;Serpente cespuglio
Butler;Maggiordomo
Butler Jarvis;Il maggiordomo Jarvis
Butler Jones;Il maggiordomo Jones
Butterfly;Farfalla
Cabin Boy Colin;Colin mozzo
Cabin Boy Herbert;Il mozzo Herbert
Cabin boy;Mozzo di cabina
Cabin boy Jenkins;Il mozzo Jenkins
Caden Azro;Caden Azro
Caerwyn;Caerwyn
Cage;Gabbia
Caleb;Caleb
Calin;Calino
Callisto;Callisto
Callisto cub;Cucciolo di Callisto
Cam the Camel;Cam il cammello
Camarst;Camarst
Camel;Cammello
Camel display;Esposizione del cammello
Camorra;Camorra
Camp dweller;Abitante del campo
Candle maker;Fabbricante di candele
Candle seller;Venditore di candele
Caninelle Draynar;Caninelle Draynar
Cannoneer;Cannoniere
Cap'n Hand;Capitano Hand
Cap'n Izzy No-Beard;Il Capitano Izzy Senza Barba
Capt' Arnav;Capitano Arnav
Captain;Capitano
Captain Barnaby;Capitano Barnaby
Captain Bentley;Capitano Bentley
Captain Bleemadge;Capitano Bleemadge
Captain Braindeath;Capitan Morte Cerebrale
Captain Bruce;Capitano Bruce
Captain Cain;Capitano Caino
Captain Cleive;Capitano Cleive
Captain Daerkin;Capitano Daerkin
Captain Dalbur;Capitano Dalbur
Captain Donnie;Capitano Donnie
Captain Dudi;Capitano Dudi
Captain Errdo;Capitano Errdo
Captain Ginea;Capitano Ginnea
Captain Janaway;Capitano Janaway
Captain Kalt;Capitano Kalt
Captain Khaled;Capitano Khaled
Captain Klemfoodle;Capitano Klemfoodle
Captain Lamdoo;Capitano Lamdoo
Captain Lawgof;Capitano Lawgof
Captain Magoro;Capitan Magoro
Captain Ned;Capitano Ned
Captain Ninto;Capitano Ninto
Captain Pudi;Capitano Pudi
Captain Rachelle;Capitano Rachelle
Captain Rimor;Capitano Rimor
Captain Rovin;Capitano Rovino
Captain Sdiar;Capitano Sdiar
Captain Shanks;Capitano Shanks
Captain Shoracks;Capitano Shoracks
Captain Siad;Capitano Siad
Captain Tobias;Capitano Tobia
Captain Tock;Capitano Tock
Captain Tom;Capitano Tom
Carado;Carado
Caranthir;Caranthir
Carl;Carlo
Carla;Carla
Carnivorous chinchompa;Cincincompa carnivoro
Carnivus Belamorta;Carnivus Belamorta
Carol;Carol
Caroline;Carolina
Carpenter;Falegname
Carpenter Kjallak;Il falegname Kjallak
Cart Camel;Carrello Cammello
Cart conductor;Conduttore del carrello
Cassie;Cassie
Cat;Gatto
Catablepon;Catablepon
Catalina;Catalina
Cave Scenery;Scenario della grotta
Cave abomination;Abominio delle caverne
Cave bug;Insetto della caverna
Cave bug larva;Larva dell'insetto delle caverne
Cave crawler;Cingolato delle caverne
Cave goblin;Folletto delle caverne
Cave goblin child;Bambino goblin delle caverne
Cave goblin guard;Guardia del goblin delle caverne
Cave goblin miner;Minatore goblin delle caverne
Cave horror;Orrore della caverna
Cave kraken;Kraken delle caverne
Cave lizard;Lucertola delle caverne
Cave monk;Monaco delle caverne
Cave slime;Melma di caverna
Cave snake;Serpente delle caverne
Cavemouth;Cavemouth
Cavey Davey;Cavey Davey
Cecilia;Cecilia
Celebrian;Celebriano
Celegorm;Celegorm
Celyn;Celyn
Centaur;Centauro
Ceolburg;Ceolburg
Cerberus;Cerbero
Ceril Carnillean;Ceril Carnillean
Cerulean twitch;Contrazione cerulea
Ceto;Ceto
Chadwell;Chadwell
Chaeldar;Chaeldar
Chamber guardian;Guardiano della camera
Chancy;Casolare
Chaos Elemental;Elementale del Caos
Chaos Elemental Jr.;Elementale del Caos Jr.
Chaos Fanatic;Fanatico del caos
Chaos Golem;Golem del caos
Chaos druid;Druido del caos
Chaos druid warrior;Guerriero druido del caos
Chaos dwarf;Nano del caos
Chaotic death spawn;Progenie caotica della morte
Charles;Carlo
Charles Charlington;Charles Charlington
Charley;Charley
Charlie;Charlie
Charlie Brown;Charlie Brown
Charlie the Tramp;Charlie il vagabondo
Charlie the cook;Charlie il cuoco
Charmed Warrior;Guerriero incantato
Chasm Crawler;Crawler del baratro
Checkal;Verifica
Cheerleader;Cheerleader
Chef Olivia;Lo chef Olivia
Chemist;Chimico
Cheryl;Cheryl
Chicken;Pollo
Chief Farmer;Capo agricoltore
Chief Tess;Capo Tess
Chief servant;Primo servitore
Child;Bambino
Chinchompa;Chinchompa
Choke devil;Soffoca il diavolo
Chompy bird;Uccello masticabile
Chompy chick;Pulcino masticabile
Chronozon;Cronozon
Chronozon (hard);Chronozon (difficile)
Chuck;Mandrino
Cirdan;Cirdan
City guard;Guardia cittadina
Civilian;Civile
Clan Guard;Guardia del clan
Claude;Claudio
Claus the chef;Claus lo chef
Clay golem;Golem d'argilla
Cleaner;Più pulito
Cleddyf;Cleddyf
Clerk;Impiegato
Clerris;Clerris
Clivet;Clivet
Clockwork cat;Gatto a orologeria
Clothears;Abbigliamento
Co-ordinator;Coordinatore
Coal;Carbone
Cob;Pannocchia
Cockathrice;Cockatrice
Cockatrice;Basilisco
Coenus;Ceno
Col. O'Niall;Colonnello O'Niall
Colonel Grimsson;Colonnello Grimsson
Colonel Radick;Colonnello Radick
Colossal Hydra;Idra colossale
Combat Instructor;Istruttore di combattimento
Combat Test;Prova di combattimento
Combat Test (maxhit);Test di combattimento (massimo successo)
Combat stone;Pietra da combattimento
Commander Connad;Comandante Connad
Commander Fullore;Comandante Fullore
Commander Montai;Comandante Montai
Commander Veldaban;Comandante Veldaban
Commander Zilyana;Comandante Zilyana
Commissioner Anwar;Il commissario Anwar
Competition Judge;Giudice di gara
Confused barbarian;Barbaro confuso
Confusion beast;Bestia della confusione
Conrad King;Corrado Re
Conwenna;Conwenna
Cook;Cucinare
Cooking tutor;Insegnante di cucina
Cool Mom227;Bella mamma227
Copper longtail;Coda lunga di rame
Copper ore;Minerale di rame
Corkat quo Sihar;Corkat quo Sihar
Cormorant;Cormorano
Cornelius;Cornelio
Corporeal Beast;Bestia corporea
Corporeal Critter;Creatura corporea
Corpse;Cadavere
Corrupt Lizardman;Uomo Lucertola Corrotto
Corrupt Lizardman (hard);Uomo Lucertola Corrotto (difficile)
Corrupted Bat;Pipistrello corrotto
Corrupted Bear;Orso corrotto
Corrupted Dark Beast;Bestia oscura corrotta
Corrupted Dragon;Drago corrotto
Corrupted Hunllef;Hunllef corrotto
Corrupted Rat;Ratto corrotto
Corrupted Scorpion;Scorpione corrotto
Corrupted Spider;Ragno corrotto
Corrupted Unicorn;Unicorno corrotto
Corrupted Wolf;Lupo corrotto
Corrupted Youngllef;Youngllef corrotto
Corrupted scavenger;Spazzino corrotto
Corsair Traitor;Corsaro traditore
Corsair Traitor (hard);Corsaro Traditore (difficile)
Cosmic Being;Essere cosmico
Council workman;Operaio del Consiglio
Councillor Andrews;Consigliere Andrews
Councillor Halgrive;Consigliere Halgrive
Councillor Orson;Il consigliere Orson
Councillor Unkar;Consigliere Unkar
Count Check;Controllo del conteggio
Count Draynor;Conte Draynor
Count Draynor (hard);Conte Draynor (difficile)
Court judge;Giudice della Corte
Cow;Mucca
Cow (hard);Mucca (difficile)
Cow calf;Vitello di mucca
Cow31337Killer;Mucca31337Killer
Cowardly Bandit;Bandito codardo
Crab;Granchio
Crafting tutor;Tutor di lavorazione
Crate;Cassa
Crate goblin;Folletto della cassa
Crawling Hand;Mano strisciante
Crawling hand;Mano che striscia
Crazy archaeologist;Archeologo pazzo
Creakyknees;Ginocchia scricchiolanti
Crefydd;Crefydd
Crimson swift;Rapido cremisi
Crimsonette van Marr;Crimsonette van Marr
Crocodile;Coccodrillo
Crondis;Crondis
Crone;Vecchia
Crow;Corvo
Crunchy;Croccante
Crusher;Frantoio
Crushing hand;Mano schiacciante
Crust of ice;Crosta di ghiaccio
Crypt rat;Ratto della cripta
Crypt spider;Ragno della cripta
Crystal impling;Impacco in cristallo
Crystalline Bat;Pipistrello cristallino
Crystalline Bear;Orso Cristallino
Crystalline Dark Beast;Bestia Oscura Cristallina
Crystalline Dragon;Drago Cristallino
Crystalline Hunllef;Hunllef cristallino
Crystalline Rat;Ratto Cristallino
Crystalline Scorpion;Scorpione cristallino
Crystalline Spider;Ragno cristallino
Crystalline Unicorn;Unicorno cristallino
Crystalline Wolf;Lupo cristallino
Cuffs;Polsini
Culinaromancer;Culinaromancer
Culinaromancer (hard);Culinaromancer (difficile)
Curator Haig Halen;Curatore Haig Halen
Curly;Riccio
Curpile Fyod;Il Curpile Fyod
Curufin;Curufin
Customer;Cliente
Customs officer;Ufficiale doganale
Cute creature;Creatura carina
Cyclops;Ciclope
Cyreg Paddlehorn;Cyreg Paddlehorn
Cyrisus;Ciriso
Da Vinci;Da Vinci
Dad;Papà
Dad (hard);Papà (difficile)
Daer Krand;Daer Krand
Daero;Daero
Daga;Daga
Dagannoth;Dagannoth
Dagannoth Prime;Dagannoth Primo
Dagannoth Prime Jr.;Dagannoth Prime Jr.
Dagannoth Rex;Dagannoth Rex
Dagannoth Rex Jr.;Dagannoth Rex Jr.
Dagannoth Supreme;Dagannoth Supremo
Dagannoth Supreme Jr.;Dagannoth Supremo Jr.
Dagannoth fledgeling;Dagannoth novellino
Dagannoth mother;Madre Dagannoth
Dagannoth mother (hard);Madre Dagannoth (difficile)
Dagannoth spawn;Progenie di Dagannoth
Dakh'thoulan Aegis;L'egida di Dakh'thulan
Dalal;Dalal
Dalcian Fang (easy);Zanna di Dalcia (facile)
Dalila;Dalila
Dallas Jones;Dallas Jones
Dalldav;Dalldav
Damaged clay golem;Golem di argilla danneggiato
Damien Leucurte;Damien Leucurte
Damis;Damis
Damis (hard);Damis (difficile)
Dampe;Smorzare
Damwin;Damwin
Dantaera;Dantaera
Darcor quo Narga;Darcor quo Narga
Dark Ankou;Ankou scuro
Dark Core;Nucleo oscuro
Dark Mage;Mago Oscuro
Dark Squirrel;Scoiattolo oscuro
Dark beast;Bestia oscura
Dark core;Nucleo oscuro
Dark energy core;Nucleo di energia oscura
Dark kebbit;Kebbit scuro
Dark mage;Mago oscuro
Dark warrior;Guerriero oscuro
Dark wizard;Mago oscuro
Darkmeyer Slave;Schiavo Darkmeyer
Darren;Darren
Dartog;Dartog
Darve;Darve
Daryl;Daryl
Dashing kebbit;Kebbit accattivante
Dave;Dave
Davey;Davey
David;Davide
David Andrews;David Andrews
Davon;Davon
Dawn;Alba
Dead Monk;Monaco morto
Dead swamp snake;Serpente di palude morto
Deadly red spider;Ragno rosso mortale
Death;Morte
Death spawn;Progenie della morte
Death wing;Ala della morte
Deathly mage;Mago mortale
Deathly ranger;Ranger mortale
Debra;Debora
Defiler;Contaminatore
Del-Monty;Del-Monty
Delrith;Delrith
Demon;Demone
Demon butler;Maggiordomo demone
Demonic gorilla;Gorilla demoniaco
Denadu;Denadu
Denath;Denath
Denulth;Denulth
Deranged archaeologist;Archeologo squilibrato
Derni;Derni
Dernu;Dernu
Derrik;Derrick
Derse Venator;Derse Venator
Derwen;Derwen
Desert Lizard;Lucertola del deserto
Desert Phoenix;La Fenice del deserto
Desert Spirit;Spirito del deserto
Desert Wolf;Lupo del deserto
Desert eagle;Aquila del deserto
Desert snake;Serpente del deserto
Desmodus Lasiurus;Desmodus Lasiurus
Despoina Callidra;Despoina Callidra
Dessourt;Dessert
Dessourt (hard);Dessert (duro)
Dessous;Dessus
Dessous (hard);Dessous (duro)
Devan Rutter;Devan Rutter
Deviant spectre;Spettro deviante
Devin Mendelberg;Devin Mendelberg
Dharok the Wretched;Dharok il Disgraziato
Diana;Diana
Diango;Diango
Dig Site workman;Operaio del sito di scavo
Digsite workman;Operaio di scavo
Dimintheis;Dimintheis
Diol;Diolo
Diphylla Bechstein;Diphylla Bechstein
Dire Wolf;Lupo terribile
Disciple of Iban;Discepolo di Iban
Disciple of Yama;Discepolo di Yama
Dobwinkle;Dobwinkle
Dock worker;Lavoratore portuale
Dockmaster;Capitano di porto
Doctor Orbon;Dottor Orbon
Dodgy Squire;Scudiero losco
Dog;Cane
Doll;Bambola
Dominic Onion;Domenico Cipolla
Dommik;Dommik
Don;Assistente
Don't Know What;Non so cosa
Donal;Donale
Dondakan the Dwarf;Dondakan il nano
Donie;Donie
Donny the lad;Donny il ragazzo
Donovan the Family Handyman;Donovan il tuttofare di famiglia
Doomion;Destino
Doomsayer;Profeta di sventura
Door;Porta
Door man;L'uomo della porta
Door-support;Supporto per porta
Doric;dorico
Doris;Doris
Double agent;Doppio agente
Doug Deeping;Doug Deeping
Doyen;Decano
Dr Fenkenstrain;Dottor Fenkenstrain
Dr Ford;Dottor Ford
Dr Harlow;Dottor Harlow
Dr Jekyll;Dottor Jekill
Draconis Sanguine;Draconis Sanguine
Dragon display;Visualizzazione del drago
Dragon impling;Implicare il drago
Dragonkin;Dragonkin
Drain pipe;Tubo di scarico
Drake;Drake
Drasdan Ranor;Drasdan Ranor
Draul Leptoc;Draul Leptoc
Dreven;Dreven
Drew;Ha disegnato
Drezel;Drezel
Driftwood;Legni alla deriva
Drill Sergeant;Sergente istruttore
Droalak;Droalak
Drogo dwarf;Il nano Drogo
Dromund;Dromund
Dromund's cat;Il gatto di Dromund
Dron;Drone
Druid;druido
Drunken Ali;Alì ubriaco
Drunken Dwarf;Nano ubriaco
Drunken Dwarf's Leg;Gamba del nano ubriaco
Drunken man;Uomo ubriaco
Drunken soldier;Soldato ubriaco
Dryad;Driade
Duck;Anatra
Duckling;Anatroccolo
