 Sneaky undead fowl;Stiekeme ondode kip
Aluft Gianne snr.;Aluft Gianne snr.
Alviss;Alvis
Alwyn;Alwyn
Alyssa;Alyssa
Ambassador Alvijar;Ambassadeur Alvijar
Ambassador Ferrnook;Ambassadeur Ferrnook
Ambassador Gimblewap;Ambassadeur Gimblewap
Ambassador Spanfipple;Ambassadeur Spanfipple
Amelia;Amelia
Ammonite Crab;Ammoniet Krab
Amrod;Amrod
Amy;Amy
An old Dwarf;Een oude dwerg
Ana;Ana
Anaire;Anaire
Ancient Fungi;Oude schimmels
Ancient Ghost;Oude geest
Ancient Guardian;Oude bewaker
Ancient Wizard;Oude tovenaar
Ancient Wyvern;Oude Wyvern
Ancient Zygomite;Oude Zygomiet
Ancient monkey;Oude aap
Andiess Juip;Andies Juip
Andras;Andras
Andrea;Andrea
Andros Mai;Andros Mai
Aneirin;Aneirin
Angel;Engel
Angelo;Angelo
Angry barbarian spirit;Boze barbaarse geest
Angry bear;Boze beer
Angry giant rat;Boze gigantische rat
Angry goblin;Boze kobold
Angry unicorn;Boze eenhoorn
Animated Adamant Armour;Geanimeerd Adamant pantser
Animated Black Armour;Geanimeerd zwart pantser
Animated Bronze Armour;Geanimeerd bronzen pantser
Animated Iron Armour;Geanimeerd ijzeren harnas
Animated Mithril Armour;Geanimeerd Mithril-pantser
Animated Rune Armour;Geanimeerd runenpantser
Animated Steel Armour;Geanimeerd stalen pantser
Animated spade;Geanimeerde schop
Animated steel armour;Geanimeerd stalen pantser
Anita;Anita
Anja;Anja
Ankou;Ankou
Anleif;Anleif
Anna;Anna
Anna Jones;Anna Jones
Anne Isaakson;Anne Isaakson
Annette;Annet
Annoyed guardian mummy;Geërgerde voogd mama
Anton;Anton
Anwen;Anwen
Apmeken;Apmeken
Apothecary;Apotheker
Apprentice;Leerling
Apprentice (medium);Leerling (middel)
Apprentice workman;Leerling werkman
Aranwe;Aranwe
Archaeological expert;Archeologisch deskundige
Archaeologist;Archeoloog
Archeio;Archeio
Archer;Boogschutter
Archpriest of the Unicorn;Aartspriester van de Eenhoorn
Arcis;Arcis
Aredhel;Aredhel
Aretha;Aretha
Arhein;Arhein
Arianwyn;Arianwyn
Arianwyn (hard);Arianwyn (hard)
Aristarchus;Aristarchus
Armadylean guard;Armadylaanse bewaker
Armod;Armod
Armour salesman;Wapenverkoper
Armoured Foe;Gepantserde vijand
Armourer (tier 1);Wapenmeester (niveau 1)
Armourer (tier 2);Wapenmeester (niveau 2)
Armourer (tier 3);Wapenmeester (niveau 3)
Armourer (tier 4);Wapenmeester (niveau 4)
Armourer (tier 5);Wapenmeester (niveau 5)
Army Commander;Legercommandant
Arno;Arno
Arnold Lydspor;Arnold Lydspor
Arnor;Arnor
Arrg;Arg
Arrg (hard);Arg (moeilijk)
Arsen the Thief;Arsen de dief
Art;Kunst
Art Critic Jacques;Kunstcriticus Jacques
Arthur;Arthur
Arthur the Clue Hunter;Arthur de aanwijzingenjager
Artimeus;Artimeus
Artur Hosidius;Arthur Hosidius
Arvel;Arvel
Arzinian Avatar of Magic;Arziniaanse Avatar van Magie
Arzinian Avatar of Ranging;Arziniaanse avatar van Ranging
Arzinian Avatar of Strength;Arziniaanse avatar van kracht
Arzinian Being of Bordanzan;Arziniaans wezen van Bordanzan
Ash;As
Ashild;Ashild
Askeladden;Askeladden
Assassin;Moordenaar
Assistant;Assistent
Assistant Brock;Assistent Brock
Assistant Le Smith;Assistent Le Smith
Assistant Lori;Assistent Lori
Assistant Marrow;Assistent Merg
Assistant Serf;Assistent Serf
Assistant Stan;Assistent Stan
Asteros Arceuus;Asteros Arceus
Asyff;Asyff
Asyn Shade;Asyn schaduw
Asyn Shadow;Asyn-schaduw
Asyn shadow;Asyn-schaduw
Atlas;Atlas
Aubury;Aubury
Auctioneer;Veilingmeester
Audmann;Audmann
Auguste;Augustus
Aurel;Aurel
Austri;Oostenrijks
Autumn Elemental;Elementair herfst
Ava;Ava
Avan;Avan
Avatar of Creation;Avatar van de schepping
Avatar of Destruction;Avatar van vernietiging
Aviansie;Vogels
Awakened Altar;Ontwaakt altaar
Awowogei;Awowogei
Awusah the Mayor;Awusah de burgemeester
Ayesha;Ayesha
Azzanadra;Azzanadra
Baba Yaga;Baba Yaga
Baby Chinchompa;Baby Chinchompa
Baby Mole;Baby Mol
Baby Mole-rat;Baby Molrat
Baby Roc;Baby Roc
Baby black dragon;Baby zwarte draak
Baby blue dragon;Babyblauwe draak
Baby green dragon;Baby groene draak
Baby impling;Baby impliceren
Baby red dragon;Kleine rode draak
Baby tanglefoot;Baby-wirwarvoet
Badger;Das
Bailey;Bailey
Baker;Bakker
Bakuna;Bakuna
Bald Headed Eagle;Kale Hoofdadelaar
Balfrug Kreeyath;Balfrug Kreeyath
Balloon Animal;Ballondier
Balloon Toad;Ballonpad
Bandit;Bandiet
Bandit Leader;Bandietenleider
Bandit champion;Bandieten kampioen
Bandit shopkeeper;Bandietenwinkelier
Bandosian guard;Bandosiaanse bewaker
Banisoch;Banisoch
Bank guard;Bankwachter
Banker;Bankier
Banker tutor;Bankier docent
Banknote Exchange Merchant;Bankbiljettenwisselaar
Banshee;Banshee
Baraek;Barak
Barb-tailed kebbit;Kebbit met weerhaakstaart
Barbara;Barbara
Barbarian;Barbaar
Barbarian Warlord;Barbaarse krijgsheer
Barbarian guard;Barbaarse garde
Bardur;Bardur
Barfy Bill;Barfy Bill
Barge foreman;Voorman van de binnenvaart
Barge guard;Bewaker van de binnenvaart
Barge workman;Binnenschip werkman
Bark Blamish Snail;Schors Blamish Slak
Barker;Barker
Barlak;Barlak
Barmaid;Barmeisje
Barman;Barman
Barnabus Hurma;Barnabus Hurma
Barrelchest;Vatkist
Barrelchest (hard);Loopkist (hard)
Barricade;Barricade
Bartak;Bartak
Bartender;Barman
Basilisk;Basilisk
Basilisk Knight;Basilisk Ridder
Basilisk Sentinel;Basilisk Sentinel
Basilisk Youngling;Basilisk Youngling
Bast;Bast
Bat;Knuppel
Batt Mellamy;Bat Mellamy
Battle mage;Vecht tegen magiër
Battle tortoise display;Weergave van gevechtsschildpadden
Baxtorian;Baxtoriaans
Bear Cub;Berenwelp
Bearded gorilla;Baardgorilla
Beaver;Bever
Bed;Bed
Bedabin Nomad;Bedabin Nomade
Bedabin Nomad Fighter;Bedabin Nomadenvechter
Bedabin Nomad Guard;Bedabin Nomadenwacht
Bedread the bold;Lees het vetgedrukte
Bee keeper;Bijenhouder
Bees!;Bijen!
Beggar;Bedelaar
Beigarth;Beigarth
Beite;Beite
Bellemorde;Bellemorde
Belona;Belona
Bench;Bank
Benjamin;Benjamin
Benny;Bennie
Bentamir;Bentamir
Bernald;Bernald
Berry;Bes
Berserk barbarian spirit;Een waanzinnige barbaarse geest
Bert;Bert
Betty;Betty
Biblia;Biblia
Big Dave;Grote Dave
Big Snake;Grote slang
Big Wolf;Grote Wolf
Big frog;Grote kikker
BigRedJapan;BigRedJapan
Bill Teach;Bill Leer
Billy;Billy
Billy Goat;Billy Geit
Billy Rehnison;Billy Rehnison
Billy, a guard of Falador;Billy, een bewaker van Falador
Bird;Vogel
Bjorn;Bjorn
Black Cat;Zwarte Kat
Black Guard;Zwarte Garde
Black Guard Berserker;Zwarte Garde Berserker
Black Heather;Zwarte heide
Black Knight;Zwarte Ridder
Black Knight Captain;Kapitein van de Zwarte Ridder
Black Knight Titan;Zwarte Ridder Titaan
Black Knight Titan (hard);Black Knight Titan (hard)
Black bear;Zwarte beer
Black chinchompa;Zwarte chinchompa
Black demon;Zwarte demon
Black demon (hard);Zwarte demon (hard)
Black dragon;Zwarte draak
Black golem;Zwarte golem
Black knight;Zwarte ridder
Black salamander;Zwarte salamander
Black swan;Zwarte zwaan
Black unicorn;Zwarte eenhoorn
Black unicorn Foal;Zwart eenhoorn veulen
Black warlock;Zwarte heksenmeester
Blackjack seller;Blackjack-verkoper
Blaec;Blaec
Blair;Blair
Blandebir;Blandebir
Blanin;Blanin
Blasidar the sculptor;Blasidar de beeldhouwer
Blast Furnace Foreman;Voorman hoogoven
Blessed giant rat;Gezegende gigantische rat
Blessed spider;Gezegende spin
Bloated Toad;Opgeblazen pad
Blood Blamish Snail;Bloedblamish Slak
Blood spawn;Bloed spawnt
Bloodhound;Bloedhond
Bloodveld;Bloedveld
Bloodworm;Bloedworm
Blue Monkey;Blauwe Aap
Blue Opal Director;Blue Opal-regisseur
Blue Opal Secretary;Blauwe Opaal secretaris
Blue Sheep;Blauwe schapen
Blue dragon;Blauwe draak
Blurberry;Wazig
Boar;Zwijn
Boat;Boot
Bob;Bob
Bob Barter (herbs);Bob Barter (kruiden)
Bob, another guard of Falador;Bob, een andere bewaker van Falador
Bobawu;Bobawu
Bobbing fossil;Dobberend fossiel
Body Golem;Lichaam Golem
Bolkoy;Bolkoy
Bologa;Bologna
Bolongo;Bolongo
Bonafido;Bonafido
Boneguard;Botbeschermer
Bones;Botten
Bonzara;Bonzara
Bonzo;Bonzo
Boot;Laars
Border Guard;Grenswacht
Boris;Boris
Bork Sigmundson;Bork Sigmundson
Borrokar;Borrokar
Boulder;Kei
Bouncer;Uitsmijter
Bouncer (hard);Uitsmijter (hard)
Bouquet Mac Hyacinth;Boeket Mac Hyacint
Bow and Arrow salesman;Boog en Pijl verkoper
Boy;Jongen
Brambickle;Brambikkel
Brana;Brana
Branwen;Branwen
Brassican Mage;Brassicaanse Magiër
Bravek;Bravek
Brawler;vechter
Bree;Bree
Breive;Breive
Brendt;Brendt
Breoca;Breoca
Brewer;Brouwer
Brian;Brian
Brian O'Richard;Brian O'Richard
Briget;Briget
Brimstail;Brimstaart
Brine rat;Pekel rat
Broddi;Broddi
Broken Handz;Gebroken Handz
Broken clay golem;Gebroken kleigolem
Bronze dragon;Bronzen draak
Broodoo victim;Broodoo-slachtoffer
Brother Aimeri;Broeder Aimeri
Brother Althric;Broeder Althric
Brother Brace;Broeder Brace
Brother Cedric;Broeder Carlo
Brother Jered;Broeder Jered
Brother Kojo;Broeder Kojo
Brother Maledict;Broeder Maledict
Brother Omad;Broeder Omad
Brother Tranquility;Broeder Rust
Brown Engine Director;Brown Engine-directeur
Brown Engine Secretary;Brown Engine-secretaris
Brugsen Bursen;Brugsen Bursen
Bruise Blamish Snail;Kneuzing Blamish Slak
Brundt the Chieftain;Brundt de hoofdman
Brutal black dragon;Brutale zwarte draak
Brutal blue dragon;Brutale blauwe draak
Brutal green dragon;Brutale groene draak
Brutal red dragon;Brutale rode draak
Bryn;Bryn
Bryophyta;Bryophyta
Bugs;Insecten
Builder;Bouwer
Buinn;Buinn
Bullrush;Bullrush
Bunkdo;Bunkdo
Bunkwicket;Stapelbed
Bunny;Konijntje
Burkor;Burkor
Burntmeat;Verbrand vlees
Burntof;Burntof
Bush snake;Bush-slang
Butler;Butler
Butler Jarvis;Butler Jarvis
Butler Jones;Butler Jones
Butterfly;Vlinder
Cabin Boy Colin;Cabinejongen Colin
Cabin Boy Herbert;Cabinejongen Herbert
Cabin boy;Scheepsjongen
Cabin boy Jenkins;Cabinejongen Jenkins
Caden Azro;Caden Azro
Caerwyn;Caerwyn
Cage;Kooi
Caleb;Kaleb
Calin;Kalijn
Callisto;Callisto
Callisto cub;Callisto-welp
Cam the Camel;Cam de Kameel
Camarst;Camarst
Camel;Kameel
Camel display;Kameel weergave
Camorra;Camorra
Camp dweller;Kampbewoner
Candle maker;Kaarsenmaker
Candle seller;Kaarsenverkoper
Caninelle Draynar;Hond Draynar
Cannoneer;Kanonnier
Cap'n Hand;Kapitein Hand
Cap'n Izzy No-Beard;Kapitein Izzy zonder baard
Capt' Arnav;Kapitein Arnav
Captain;Kapitein
Captain Barnaby;Kapitein Barnaby
Captain Bentley;Kapitein Bentley
Captain Bleemadge;Kapitein Bleemadge
Captain Braindeath;Kapitein Braindeath
Captain Bruce;Kapitein Bruce
Captain Cain;Kapitein Kaïn
Captain Cleive;Kapitein Cleive
Captain Daerkin;Kapitein Daerkin
Captain Dalbur;Kapitein Dalbur
Captain Donnie;Kapitein Donnie
Captain Dudi;Kapitein Dudi
Captain Errdo;Kapitein Errdo
Captain Ginea;Kapitein Ginea
Captain Janaway;Kapitein Janaway
Captain Kalt;Kapitein Kalt
Captain Khaled;Kapitein Khaled
Captain Klemfoodle;Kapitein Klemfoodle
Captain Lamdoo;Kapitein Lamdoo
Captain Lawgof;Kapitein Lawgof
Captain Magoro;Kapitein Magoro
Captain Ned;Kapitein Ned
Captain Ninto;Kapitein Ninto
Captain Pudi;Kapitein Pudi
Captain Rachelle;Kapitein Rachelle
Captain Rimor;Kapitein Rimor
Captain Rovin;Kapitein Rovin
Captain Sdiar;Kapitein Sdiar
Captain Shanks;Kapitein Shanks
Captain Shoracks;Kapitein Shoracks
Captain Siad;Kapitein Siad
Captain Tobias;Kapitein Tobias
Captain Tock;Kapitein Tok
Captain Tom;Kapitein Tom
Carado;Carado
Caranthir;Caranthir
Carl;Karel
Carla;Carla
Carnivorous chinchompa;Vleesetende chinchompa
Carnivus Belamorta;Carnivus Belamorta
Carol;Carol
Caroline;Carolien
Carpenter;Timmerman
Carpenter Kjallak;Timmerman Kjallak
Cart Camel;Kar Kameel
Cart conductor;Kargeleider
Cassie;Cassie
Cat;Kat
Catablepon;Catablepon
Catalina;Catalina
Cave Scenery;Grotlandschap
Cave abomination;Grot gruwel
Cave bug;Grot bug
Cave bug larva;Larve van de grotwants
Cave crawler;Grotkruiper
Cave goblin;Grot-kobold
Cave goblin child;Grotgoblin-kind
Cave goblin guard;Grotgoblin-bewaker
Cave goblin miner;Grotgoblin-mijnwerker
Cave horror;Grot-horror
Cave kraken;Grot kraken
Cave lizard;Grot hagedis
Cave monk;Grot monnik
Cave slime;Grot slijm
Cave snake;Grot slang
Cavemouth;Grotmond
Cavey Davey;Cavey Davey
Cecilia;Cecilia
Celebrian;Celebrisch
Celegorm;Celegorm
Celyn;Celyn
Centaur;Centaur
Ceolburg;Ceolburg
Cerberus;Cerberus
Ceril Carnillean;Ceril Carnillean
Cerulean twitch;Ceruleaanse zenuwtrekking
Ceto;Ceto
Chadwell;Chadwel
Chaeldar;Chaeldar
Chamber guardian;Kamerbewaker
Chancy;Kans
Chaos Elemental;Elementaire chaos
Chaos Elemental Jr.;Chaos Elemental Jr.
Chaos Fanatic;Chaosfanaat
Chaos Golem;Chaos Golem
Chaos druid;Chaos druïde
Chaos druid warrior;Chaos druïde krijger
Chaos dwarf;Chaos dwerg
Chaotic death spawn;Chaotische doodspawn
Charles;Karel
Charles Charlington;Charles Charlington
Charley;Charley
Charlie;Charlie
Charlie Brown;Charlie Bruin
Charlie the Tramp;Charlie de Vagebond
Charlie the cook;Charlie de kok
Charmed Warrior;Gecharmeerde krijger
Chasm Crawler;Chasm-crawler
Checkal;Controle
Cheerleader;Cheerleader
Chef Olivia;Chef-kok Olivia
Chemist;Chemicus
Cheryl;Cheryl
Chicken;Kip
Chief Farmer;Hoofdboer
Chief Tess;Chef Tess
Chief servant;Hoofdbediende
Child;Kind
Chinchompa;Chinchompa
Choke devil;Stik duivel
Chompy bird;Chompige vogel
Chompy chick;Chompige meid
Chronozon;Chronozon
Chronozon (hard);Chronozon (moeilijk)
Chuck;Chuck
Cirdan;Cirdan
City guard;Stadswacht
Civilian;Civiel
Clan Guard;Clanwacht
Claude;Claude
Claus the chef;Claus de chef-kok
Clay golem;Klei golem
Cleaner;Schoner
Cleddyf;Cleddyf
Clerk;Klerk
Clerris;Cleris
Clivet;Clivet
Clockwork cat;Uurwerk kat
Clothears;Kleding
Co-ordinator;Coördinator
Coal;Kolen
Cob;Maïskolf
Cockathrice;Cockathrice
Cockatrice;Basilisk
Coenus;Coenus
Col. O'Niall;Kolonel O'Niall
Colonel Grimsson;Kolonel Grimsson
Colonel Radick;Kolonel Radick
Colossal Hydra;Kolossale Hydra
Combat Instructor;Gevechtsinstructeur
Combat Test;Gevechtsproef
Combat Test (maxhit);Gevechtstest (maxhit)
Combat stone;Gevechtssteen
Commander Connad;Commandant Connad
Commander Fullore;Commandant Fullore
Commander Montai;Commandant Montai
Commander Veldaban;Commandant Veldaban
Commander Zilyana;Commandant Zilyana
Commissioner Anwar;Commissaris Anwar
Competition Judge;Competitie rechter
Confused barbarian;Verwarde barbaar
Confusion beast;Verwarring beest
Conrad King;Conrad Koning
Conwenna;Conwenna
Cook;Kok
Cooking tutor;Kookleraar
Cool Mom227;Coole moeder227
Copper longtail;Koperen lange staart
Copper ore;Kopererts
Corkat quo Sihar;Corkat quo Sihar
Cormorant;Aalscholver
Cornelius;Cornelis
Corporeal Beast;Lichamelijk beest
Corporeal Critter;Lichamelijk beestje
Corpse;Lijk
Corrupt Lizardman;Corrupte Lizardman
Corrupt Lizardman (hard);Corrupte Lizardman (hard)
Corrupted Bat;Beschadigde vleermuis
Corrupted Bear;Corrupte beer
Corrupted Dark Beast;Beschadigd donker beest
Corrupted Dragon;Beschadigde Draak
Corrupted Hunllef;Corrupte Hunllef
Corrupted Rat;Beschadigde rat
Corrupted Scorpion;Beschadigde Schorpioen
Corrupted Spider;Beschadigde spin
Corrupted Unicorn;Corrupte Eenhoorn
Corrupted Wolf;Corrupte Wolf
Corrupted Youngllef;Corrupte Youngllef
Corrupted scavenger;Beschadigde aaseter
Corsair Traitor;Corsair-verrader
Corsair Traitor (hard);Corsair Verrader (hard)
Cosmic Being;Kosmisch Zijn
Council workman;Raadswerkman
Councillor Andrews;Wethouder Andries
Councillor Halgrive;Wethouder Halgrive
Councillor Orson;Wethouder Orson
Councillor Unkar;Wethouder Onkar
Count Check;Telcontrole
Count Draynor;Graaf Draynor
Count Draynor (hard);Graaf Draynor (hard)
Court judge;Rechter van het hof
Cow;Koe
Cow (hard);Koe (hard)
Cow calf;Koe kalf
Cow31337Killer;Koe31337 Moordenaar
Cowardly Bandit;Laffe bandiet
Crab;Krab
Crafting tutor;Docent handwerk
Crate;Krat
Crate goblin;Krat kobold
Crawling Hand;Kruipende hand
Crawling hand;Kruipende hand
Crazy archaeologist;Gekke archeoloog
Creakyknees;Krakende knieën
Crefydd;Crefydd
Crimson swift;Karmozijnrood snel
Crimsonette van Marr;Crimsonnette van Marr
Crocodile;Krokodil
Crondis;Crondis
Crone;Oud wijf
Crow;Kraai
Crunchy;Knapperig
Crusher;Breker
Crushing hand;Verpletterende hand
Crust of ice;Korst van ijs
Crypt rat;Crypte rat
Crypt spider;Crypte spin
Crystal impling;Kristal impliciet
Crystalline Bat;Kristallijne vleermuis
Crystalline Bear;Kristallijne beer
Crystalline Dark Beast;Kristallijn donker beest
Crystalline Dragon;Kristallijne draak
Crystalline Hunllef;Kristallijne Hunllef
Crystalline Rat;Kristallijne rat
Crystalline Scorpion;Kristallijne Schorpioen
Crystalline Spider;Kristallijne spin
Crystalline Unicorn;Kristallijne Eenhoorn
Crystalline Wolf;Kristallijne Wolf
Cuffs;Manchetten
Culinaromancer;Culinaromancer
Culinaromancer (hard);Culinaromancer (hard)
Curator Haig Halen;Conservator Haig Halen
Curly;Krullend
Curpile Fyod;Curpile Fjod
Curufin;Curufin
Customer;Klant
Customs officer;Douanebeambte
Cute creature;Leuk wezen
Cyclops;Cyclopen
Cyreg Paddlehorn;Cyreg Paddlehorn
Cyrisus;Cyrisus
Da Vinci;Da Vinci
Dad;Pa
Dad (hard);Papa (moeilijk)
Daer Krand;Daer Krand
Daero;Daëro
Daga;Daga
Dagannoth;Dagannoth
Dagannoth Prime;Dagannoth Prime
Dagannoth Prime Jr.;Dagannoth Prime Jr.
Dagannoth Rex;Dagannoth Rex
Dagannoth Rex Jr.;Dagannoth Rex Jr.
Dagannoth Supreme;Dagannoth oppermachtig
Dagannoth Supreme Jr.;Dagannoth Supreme jr.
Dagannoth fledgeling;Dagannoth jongeling
Dagannoth mother;Dagannoth moeder
Dagannoth mother (hard);Dagannoth moeder (hard)
Dagannoth spawn;Dagannoth-spawn
Dakh'thoulan Aegis;Dakh'thoulan Aegis
Dalal;Dalal
Dalcian Fang (easy);Dalcian Fang (makkelijk)
Dalila;Dalila
Dallas Jones;Dallas Jones
Dalldav;Dalldav
Damaged clay golem;Beschadigde kleigolem
Damien Leucurte;Damien Leucurte
Damis;Damis
Damis (hard);Damis (hard)
Dampe;Dempen
Damwin;Damwin
Dantaera;Dantaera
Darcor quo Narga;Darcor quo Narga
Dark Ankou;Donker Ankou
Dark Core;Donkere kern
Dark Mage;Donkere Magiër
Dark Squirrel;Donkere eekhoorn
Dark beast;Donker beest
Dark core;Donkere kern
Dark energy core;Kern van donkere energie
Dark kebbit;Donkere kebab
Dark mage;Donkere magiër
Dark warrior;Donkere krijger
Dark wizard;Donkere tovenaar
Darkmeyer Slave;Darkmeyer-slaaf
Darren;Darren
Dartog;Dartog
Darve;Darve
Daryl;Daryl
Dashing kebbit;onstuimige kebbit
Dave;Daaf
Davey;Davey
David;David
David Andrews;David Andries
Davon;Davon
Dawn;Ochtendgloren
Dead Monk;Dode monnik
Dead swamp snake;Dode moerasslang
Deadly red spider;Dodelijke rode spin
Death;Dood
Death spawn;De dood spawnt
Death wing;Dood vleugel
Deathly mage;Dodelijke magiër
Deathly ranger;Dodelijke boswachter
Debra;Debra
Defiler;Bezoedelaar
Del-Monty;Del-Monty
Delrith;Delrith
Demon;Demon
Demon butler;Demonische butler
Demonic gorilla;Demonische gorilla
Denadu;Denadu
Denath;Denath
Denulth;Denulth
Deranged archaeologist;Gestoorde archeoloog
Derni;Derni
Dernu;Dernu
Derrik;Derik
Derse Venator;Derse Venator
Derwen;Derwen
Desert Lizard;Woestijnhagedis
Desert Phoenix;Woestijn Phoenix
Desert Spirit;Woestijn geest
Desert Wolf;Woestijnwolf
Desert eagle;Woestijn adelaar
Desert snake;Woestijn slang
Desmodus Lasiurus;Desmodus Lasiurus
Despoina Callidra;Despoina Callidra
Dessourt;Dessert
Dessourt (hard);Dessert (hard)
Dessous;Dessous
Dessous (hard);Dessous (hard)
Devan Rutter;Devan Rutter
Deviant spectre;Afwijkend spook
Devin Mendelberg;Devin Mendelberg
Dharok the Wretched;Dharok de Ellendige
Diana;Diana
Diango;Diango
Dig Site workman;Graafplaats werkman
Digsite workman;Digisite werkman
Dimintheis;Dimintheis
Diol;Diol
Diphylla Bechstein;Diphylla Bechstein
Dire Wolf;Vreselijke Wolf
Disciple of Iban;Discipel van Iban
Disciple of Yama;Discipel van Yama
Dobwinkle;Dobwinkle
Dock worker;Dokwerker
Dockmaster;Dokmeester
Doctor Orbon;Dokter Orbon
Dodgy Squire;Onbetrouwbare schildknaap
Dog;Hond
Doll;POP
Dominic Onion;Dominicus Ui
Dommik;Dommik
Don;Maffiabaas
Don't Know What;Weet niet wat
Donal;Donal
Dondakan the Dwarf;Dondakan de dwerg
Donie;Donie
Donny the lad;Donny de jongen
Donovan the Family Handyman;Donovan de klusjesman van de familie
Doomion;Noodlot
Doomsayer;Doemzegger
Door;Deur
Door man;Deur man
Door-support;Deursteun
Doric;Dorisch
Doris;Doris
Double agent;Dubbelagent
Doug Deeping;Doug Deeping
Doyen;Doyen
Dr Fenkenstrain;Dr. Fenkenstrain
Dr Ford;Dr. Ford
Dr Harlow;Dr Harlow
Dr Jekyll;Dr. Jekyll
Draconis Sanguine;Draconis Sanguinisch
Dragon display;Draken weergave
Dragon impling;Draak impliciet
Dragonkin;Drakenkin
Drain pipe;Afvoerpijp
Drake;Mannetjeseend
Drasdan Ranor;Drasdan Ranor
Draul Leptoc;Draul Leptoc
Dreven;Dreven
Drew;Drew
Drezel;Drezel
Driftwood;Drijfhout
Drill Sergeant;Boor sergeant
Droalak;Droalak
Drogo dwarf;Drogo-dwerg
Dromund;Dromund
Dromund's cat;Dromunds kat
Dron;Dron
Druid;Druïde
Drunken Ali;Dronken Ali
Drunken Dwarf;Dronken dwerg
Drunken Dwarf's Leg;Het been van een dronken dwerg
Drunken man;Dronken man
Drunken soldier;Dronken soldaat
Dryad;Dryade
Duck;Eend
Duckling;Eendje
Ducklings;Eendjes
Dugopul;Dugopul
