Follow;Seguir
Logout;Cerrar sesión
<col=ffff00>Set chat mode:</col> Guest Clan (/@gc);<col=ffff00>Establecer modo de chat:</col> Clan invitado (/@gc)
<col=ffff00>Channel:</col> Clear history;<col=ffff00>Canal:</col> Borrar historial
Friends List;Lista de amigos
World Switcher;Cambiador de mundos
<col=ffff00>Public:</col> Show standard;<col=ffff00>Público:</col> Mostrar estándar
<col=ffff00>Set chat mode:</col> Channel (/@f);<col=ffff00>Establecer modo de chat:</col> Canal (/@f)
<col=ffff00>Set chat mode:</col> Public (/@p);<col=ffff00>Establecer modo de chat:</col> Público (/@p)
Controls;Controles
<col=ffff00>Public:</col> Hide;<col=ffff00>Público:</col> Ocultar
<col=ffff00>Public:</col> Show friends;<col=ffff00>Público:</col> Mostrar amigos
Close;Cerrar
Show on Map;Mostrar en el mapa
Outside;Afuera
Yanille;yanille
Warnings;Advertencias
Seers';Videntes
Enable warning;Habilitar advertencia
Animation;Animación
Open <col=ff9040>Fremennik Journal</col>;Abra <col=ff9040>Diario Fremennik</col>
Wiki <col=ff9040>Lumbridge & Draynor Journal</col>;Wiki <col=ff9040>Diario de Lumbridge & Draynor</col>
Wiki <col=ff9040>Kourend & Kebos Journal</col>;Wiki <col=ff9040>Diario de Kourend y Kebos</col>
Open <col=ff9040>Karamja Journal</col>;Abra <col=ff9040>Diario Karamja</col>
Open <col=ff9040>Lumbridge & Draynor Journal</col>;Abrir <col=ff9040>Revista de Lumbridge & Draynor</col>
Wiki <col=ff9040>Falador Journal</col>;Wiki <col=ff9040>Diario Falador</col>
Wiki <col=ff9040>Fremennik Journal</col>;Wiki <col=ff9040>Diario Fremennik</col>
Open <col=ff9040>Kandarin Journal</col>;Abra <col=ff9040>Diario Kandarin</col>
Wiki <col=ff9040>Karamja Journal</col>;Wiki <col=ff9040>Diario Karamja</col>
Open <col=ff9040>Falador Journal</col>;Abrir <col=ff9040>Diario Falador</col>
Open <col=ff9040>Kourend & Kebos Journal</col>;Abrir <col=ff9040>Diario de Kourend & Kebos</col>
Wiki <col=ff9040>Kandarin Journal</col>;Wiki <col=ff9040>Diario Kandarin</col>
Bond Pouch;Bolsa de bonds
DPS;DPS
Search;Buscar
Learn More;Más información
Open;Abrir
Pick;Elegir
Join Castle Wars;Únete a Castle Wars
Attack;Atacar
Climb-down;Bajar
Travel;Viajar
Rest;Descansar
Build;Construir
Check;Verificar
Tend-to;tender a
Add friend;Agregar amigo
Add ignore;Agregar ignorar
Enter-guest;Ingresar-invitado
Climb-up;Subir
Enter;Entrar
Enter-member;Entrar-miembro
Items;Elementos
Knock-at;Golpear
Smith;Forjar
Pet;Mascota
Shoo-away;ahuyentar
Continue;Continuar
Trade;Comercio
Create <col=ff9040>Sell</col> offer;Crear oferta de <col=ff9040>Venta</col>
Favourite;Favorito
Switch;Cambiar
2;2 
Create <col=ff9040>Buy</col> offer;Crear oferta de <col=ff9040>Comprar</col>
1;1 
Clear;Limpiar
-5%;-5%
Collect to inventory;Recoger al inventario
+5%;+5%
Modify offer;Modificar oferta
Confirm;Confirmar
Abort offer;Cancelar oferta
View offer;Ver oferta
Collect to bank;Recoger al banco
Enter price;Introduce el precio
Customise;Personalizar
Guide price;Precio orientativo
All;Todo
Enter quantity;Introduce la cantidad
+1;+1
Offer;Oferta
Buy: 1 x Nature rune;Comprar: 1 x Runa de la naturaleza
Buy-offer;oferta de compra
Chop-down;talar
Look North;Mirar al norte
Look South;mirar hacia el sur
Look East;mirar hacia el este
Look West;Mirar al oeste
Hide;Ocultar
Cook;Cocinar
Refresh;Refrescar
Message;Mensaje
Delete;Borrar
Add Friend;Agregar amigo
Delete Friend;Eliminar amigo
Find;Encontrar
Toggle Run;Alternar ejecutar
Open subsection;Subsección abierta
Pickpocket;Hurtar
Claim-staves;bastones de reclamo
Rake;Rastrillo
3;3 
Inspect;Inspeccionar
Toggle unlock message;Alternar mensaje de desbloqueo
Select <col=ff981f>Chat;Seleccione <col=ff981f>Chatear
Mute;Silenciar
All Settings;Todas las configuraciones
Select <col=ff981f>Activities;Seleccione <col=ff981f>Actividades
Select <col=ff981f>Gameplay;Selecciona <col=ff981f>Jugabilidad
Select <col=ff981f>Audio;Seleccione <col=ff981f>Audio
Select <col=ff981f>Display;Seleccione <col=ff981f>Mostrar
Select <col=ff981f>Warnings;Seleccione <col=ff981f>Advertencias
View-journal;Ver diario
Stats;Estadísticas
Rummage;Hurgar
Switch View;Cambiar vista
Guide;Guía
View tab;Ver pestaña
Collapse tab;Contraer pestaña
Withdraw-X;Retirar-X
Withdraw-10000;Retirar-10000
Withdraw-10;Retirar-10
Withdraw-All;Retirar todo
Remove placeholders;Eliminar marcadores de posición
Withdraw-5;Retirar-5
Withdraw-All-but-1;Retirar-todos-menos-1
Withdraw-1;Retirar-1
Release;Liberar
Default quantity: 10,000;Cantidad predeterminada: 10.000
Default quantity: 1;Cantidad predeterminada: 1
Set custom quantity;Establecer cantidad personalizada
View tag tab;Ver pestaña de etiqueta
Rename tag tab;Cambiar nombre de pestaña de etiqueta
Delete tag tab;Eliminar pestaña de etiqueta
Default quantity: 10;Cantidad predeterminada: 10
Enable layout;Habilitar diseño
Change icon;Cambiar icono
Export tag tab;Pestaña de etiqueta de exportación
Makeover;cambio de imagen
Unlock;Descubrir
Read;Leer
Walk-down;Caminata
Study;Estudiar
Dismiss;Despedir
Look-at;Mira a
Focus on;Concentrarse en
Cancelar;Cancelar
Climb;Trepar
Clear history;Borrar historial
Item;Artículo
Note;Nota
Swap;Intercambio
Insert;Insertar
Default quantity: All;Cantidad predeterminada: Todos
Deposit inventory;Depositar inventario
Deposit worn items;Depositar equipamiento
Disable;Desactivar
Default quantity: 5;Cantidad predeterminada: 5
Withdraw-14;Retirar-14
Pay (Fruit tree);Pagar (árbol frutal)
Default quantity: 14;Cantidad predeterminada: 14
Wield;Ejercer
Wear;Tener puesto
Dismantle;Desmantelar
Minimise <col=ff9040>Minimap</col>;Minimizar <col=ff9040>Minimapa</col>
Floating <col=ff9040>World Map</col>;<col=ff9040>Mapa mundial</col> flotante
Fullscreen <col=ff9040>World Map</col>;Pantalla completa <col=ff9040>Mapa mundial</col>
Castle Wars;Guerras de castillos
Collect-from;Recoger desde
Tears of Guthix;Lágrimas de Guthix
Farm Teleport;Teletransporte de granja
Pray-at;rezar
Story;Historia
Equip;Equipar
Wintertodt Camp;Campamento de invierno
Rub;Frotar
Corporeal Beast;Bestia corpórea
Monastery Teleport;Teletransporte del monasterio
Fortis Colosseum;Coliseo Fortis
Ferox Enclave;Enclave Ferox
Barbarian Outpost;Puesto avanzado bárbaro
Emir's Arena;Arena del Emir
Burthorpe;burthorpe
Drink;Beber
Open Activity Adviser;Asesor de actividades abiertas
Mine;Minar
Uncharge;Descargar
Xeric's Lookout;El mirador de Xeric
Steal-from;Robar de
Xeric's Honour;El honor de Xeric
Check steps;Comprobar pasos
Teleport;Teletransportarse
Enable prayer filtering;Habilitar el filtrado de oraciones
Trim;Recortar
Perform;Llevar a cabo
Loop;Bucle
Xeric's Glade;Claro de Xeric
Xeric's Heart;El corazón de Xeric
Remove default;Eliminar valor predeterminado
Xeric's Inferno;El infierno de Xeric
Deposit-X;Depósito-X
Deposit-All;Depósito-Todo
Default quantity: <col=ff9040>5</col>;Cantidad predeterminada: <col=ff9040>5</col>
Deposit Lock Settings;Configuración de bloqueo de depósitos
Disable inventory locks;Desactivar bloqueos de inventario
Deposit-10;Depósito-10
Deposit-1;Depósito-1
Deposit-5;Depósito-5
Default quantity: <col=ff9040>1</col>;Cantidad predeterminada: <col=ff9040>1</col>
Shave;Afeitar
Haircut;Corte de pelo
Net;Neto
Toggle Accept Aid;Toggle Aceptar ayuda
Empty;Vacío
Eat;Comer
Adventure Paths;Caminos de Aventura
Clean;Limpio
Smith set;conjunto de herrero
Stab;Puñalada
Lunge;Estocada
Slash;Barra oblicua
Placeholder;Marcador de posición
Name Changer;Cambiador de nombre
Upgrade Now;Actualiza ahora
Disable spell filtering;Desactivar el filtrado ortográfico
Close <col=ff9040>Floating panel</col>;Cerrar <col=ff9040>Panel flotante</col>
Ultimate Ironman;Hombre de Hierro definitivo
7 days;7 días
Hardcore Group Ironman;Ironman grupo duro
Unranked Group Ironman;Ironman grupal no clasificado
None;Ninguno
Group Ironman;Grupo Ironman
Ironman;hombre de hierro
Hardcore Ironman;Hombre de hierro incondicional
Proceed;Proceder
90 days;90 días
Top-floor;último piso
Cross;Cruz
Smelt;Eperlano
Bait;Carnada
Toggle warnings;Alternar advertencias
Lure;Señuelo
Buy;Comprar
Bury;Enterrar
Check Kudos;Comprobar felicitaciones
Look at;Mira a
Light;Luz
Adjust Brightness;Ajustar el brillo
Select <col=ff981f>Controls;Seleccione <col=ff981f>Controles
Board;Junta
Grapple;Luchar
Toggle skull prevention;Alternar prevención del cráneo
Restore Default Zoom;Restaurar zoom predeterminado
Select <col=ff981f>Interfaces;Seleccione <col=ff981f>Interfaces
Buy-X;Compra-X
Potions;pociones
Buy-5;Compra-5
Buy-1;Compra-1
Buy-All;Compra todo
Show worn items;Mostrar artículos usados
Bottom-floor;Planta baja
Locate;Localizar
Disable Adventure Paths;Desactivar rutas de aventura
Repair;Reparar
Show<col=ff9040> Task information;Mostrar<col=ff9040> ​​información de la tarea
Expand;Expandir
Show task: <col=ff9040>Getting started with Mining;Mostrar tarea: <col=ff9040>Comenzando con la minería
More info;Más información
Check reward;comprobar recompensa
Show<col=ff9040> Paths;Mostrar<col=ff9040> ​​rutas
Claim-trophies;Reclamar trofeos
Set<col=ff9040> Focus;Establecer <col=ff9040> ​​enfoque
Show task: <col=ff9040>Getting started with Fishing;Mostrar tarea: <col=ff9040>Comenzando con la pesca
Select <col=ff9040>Gatherer path;Seleccione <col=ff9040>Ruta del recopilador
Show task: <col=ff9040>Getting started with Woodcutting;Mostrar tarea: <col=ff9040>Introducción a la tala de madera
Pick-from;Recogida
Drop<col=ff9040> Focus;Soltar<col=ff9040> ​​Enfoque
Suck;Chupar
Close dropdown;Cerrar menú desplegable
Select <col=ff9040>Combat path;Seleccione <col=ff9040>Ruta de combate
Armour;Armadura
Show<col=ff9040> Settings;Mostrar<col=ff9040> ​​configuración
Show <col=ff9040>path reward;Mostrar recompensa de ruta <col=ff9040>
View House Options;Ver opciones de casa
Open Bond Pouch;Bolsa de bonos abierta
Empty containers;Contenedores vacios
Enable <col=ff9040>Notes;Habilitar <col=ff9040>Notas
Enable <col=ff9040>Insert;Habilitar <col=ff9040>Insertar
Age;Edad
Enable;Permitir
Open Adventure Paths;Abrir caminos de aventura
Show task: <col=ff9040>Sharpshooter;Mostrar tarea: <col=ff9040>Francotirador
Claim;Afirmar
Show task: <col=ff9040>Getting started with Magic;Mostrar tarea: <col=ff9040>Comenzando con Magic
Show task: <col=ff9040>Getting a grip on it;Mostrar tarea: <col=ff9040>Controlarlo
Show task: <col=ff9040>Body builder;Mostrar tarea: <col=ff9040>Culturista
Show task: <col=ff9040>Getting started with Attack;Mostrar tarea: <col=ff9040>Comenzando con Attack
Show task: <col=ff9040>Striking a pose;Mostrar tarea: <col=ff9040>Hacer una pose
Show task: <col=ff9040>Honing my aim;Mostrar tarea: <col=ff9040>Perfeccionando mi puntería
Show task: <col=ff9040>Bringer of chaos;Mostrar tarea: <col=ff9040>Portador del caos
Show task: <col=ff9040>Building muscle;Mostrar tarea: <col=ff9040>Desarrollar músculo
Show task: <col=ff9040>Mithril defence;Mostrar tarea: <col=ff9040>Defensa de Mithril
Show task: <col=ff9040>Getting started with Defence;Mostrar tarea: <col=ff9040>Comenzando con Defensa
Show task: <col=ff9040>Getting started with Strength;Mostrar tarea: <col=ff9040>Comenzando con Fuerza
Show task: <col=ff9040>Sticks and stones;Mostrar tarea: <col=ff9040>Palos y piedras
Show task: <col=ff9040>Weapons master;Mostrar tarea: <col=ff9040>Maestro de armas
Show task: <col=ff9040>Getting started with Ranged;Mostrar tarea: <col=ff9040>Comenzando con Ranged
Talk-To;hablar con
Shut;Cerrar
Pay-toll(10gp);Pago de peaje(10gp)
Revert;Revertir
Deactivate;Desactivar
Ironman Group;Grupo Ironman
Predict;Predecir
Leave;Dejar
Copy-outfit;traje de copia
<col=ffff00>Group:</col> Clear history;<col=ffff00>Grupo:</col> Borrar historial
Jump;Saltar
Challenge;Desafío
Reanimate;Reanimar
Quick Pass;Pase rápido
Pass;Aprobar
<col=ffff00>Group:</col> Show friends;<col=ffff00>Grupo:</col> Mostrar amigos
<col=ffff00>Group:</col> Show all;<col=ffff00>Grupo:</col> Mostrar todo
<col=ffff00>Group:</col> Show none;<col=ffff00>Grupo:</col> Mostrar ninguno
Quench;Aplacar
Withdraw-18;Retirar-18
Inside;Adentro
Home;Hogar
Group;Grupo
Deposit-18;Depósito-18
Build mode;Modo de construcción
Resurrect;Resucitar
Friend's house;casa de un amigo
Break;Romper
Rest (private);Descanso (privado)
Equipment;Equipo
Check Charges;Consultar cargos
Sort;Clasificar
Catch;Atrapar
Pick-lots;lotes de recogida
A Dark Disposition;Una disposición oscura
Jewellery of Jubilation;Joyas de júbilo
Store-X;Tienda-X
Touch;Tocar
Lunch by the Lancalliums;Almuerzo junto a los Lancallium
Store;Almacenar
Reminisce;Recordar viejas historias
Shared;Compartido
Dig;Excavar
Store-5;Tienda-5
Take Seed Dibber;Tome el excavador de semillas
Withdraw all;Retirar todo
Upgrade;Mejora
Withdraw;Retirar
The Fisher's Flute;La flauta del pescador
Store-All;Tienda-Todo
Take Spade;tomar pala
Take Rake;tomar rastrillo
Deposit all;Depositar todo
Quick-pass;pase rápido
History and Hearsay;Historia y rumores
Store-10;Tienda-10
Private;Privado
Spin;Girar
Churn;Batir
Shear;Cortar
Close Activity Adviser;Cerrar Asesor de actividad
Chart;Cuadro
Last-destination (AIP);Último destino (AIP)
Zoom out;alejar
Zanaris;Zanaris
Buy 50;comprar 50
Value;Valor
Buy 10;Compra 10
Buy 1;Compra 1
Buy-50;Compra-50
Buy 5;Compra 5
Climb-over;trepar
Milk;Leche
Take-axe;hacha
Steal-cowbell;robar cencerro
View Newspost;Ver publicación de noticias
View History;Ver historial
New tab;Nueva pestaña
Collapse;Colapsar
New tag tab;Nueva pestaña de etiqueta
Import tag tab;Importar pestaña de etiqueta
View tag tabs;Ver pestañas de etiquetas
View journal <col=ff981f>The Restless Ghost</col>;Ver diario <col=ff981f>El fantasma inquieto</col>
View all items;Ver todos los artículos
Rotate-clockwise;Girar en el sentido de las agujas del reloj
Pick-up;Levantar
Rotate-anticlockwise;Girar en sentido antihorario
Release-bees;abejas liberadoras
Dig-up;desenterrar
Change;Cambiar
Remove board advert;Quitar anuncio del foro
Teleport Menu;Menú de teletransporte
Attach;Adjuntar
Lock;Cerrar
Sit-on;sentarse
Metamorphosis;Metamorfosis
Fossil Island;isla fósil
Configuration;Configuración
Teleport menu;Menú de teletransporte
Great Kourend;Gran Kurend
Fill;Llenar
Chop;Cortar
View journal <col=ff981f>X Marks the Spot</col>;Ver diario <col=ff981f>La X marca el lugar</col>
Sell 50<col=ff9040>;Vender 50<col=ff9040>
Sell 10<col=ff9040>;Vender 10<col=ff9040>
Sell 1<col=ff9040>;Vender 1<col=ff9040>
Buy-10;Compra-10
Value<col=ff9040>;Valor<col=ff9040>
Feel;Sentir
Sell 5<col=ff9040>;Vender 5<col=ff9040>
Steal from;robar de
Herblore;herblore
Strength;Fortaleza
Woodcutting;tala de madera
Farming;Agricultura
Crafting;Elaboración
Hitpoints;Puntos de vida
View journal <col=ff981f>Cook's Assistant</col>;Ver diario <col=ff981f>Asistente de cocinero</col>
Fishing;Pesca
Construction;Construcción
Climb-into;Subir a
Mining;Minería
Ranged;a distancia
Slayer;Asesino
Agility;Agilidad
Fletching;Flechando
Sailing;Navegación
Operate;Funcionar
View journal <col=ff981f>Romeo & Juliet</col>;Ver diario <col=ff981f>Romeo y Julieta</col>
Take-flyer;Tomar folleto
+100;+100
+10;+10
-1;-1
Back;Atrás
+1K;+1K
Choose item;Elige artículo
Flash icons;Iconos flash
Sacrifice;Sacrificio
Take-All;Toma todo
Jump-in;Saltar
View journal <col=ff981f>Rune Mysteries</col>;Ver diario <col=ff981f>Rune Mysteries</col>
Coffer;Cofre
Picklock;Ganzúa
Switch world;Cambiar mundo
Pass-Through;Transferencia
Small Net;Red pequeña
