 Sneaky undead fowl;Aves no muertas furtivas
Armourer (tier 2);Armero (nivel 2)
Armourer (tier 3);Armero (nivel 3)
Armourer (tier 4);Armero (nivel 4)
Armourer (tier 5);Armero (nivel 5)
Army Commander;Comandante del ejército
Arno;arno
Arnold Lydspor;Arnold Lydspor
Arnor;arnor
Arrg;Arrg
Arrg (hard);Arrg (duro)
Arsen the Thief;Arsen el ladrón
Art;Arte
Art Critic Jacques;El crítico de arte Jacques
Arthur;Arturo
Arthur the Clue Hunter;Arthur el cazador de pistas
Artimeus;Artimeo
Artur Hosidius;Arturo Hosidio
Arvel;Arvel
Arzinian Avatar of Magic;Avatar Arziniano de la Magia
Arzinian Avatar of Ranging;Avatar arziniano de rango
Arzinian Avatar of Strength;Avatar arziniano de fuerza
Arzinian Being of Bordanzan;Ser arziniano de Bordanzan
Ash;Ceniza
Ashild;ashild
Askeladden;Askeladden
Assassin;Asesino
Assistant;Asistente
Assistant Brock;asistente brock
Assistant Le Smith;Asistente Le Smith
Assistant Lori;asistente lori
Assistant Marrow;Asistente de Médula
Assistant Serf;siervo asistente
Assistant Stan;Asistente Stan
Asteros Arceuus;Asteros Arceuus
Asyff;asyff
Asyn Shade;Sombra Asyn
Asyn Shadow;Sombra asín
Asyn shadow;Sombra asín
Atlas;Atlas
Aubury;Aubury
Auctioneer;Subastador
Audmann;audmann
Auguste;auguste
Aurel;aurel
Austri;Austria
Autumn Elemental;Elemental de Otoño
Ava;ava
Avan;avan
Avatar of Creation;Avatar de la Creación
Avatar of Destruction;Avatar de destrucción
Aviansie;aviansie
Awakened Altar;Altar despierto
Awowogei;Awowogei
Awusah the Mayor;Awusah el alcalde
Ayesha;ayesha
Azzanadra;azzanadra
Baba Yaga;Baba Yagá
Baby Chinchompa;Bebé Chinchompa
Baby Mole;topo bebé
Baby Mole-rat;Bebé rata topo
Baby Roc;bebé roc
Baby black dragon;Dragón negro bebé
Baby blue dragon;Dragón azul bebé
Baby green dragon;Dragón verde bebé
Baby impling;bebé implicando
Baby red dragon;Dragón rojo bebé
Baby tanglefoot;Bebé enredado
Badger;Tejón
Bailey;Muralla exterior
Baker;Panadero
Bakuna;Bakuna
Bald Headed Eagle;Águila calva
Balfrug Kreeyath;Balfrug Kreeyath
Balloon Animal;animales globo
Balloon Toad;Sapo Globo
Bandit;Bandido
Bandit Leader;Líder bandido
Bandit champion;campeón bandido
Bandit shopkeeper;comerciante bandido
Bandosian guard;guardia bandosiana
Banisoch;Banisoch
Bank guard;guardia de banco
Banker;Banquero
Banker tutor;tutor banquero
Banknote Exchange Merchant;Comerciante de cambio de billetes
Banshee;alma en pena
Baraek;Baraek
Barb-tailed kebbit;Kebbit de cola de púas
Barbara;Bárbara
Barbarian;Bárbaro
Barbarian Warlord;Señor de la guerra bárbaro
Barbarian guard;guardia bárbara
Bardur;bardur
Barfy Bill;Bill Barfy
Barge foreman;capataz de barcaza
Barge guard;guardia de barcaza
Barge workman;trabajador de barcaza
Bark Blamish Snail;Caracol de corteza
Barker;Pregonero
Barlak;Barlak
Barmaid;Camarera
Barman;Barman
Barnabus Hurma;Bernabé Hurma
Barrelchest;Cofre de barril
Barrelchest (hard);Cofre de barril (duro)
Barricade;Barricada
Bartak;bartak
Bartender;Barman
Basilisk;Basilisco
Basilisk Knight;Caballero Basilisco
Basilisk Sentinel;Centinela Basilisco
Basilisk Youngling;Joven Basilisco
Bast;Líber
Bat;Murciélago
Batt Mellamy;Batt Mellamy
Battle mage;mago de batalla
Battle tortoise display;Exhibición de tortugas de batalla
Baxtorian;baxtoriano
Bear Cub;Cachorro de oso
Bearded gorilla;gorila barbudo
Beaver;Castor
Bed;Cama
Bedabin Nomad;Nómada Bedabin
Bedabin Nomad Fighter;Luchador nómada Bedabin
Bedabin Nomad Guard;Guardia Nómada Bedabin
Bedread the bold;Leer los atrevidos
Bee keeper;apicultor
Bees!;¡Abejas!
Beggar;Mendigo
Beigarth;Beigarth
Beite;Beita
Bellemorde;Bellamorde
Belona;Belona
Bench;Banco
Benjamin;Benjamín
Benny;Benny
Bentamir;Bentamir
Bernald;Bernardo
Berry;Baya
Berserk barbarian spirit;Espíritu bárbaro enloquecido
Bert;berto
Betty;betty
Biblia;biblia
Big Dave;gran dave
Big Snake;serpiente grande
Big Wolf;gran lobo
Big frog;rana grande
BigRedJapan;BigRedJapón
Bill Teach;factura enseñar
Billy;Porra
Billy Goat;Cabra Billy
Billy Rehnison;Billy Rehnison
Billy, a guard of Falador;Billy, un guardia de Falador
Bird;Pájaro
Bjorn;Björn
Black Cat;gato negro
Black Guard;Guardia Negra
Black Guard Berserker;Berserker de la Guardia Negra
Black Heather;Brezo negro
Black Knight;Caballero Negro
Black Knight Captain;Capitán Caballero Negro
Black Knight Titan;Titán Caballero Negro
Black Knight Titan (hard);Titán Caballero Negro (difícil)
Black bear;Oso negro
Black chinchompa;chinchompa negra
Black demon;demonio negro
Black demon (hard);Demonio negro (difícil)
Black dragon;dragón negro
Black golem;gólem negro
Black knight;caballero negro
Black salamander;salamandra negra
Black swan;cisne negro
Black unicorn;unicornio negro
Black unicorn Foal;Potro unicornio negro
Black warlock;brujo negro
Blackjack seller;Vendedor de veintiuna
Blaec;Blaec
Blair;Blair
Blandebir;Blandebir
Blanin;Blanín
Blasidar the sculptor;Blasidar el escultor
Blast Furnace Foreman;Capataz de Alto Horno
Blessed giant rat;Bendita rata gigante
Blessed spider;Bendita araña
Bloated Toad;Sapo hinchado
Blood Blamish Snail;Caracol manchado de sangre
Blood spawn;engendro de sangre
Bloodhound;Sabueso
Bloodveld;sabana sangrienta
Bloodworm;gusano de sangre
Blue Monkey;mono azul
Blue Opal Director;Directora de ópalo azul
Blue Opal Secretary;Secretaria de ópalo azul
Blue Sheep;oveja azul
Blue dragon;dragón azul
Blurberry;borroso
Boar;Verraco
Boat;Bote
Bob;Chelín
Bob Barter (herbs);Bob Barter (hierbas)
Bob, another guard of Falador;Bob, otro guardia de Falador
Bobawu;Bobawu
Bobbing fossil;Fósil que se balancea
Body Golem;Gólem corporal
Bolkoy;Bolkói
Bologa;Bolonia
Bolongo;bolongo
Bonafido;Bonafido
Boneguard;guardahuesos
Bones;Huesos
Bonzara;Bonzara
Bonzo;Bonzo
Boot;Bota
Border Guard;guardia fronteriza
Boris;boris
Bork Sigmundson;Bork Sigmundson
Borrokar;Borrokar
Boulder;Roca
Bouncer;Bravucón
Bouncer (hard);Gorila (duro)
Bouquet Mac Hyacinth;Ramo Mac Jacinto
Bow and Arrow salesman;Vendedor de arco y flecha
Boy;Chico
Brambickle;Zarzamora
Brana;Braña
Branwen;Branwen
Brassican Mage;Mago Brassicano
Bravek;bravek
Brawler;Alborotador
Bree;bree
Breive;Breive
Brendt;brenda
Breoca;Breoca
Brewer;Cervecero
Brian;brian
Brian O'Richard;Brian O'Richard
Briget;Brigitte
Brimstail;Cola de ala
Brine rat;rata de salmuera
Broddi;Broddi
Broken Handz;Manos rotas
Broken clay golem;Golem de arcilla roto
Bronze dragon;Dragón de bronce
Broodoo victim;Víctima de Broodoo
Brother Aimeri;Hermano Aimeri
Brother Althric;Hermano Althric
Brother Brace;Hermano Brace
Brother Cedric;hermano cedric
Brother Jered;Hermano Jered
Brother Kojo;Hermano Kojo
Brother Maledict;Hermano Maledicto
Brother Omad;Hermano Omad
Brother Tranquility;Hermano Tranquilidad
Brown Engine Director;Director de motores marrones
Brown Engine Secretary;Secretario de motores marrones
Brugsen Bursen;Brugsen Bürsen
Bruise Blamish Snail;Moretón Blamish Caracol
Brundt the Chieftain;Brundt el cacique
Brutal black dragon;Dragón negro brutal
Brutal blue dragon;Dragón azul brutal
Brutal green dragon;Dragón verde brutal
Brutal red dragon;Dragón rojo brutal
Bryn;Bryn
Bryophyta;briófitos
Bugs;Insectos
Builder;Constructor
Buinn;Buinn
Bullrush;junco
Bunkdo;litera
Bunkwicket;litera
Bunny;Conejito
Burkor;burkor
Burntmeat;carne quemada
Burntof;quemado
Bush snake;serpiente arbustiva
Butler;Mayordomo
Butler Jarvis;mayordomo jarvis
Butler Jones;Mayordomo Jones
Butterfly;Mariposa
Cabin Boy Colin;grumete colin
Cabin Boy Herbert;grumete herbert
Cabin boy;Grumete
Cabin boy Jenkins;grumete jenkins
Caden Azro;Caden Azro
Caerwyn;caerwyn
Cage;Jaula
Caleb;caleb
Calin;calín
Callisto;Calisto
Callisto cub;Cachorro de Calisto
Cam the Camel;Cam el camello
Camarst;camarst
Camel;Camello
Camel display;exhibición de camellos
Camorra;camorra
Camp dweller;Habitante del campamento
Candle maker;fabricante de velas
Candle seller;vendedor de velas
Caninelle Draynar;Caninelle Draynar
Cannoneer;Servidor del cañón
Cap'n Hand;Capitán mano
Cap'n Izzy No-Beard;Capitán Izzy sin barba
Capt' Arnav;Capitán Arnav
Captain;Capitán
Captain Barnaby;Capitán Barnaby
Captain Bentley;Capitán Bentley
Captain Bleemadge;Capitán Bleemadge
Captain Braindeath;Capitán muerte cerebral
Captain Bruce;Capitán Bruce
Captain Cain;Capitán Caín
Captain Cleive;Capitán Cleive
Captain Daerkin;Capitán Daerkin
Captain Dalbur;Capitán Dalbur
Captain Donnie;Capitán Donnie
Captain Dudi;Capitán Dudi
Captain Errdo;Capitán Errdo
Captain Ginea;Capitán Ginea
Captain Janaway;Capitán Janaway
Captain Kalt;Capitán Kalt
Captain Khaled;Capitán Khaled
Captain Klemfoodle;Capitán Klemfoodle
Captain Lamdoo;Capitán Lamdoo
Captain Lawgof;Capitán Lawgof
Captain Magoro;Capitán Magoro
Captain Ned;Capitán Ned
Captain Ninto;Capitán Ninto
Captain Pudi;Capitán Pudi
Captain Rachelle;Capitán raquel
Captain Rimor;Capitán Rimor
Captain Rovin;Capitán Rovin
Captain Sdiar;Capitán Sdiar
Captain Shanks;Capitán cañas
Captain Shoracks;Capitán Shoracks
Captain Siad;Capitán Siad
Captain Tobias;Capitán Tobías
Captain Tock;Capitán Tock
Captain Tom;Capitán Tom
Carado;Carado
Caranthir;Caranthir
Carl;carlos
Carla;carla
Carnivorous chinchompa;Chinchompa carnívora
Carnivus Belamorta;Carnivus Belamorta
Carol;Villancico
Caroline;carolino
Carpenter;Carpintero
Carpenter Kjallak;Carpintero Kjallak
Cart Camel;Carro Camello
Cart conductor;Conductor de carro
Cassie;cassie
Cat;Gato
Catablepon;Catablepon
Catalina;Catalina
Cave Scenery;Paisaje de cueva
Cave abomination;Abominación de las cavernas
Cave bug;Insecto de cueva
Cave bug larva;Larva de chinche de las cavernas
Cave crawler;rastreador de cuevas
Cave goblin;duende de las cavernas
Cave goblin child;Niño duende de las cavernas
Cave goblin guard;Guardia duende de las cavernas
Cave goblin miner;Minero duende de las cavernas
Cave horror;Horror de la cueva
Cave kraken;Kraken de cueva
Cave lizard;Lagarto de cueva
Cave monk;Monje de las cavernas
Cave slime;limo de cueva
Cave snake;serpiente de cueva
Cavemouth;boca de cueva
Cavey Davey;Davey Cavey
Cecilia;Cecilia
Celebrian;celebridad
Celegorm;Celegorm
Celyn;Celyn
Centaur;Centauro
Ceolburg;Ceolburgo
Cerberus;Cerbero
Ceril Carnillean;Ceril Carnillean
Cerulean twitch;contracción cerúlea
Ceto;Ceto
Chadwell;chadwell
Chaeldar;chaeldar
Chamber guardian;guardián de la cámara
Chancy;Arriesgado
Chaos Elemental;Elemental del Caos
Chaos Elemental Jr.;Elemental del Caos Jr.
Chaos Fanatic;Fanático del Caos
Chaos Golem;Gólem del Caos
Chaos druid;Druida del caos
Chaos druid warrior;Guerrero druida del caos
Chaos dwarf;enano del caos
Chaotic death spawn;Engendro de muerte caótica
Charles;carlos
Charles Charlington;Carlos Charlington
Charley;Charley
Charlie;charlie
Charlie Brown;charlie marrón
Charlie the Tramp;charlie el vagabundo
Charlie the cook;charlie el cocinero
Charmed Warrior;guerrero encantado
Chasm Crawler;Reptador de abismo
Checkal;comprobar
Cheerleader;Animador
Chef Olivia;Chef Olivia
Chemist;Químico
Cheryl;Cheryl
Chicken;Pollo
Chief Farmer;Granjero jefe
Chief Tess;Jefe Tess
Chief servant;sirviente principal
Child;Niño
Chinchompa;chinchompa
Choke devil;diablo estrangulador
Chompy bird;pájaro masticador
Chompy chick;pollito masticable
Chronozon;cronozon
Chronozon (hard);Cronozón (duro)
Chuck;Arrojar
Cirdan;cirdan
City guard;guardia de la ciudad
Civilian;Civil
Clan Guard;Guardia del clan
Claude;claudio
Claus the chef;Claus el chef
Clay golem;Gólem de arcilla
Cleaner;Limpiador
Cleddyf;Cleddyf
Clerk;Oficinista
Clerris;Clerris
Clivet;Clive
Clockwork cat;gato mecánico
Clothears;ropa
Co-ordinator;Coordinador
Coal;Carbón
Cob;Mazorca
Cockathrice;cacatriz
Cockatrice;Aciano
Coenus;Coeno
Col. O'Niall;Coronel O'Niall
Colonel Grimsson;Coronel Grimsson
Colonel Radick;Coronel Radick
Colossal Hydra;Hidra colosal
Combat Instructor;Instructor de combate
Combat Test;Prueba de combate
Combat Test (maxhit);Prueba de combate (maxhit)
Combat stone;Piedra de combate
Commander Connad;Comandante Connad
Commander Fullore;Comandante Fullore
Commander Montai;Comandante Montai
Commander Veldaban;Comandante Veldaban
Commander Zilyana;Comandante Zilyana
Commissioner Anwar;Comisionado Anwar
Competition Judge;Juez de competición
Confused barbarian;Bárbaro confundido
Confusion beast;Bestia de la confusión
Conrad King;Conrado Rey
Conwenna;Conwenna
Cook;Cocinar
Cooking tutor;Profesor de cocina
Cool Mom227;Mamá genial227
Copper longtail;Cola larga de cobre
Copper ore;Mineral de cobre
Corkat quo Sihar;Corkat quo Sihar
Cormorant;Cormorán
Cornelius;cornelio
Corporeal Beast;Bestia corpórea
Corporeal Critter;Criatura corporal
Corpse;Cadáver
Corrupt Lizardman;Hombre lagarto corrupto
Corrupt Lizardman (hard);Hombre Lagarto corrupto (difícil)
Corrupted Bat;Murciélago corrupto
Corrupted Bear;Oso corrupto
Corrupted Dark Beast;Bestia oscura corrupta
Corrupted Dragon;Dragón corrupto
Corrupted Hunllef;Hunllef corrupto
Corrupted Rat;Rata corrupta
Corrupted Scorpion;Escorpión corrupto
Corrupted Spider;Araña corrupta
Corrupted Unicorn;Unicornio corrupto
Corrupted Wolf;Lobo corrupto
Corrupted Youngllef;Youngllef corrupto
Corrupted scavenger;Carroñero corrupto
Corsair Traitor;Traidor corsario
Corsair Traitor (hard);Corsario Traidor (difícil)
Cosmic Being;Ser Cósmico
Council workman;trabajador del consejo
Councillor Andrews;Concejal Andrews
Councillor Halgrive;Concejal Halgrive
Councillor Orson;Concejal Orson
Councillor Unkar;Concejal Unkar
Count Check;Contar cheque
Count Draynor;Conde Draynor
Count Draynor (hard);Conde Draynor (difícil)
Court judge;juez de la corte
Cow;Vaca
Cow (hard);Vaca (dura)
Cow calf;ternero de vaca
Cow31337Killer;Vaca31337Asesino
Cowardly Bandit;Bandido cobarde
Crab;Cangrejo
Crafting tutor;tutor de manualidades
Crate;Caja
Crate goblin;Duende de caja
Crawling Hand;Mano que se arrastra
Crawling hand;mano que se arrastra
Crazy archaeologist;Arqueólogo loco
Creakyknees;rodillas chirriantes
Crefydd;Crefydd
Crimson swift;veloz carmesí
Crimsonette van Marr;Crimsonette van Marr
Crocodile;Cocodrilo
Crondis;crondis
Crone;Bruja
Crow;Cuervo
Crunchy;Crujiente
Crusher;Trituradora
Crushing hand;mano aplastante
Crust of ice;corteza de hielo
Crypt rat;rata cripta
Crypt spider;Araña cripta
Crystal impling;implicación de cristal
Crystalline Bat;Murciélago cristalino
Crystalline Bear;Oso Cristalino
Crystalline Dark Beast;Bestia Oscura Cristalina
Crystalline Dragon;Dragón cristalino
Crystalline Hunllef;Hunllef cristalina
Crystalline Rat;Rata cristalina
Crystalline Scorpion;Escorpión cristalino
Crystalline Spider;Araña cristalina
Crystalline Unicorn;Unicornio cristalino
Crystalline Wolf;Lobo cristalino
Cuffs;Puños
Culinaromancer;culinaromancer
Culinaromancer (hard);Culinaromancer (duro)
Curator Haig Halen;Comisario Haig Halen
Curly;Ondulado
Curpile Fyod;Fyod curpil
Curufin;Curufín
Customer;Cliente
Customs officer;oficial de aduanas
Cute creature;linda criatura
Cyclops;Cíclope
Cyreg Paddlehorn;Cyreg Cuerno de paleta
Cyrisus;ciris
Da Vinci;Da Vinci
Dad;Papá
Dad (hard);papá (duro)
Daer Krand;Daer Krand
Daero;Daero
Daga;daga
Dagannoth;Dagannot
Dagannoth Prime;Dagannoth Prime
Dagannoth Prime Jr.;Dagannoth Prime Jr.
Dagannoth Rex;Dagannoth Rex
Dagannoth Rex Jr.;Dagannoth Rex Jr.
Dagannoth Supreme;Dagannoth Supremo
Dagannoth Supreme Jr.;Dagannoth Supremo Jr.
Dagannoth fledgeling;Dagannoth novato
Dagannoth mother;madre dagannoth
Dagannoth mother (hard);Madre Dagannoth (duro)
Dagannoth spawn;Engendro de Dagannoth
Dakh'thoulan Aegis;Égida de Dakh'thoulan
Dalal;Dalal
Dalcian Fang (easy);Colmillo dálcico (fácil)
Dalila;dalila
Dallas Jones;Dallas Jones
Dalldav;dalldav
Damaged clay golem;Golem de arcilla dañado
Damien Leucurte;Damien Leucurte
Damis;damis
Damis (hard);damis (duro)
Dampe;humedecer
Damwin;Damwin
Dantaera;dantaera
Darcor quo Narga;Darcor quo Narga
Dark Ankou;Ankou oscuro
Dark Core;Núcleo oscuro
Dark Mage;mago oscuro
Dark Squirrel;Ardilla oscura
Dark beast;bestia oscura
Dark core;Núcleo oscuro
Dark energy core;Núcleo de energía oscura
Dark kebbit;Kebbit oscuro
Dark mage;mago oscuro
Dark warrior;guerrero oscuro
Dark wizard;mago oscuro
Darkmeyer Slave;Esclavo Darkmeyer
Darren;Darren
Dartog;Dartog
Darve;Darve
Daryl;Daryl
Dashing kebbit;Kebbit apresurado
Dave;dave
Davey;davy
David;David
David Andrews;David Andrews
Davon;davón
Dawn;Amanecer
Dead Monk;monje muerto
Deadly red spider;Araña roja mortal
Death;Muerte
Death spawn;Engendro de muerte
Death wing;ala de la muerte
Deathly mage;mago mortal
Deathly ranger;guardabosques mortal
Debra;debra
Defiler;profanador
Del-Monty;Del Monty
Delrith;delrith
Demon;Demonio
Demon butler;mayordomo demonio
Demonic gorilla;gorila demoniaco
Denadu;Denadu
Denath;denath
Denulth;denulth
Deranged archaeologist;Arqueólogo trastornado
Derni;derni
Dernu;dernu
Derrik;derrick
Derse Venator;Derse Venator
Derwen;Derwen
Desert Lizard;Lagarto del desierto
Desert Phoenix;Fénix del desierto
Desert Spirit;Espíritu del desierto
Desert Wolf;lobo del desierto
Desert eagle;Águila del desierto
Desert snake;serpiente del desierto
Desmodus Lasiurus;Desmodus Lasiurus
Despoina Callidra;Despoina Callidra
Dessourt;postre
Dessourt (hard);Postre (duro)
Dessous;Dessous
Dessous (hard);Dessous (duro)
Devan Rutter;Devan Rutter
Deviant spectre;espectro desviado
Devin Mendelberg;David Mendelberg
Dharok the Wretched;Dharok el Desdichado
Diana;Diana
Diango;diango
Dig Site workman;Trabajador del sitio de excavación
Digsite workman;trabajador de excavación
Dimintheis;Dimintheis
Diol;diol
Diphylla Bechstein;Diphylla Bechstein
Dire Wolf;lobo terrible
Disciple of Iban;Discípulo de Iban
Disciple of Yama;Discípulo de Yama
Dobwinkle;Dobwinkle
Dock worker;trabajador portuario
Dockmaster;Maestro de muelle
Doctor Orbon;Doctor Orbón
Dodgy Squire;Escudero dudoso
Dog;Perro
Doll;Muñeca
Dominic Onion;cebolla dominicana
Dommik;dommik
Don;Don
Don't Know What;No se que
Donal;Donal
Dondakan the Dwarf;Dondakan el Enano
Donie;doni
Donny the lad;donny el muchacho
Donovan the Family Handyman;Donovan el manitas de la familia
Doomion;Doomión
Doomsayer;agorero
Door;Puerta
Door man;hombre de la puerta
Door-support;Soporte de puerta
Doric;dórico
Doris;doris
Double agent;agente doble
Doug Deeping;Doug Profundo
Doyen;Decano
Dr Fenkenstrain;Dr. Fenkenstrain
Dr Ford;Dr. Ford
Dr Harlow;Dr. Harlow
Dr Jekyll;doctor jekyll
Draconis Sanguine;Draconis Sanguina
Dragon display;exhibición del dragón
Dragon impling;dragón implicando
Dragonkin;Dragonante
Drain pipe;Tubería de drenaje
Drake;Pato
Drasdan Ranor;Drasdan Ranor
Draul Leptoc;Draul Leptoc
Dreven;dreven
Drew;Dibujó
Drezel;Drezel
Driftwood;Madera flotante
Drill Sergeant;Sargento de instrucción
Droalak;Droalak
Drogo dwarf;Drogo enano
Dromund;Dromund
Dromund's cat;El gato de Dromund
Dron;Dron
Druid;druida
Drunken Ali;Ali borracho
Drunken Dwarf;Enano borracho
Drunken Dwarf's Leg;Pierna de enano borracho
Drunken man;hombre borracho
Drunken soldier;soldado borracho
Dryad;Dríada
Duck;Pato
Duckling;Anadón
Ducklings;patitos
Dugopul;Dugópul
Duke;Duque
Duke Horacio;Duque Horacio
Dummy;Ficticio
Dumpy;Regordete
Dunce;Burro
Dung;Estiércol
Dungeon rat;rata de mazmorra
Dunstan;Dunstan
Duradel;Duradel
Durgok;Durgok
Dusk;Oscuridad
Dust devil;diablo de polvo
Dusty Aliv;Aliv polvoriento
Dusuri;Dusuri
Dwarf;Enano
Dwarf gang member;Miembro de una pandilla enana
Dwarven Boatman;Barquero enano
Dwarven Engineer;Ingeniero enano
Dwarven Ferryman;Barquero enano
Dwarven Miner;Minero enano
Eadburg;Eadburg
Eadgar;Eadgar
Eagle;Águila
Earth Warrior Champion;Campeón guerrero de la tierra
Earth elemental;elemental de tierra
Earth impling;Tierra implicada
Earth warrior;guerrero de la tierra
Earth wizard;mago de la tierra
Earwen;Earwen
Eblis;Eblis
Echned Zekin;Echned Zekin
Eclectic impling;implicación ecléctica
Ed;Ed
Ed Wood;Ed Wood
Edmond;Edmundo
Edrahil;Edrahil
Eduard;Eduardo
