 Sneaky undead fowl;Ovela epäkuolleet linnut
Blessed spider;Siunattu hämähäkki
Bloated Toad;Turvonnut rupikonna
Blood Blamish Snail;Blood Blamish Snail
Blood spawn;Veren kuteminen
Bloodhound;Verikoira
Bloodveld;Bloodveld
Bloodworm;Verimato
Blue Monkey;Sininen apina
Blue Opal Director;Blue Opal johtaja
Blue Opal Secretary;Blue Opal sihteeri
Blue Sheep;Sininen lammas
Blue dragon;Sininen lohikäärme
Blurberry;Blurberry
Boar;Karju
Boat;Vene
Bob;Bob
Bob Barter (herbs);Bob Barter (yrtit)
Bob, another guard of Falador;Bob, toinen Faladorin vartija
Bobawu;Bobawu
Bobbing fossil;Keinuva fossiili
Body Golem;Golemin ruumis
Bolkoy;Bolkoy
Bologa;Bologa
Bolongo;Bolongo
Bonafido;Bonafido
Boneguard;Boneguard
Bones;Luut
Bonzara;Bonzara
Bonzo;Bonzo
Boot;Boot
Border Guard;Rajavartiolaitos
Boris;Boris
Bork Sigmundson;Bork Sigmundson
Borrokar;Borrokar
Boulder;Siirtolohkare
Bouncer;Bouncer
Bouncer (hard);Bouncer (kova)
Bouquet Mac Hyacinth;Kukkakimppu Mac Hyasintti
Bow and Arrow salesman;Jousi ja nuoli myyjä
Boy;Poika
Brambickle;Brambickle
Brana;Brana
Branwen;Branwen
Brassican Mage;Brassican Mage
Bravek;Rohkea
Brawler;Tappelupukari
Bree;Bree
Breive;Breive
Brendt;Brendt
Breoca;Breoca
Brewer;Panimo
Brian;Brian
Brian O'Richard;Brian O'Richard
Briget;Briget
Brimstail;Brimstail
Brine rat;Suolavesi rotta
Broddi;Broddi
Broken Handz;Rikkoutunut Handz
Broken clay golem;Murtunut savigolem
Bronze dragon;Pronssinen lohikäärme
Broodoo victim;Broodoo uhri
Brother Aimeri;Veli Aimeri
Brother Althric;Veli Althric
Brother Brace;Veli Brace
Brother Cedric;Veli Cedric
Brother Jered;Veli Jered
Brother Kojo;Veli Kojo
Brother Maledict;Veli Maledict
Brother Omad;Veli Omad
Brother Tranquility;Veli Rauhallisuus
Brown Engine Director;Brown moottorin johtaja
Brown Engine Secretary;Brown moottorin sihteeri
Brugsen Bursen;Brugsen Bursen
Bruise Blamish Snail;Mustelma Blamish Snail
Brundt the Chieftain;Brundt päällikkö
Brutal black dragon;Brutaali musta lohikäärme
Brutal blue dragon;Brutaali sininen lohikäärme
Brutal green dragon;Brutaali vihreä lohikäärme
Brutal red dragon;Brutaali punainen lohikäärme
Bryn;Bryn
Bryophyta;Bryophyta
Bugs;Bugeja
Builder;Rakentaja
Buinn;Buinn
Bullrush;Bullrush
Bunkdo;Bunkdo
Bunkwicket;Bunkwicket
Bunny;Pupu
Burkor;Burkor
Burntmeat;Poltettu liha
Burntof;Burntof
Bush snake;Bushin käärme
Butler;Butler
Butler Jarvis;Butler Jarvis
Butler Jones;Butler Jones
Butterfly;Perhonen
Cabin Boy Colin;Mökkipoika Colin
Cabin Boy Herbert;Mökkipoika Herbert
Cabin boy;Mökkipoika
Cabin boy Jenkins;Mökkipoika Jenkins
Caden Azro;Caden Azro
Caerwyn;Caerwyn
Cage;Häkki
Caleb;Caleb
Calin;Calin
Callisto;Callisto
Callisto cub;Kalliston poikanen
Cam the Camel;Camelin kamera
Camarst;Camarst
Camel;Kameli
Camel display;Kamelin näyttö
Camorra;Camorra
Camp dweller;Leirin asukas
Candle maker;Kynttilänvalmistaja
Candle seller;Kynttilän myyjä
Caninelle Draynar;Caninelle Draynar
Cannoneer;Kanuoneer
Cap'n Hand;Cap'n Käsi
Cap'n Izzy No-Beard;Cap'n Izzy No-Beard
Capt' Arnav;Kapteeni Arnav
Captain;Kapteeni
Captain Barnaby;Kapteeni Barnaby
Captain Bentley;Kapteeni Bentley
Captain Bleemadge;Kapteeni Bleemage
Captain Braindeath;Kapteeni Braindeath
Captain Bruce;Kapteeni Bruce
Captain Cain;Kapteeni Cain
Captain Cleive;Kapteeni Cleive
Captain Daerkin;Kapteeni Daerkin
Captain Dalbur;Kapteeni Dalbur
Captain Donnie;Kapteeni Donnie
Captain Dudi;Kapteeni Dudi
Captain Errdo;Kapteeni Errdo
Captain Ginea;Kapteeni Ginea
Captain Janaway;Kapteeni Janaway
Captain Kalt;Kapteeni Kalt
Captain Khaled;Kapteeni Khaled
Captain Klemfoodle;Kapteeni Klemfoodle
Captain Lamdoo;Kapteeni Lamdoo
Captain Lawgof;Kapteeni Lawgof
Captain Magoro;Kapteeni Magoro
Captain Ned;Kapteeni Ned
Captain Ninto;Kapteeni Ninto
Captain Pudi;Kapteeni Pudi
Captain Rachelle;Kapteeni Rachelle
Captain Rimor;Kapteeni Rimor
Captain Rovin;Kapteeni Rovin
Captain Sdiar;Kapteeni Sdiar
Captain Shanks;Kapteeni Shanks
Captain Shoracks;Kapteeni Shoracks
Captain Siad;Kapteeni Siad
Captain Tobias;Kapteeni Tobias
Captain Tock;Kapteeni Tock
Captain Tom;Kapteeni Tom
Carado;Carado
Caranthir;Caranthir
Carl;Carl
Carla;Carla
Carnivorous chinchompa;Lihansyöjä chinchompa
Carnivus Belamorta;Carnivus Belamorta
Carol;Carol
Caroline;Caroline
Carpenter;Puuseppä
Carpenter Kjallak;Puuseppä Kjallak
Cart Camel;Kärry Kameli
Cart conductor;Kärryjen johdin
Cassie;Cassie
Cat;Kissa
Catablepon;Catablepon
Catalina;Catalina
Cave Scenery;Luolamaisema
Cave abomination;Luolan kauhistus
Cave bug;Luolavukka
Cave bug larva;Luolavukan toukka
Cave crawler;Luola-indeksoija
Cave goblin;Luolapeikko
Cave goblin child;Luolapeikkolapsi
Cave goblin guard;Luolan peikkovartija
Cave goblin miner;Luolapeikko kaivosmies
Cave horror;Luolan kauhu
Cave kraken;Luola kraken
Cave lizard;Luolalisko
Cave monk;Luolamunkki
Cave slime;Luolalimaa
Cave snake;Luolakäärme
Cavemouth;Cavemouth
Cavey Davey;Cavey Davey
Cecilia;Cecilia
Celebrian;julkkis
Celegorm;Celegorm
Celyn;Celyn
Centaur;Kentauri
Ceolburg;Ceolburg
Cerberus;Cerberus
Ceril Carnillean;Ceril Carnillean
Cerulean twitch;Cerulean nykiminen
Ceto;Ceto
Chadwell;Chadwell
Chaeldar;Chaeldar
Chamber guardian;Kamarin huoltaja
Chancy;Chancy
Chaos Elemental;Chaos Elemental
Chaos Elemental Jr.;Chaos Elemental Jr.
Chaos Fanatic;Chaos Fanatic
Chaos Golem;Kaaos Golem
Chaos druid;Kaaosdruidi
Chaos druid warrior;Kaaosdruidisoturi
Chaos dwarf;Kaaoksen kääpiö
Chaotic death spawn;Kaoottinen kuoleman kuteminen
Charles;Charles
Charles Charlington;Charles Charlington
Charley;Charley
Charlie;Charlie
Charlie Brown;Charlie Brown
Charlie the Tramp;Charlie Kulkuri
Charlie the cook;Charlie kokki
Charmed Warrior;Charmed Warrior
Chasm Crawler;Chasm Crawler
Checkal;Checkal
Cheerleader;Cheerleader
Chef Olivia;kokki Olivia
Chemist;Kemisti
Cheryl;Cheryl
Chicken;Kana
Chief Farmer;Pääviljelijä
Chief Tess;Päällikkö Tess
Chief servant;Pääpalvelija
Child;Lapsi
Chinchompa;Chinchompa
Choke devil;Kurkkupaholainen
Chompy bird;Nuhjuinen lintu
Chompy chick;Pulloinen poikanen
Chronozon;Chronozon
Chronozon (hard);Chronozon (kova)
Chuck;Heittää
Cirdan;Cirdan
City guard;Kaupungin vartija
Civilian;Siviili
Clan Guard;Klaanin vartija
Claude;Claude
Claus the chef;Claus kokki
Clay golem;Savigolem
Cleaner;Siivooja
Cleddyf;Cleddyf
Clerk;Virkailija
Clerris;Clerris
Clivet;Clivet
Clockwork cat;Kellomainen kissa
Clothears;Vaatteet
Co-ordinator;Koordinaattori
Coal;Hiili
Cob;Cob
Cockathrice;Cockathrice
Cockatrice;Cockatrice
Coenus;Coenus
Col. O'Niall;Eversti O'Niall
Colonel Grimsson;Eversti Grimsson
Colonel Radick;Eversti Radick
Colossal Hydra;Colossal Hydra
Combat Instructor;Taisteluohjaaja
Combat Test;Taistelutesti
Combat Test (maxhit);Taistelutesti (maxhit)
Combat stone;Taistelukivi
Commander Connad;Komentaja Connad
Commander Fullore;Komentaja Fullore
Commander Montai;Komentaja Montai
Commander Veldaban;Komentaja Veldaban
Commander Zilyana;komentaja Zilyana
Commissioner Anwar;Komissaari Anwar
Competition Judge;Kilpailun tuomari
Confused barbarian;Hämmentynyt barbaari
Confusion beast;Hämmennys peto
Conrad King;Conrad King
Conwenna;Conwenna
Cook;Kokki
Cooking tutor;Ruoanlaiton opettaja
Cool Mom227;Siisti äiti227
Copper longtail;Kupari pitkähäntä
Copper ore;Kuparimalmi
Corkat quo Sihar;Corkat quo Sihar
Cormorant;Merimetso
Cornelius;Cornelius
Corporeal Beast;Ruumiillinen peto
Corporeal Critter;Ruumiillinen otus
Corpse;Ruumis
Corrupt Lizardman;Korruptoitunut Lizardman
Corrupt Lizardman (hard);Korruptoitunut Lizardman (kova)
Corrupted Bat;Vioittunut Bat
Corrupted Bear;Korruptoitunut karhu
Corrupted Dark Beast;Korruptoitunut Dark Beast
Corrupted Dragon;Korruptoitunut lohikäärme
Corrupted Hunllef;Korruptoitunut Hunllef
Corrupted Rat;Vioittunut rotta
Corrupted Scorpion;Korruptoitunut Scorpion
Corrupted Spider;Korruptoitunut hämähäkki
Corrupted Unicorn;Korruptoitunut yksisarvinen
Corrupted Wolf;Korruptoitunut susi
Corrupted Youngllef;Korruptoitunut Youngllef
Corrupted scavenger;Korruptoitunut raiskaaja
Corsair Traitor;Corsair petturi
Corsair Traitor (hard);Corsair Traitor (kova)
Cosmic Being;Kosminen Olento
Council workman;Neuvoston työntekijä
Councillor Andrews;Neuvoston jäsen Andrews
Councillor Halgrive;Valtuutettu Halgrive
Councillor Orson;Valtuutettu Orson
Councillor Unkar;Valtuutettu Unkar
Count Check;Count Tarkista
Count Draynor;Kreivi Draynor
Count Draynor (hard);Kreivi Draynor (kova)
Court judge;Tuomioistuimen tuomari
Cow;Lehmä
Cow (hard);Lehmä (kova)
Cow calf;Lehmän vasikka
Cow31337Killer;Lehmä31337Tappaja
Cowardly Bandit;Pelkuri Bandit
Crab;Rapu
Crafting tutor;Käsityön ohjaaja
Crate;Häkki
Crate goblin;Häkkipeikko
Crawling Hand;Indeksoiva käsi
Crawling hand;Ryömivä käsi
Crazy archaeologist;Hullu arkeologi
Creakyknees;Creakyknees
Crefydd;Crefydd
Crimson swift;Crimson Swift
Crimsonette van Marr;Crimsonette van Marr
Crocodile;Krokotiili
Crondis;Crondis
Crone;Crone
Crow;Varis
Crunchy;Rapeaa
Crusher;Murskain
Crushing hand;Murskaava käsi
Crust of ice;Jään kuori
Crypt rat;Krypta rotta
Crypt spider;Krypta hämähäkki
Crystal impling;Crystal Impling
Crystalline Bat;Crystalline Bat
Crystalline Bear;Kristallinen karhu
Crystalline Dark Beast;Crystalline Dark Beast
Crystalline Dragon;Kristallinen lohikäärme
Crystalline Hunllef;Crystalline Hunllef
Crystalline Rat;Kiteinen rotta
Crystalline Scorpion;Kristallinen Skorpioni
Crystalline Spider;Crystalline Spider
Crystalline Unicorn;Kristallinen yksisarvinen
Crystalline Wolf;Kristallinen susi
Cuffs;Hihansuut
Culinaromancer;Kulinaaromi
Culinaromancer (hard);Kulinaromanssi (kova)
Curator Haig Halen;Kuraattori Haig Halen
Curly;Kihara
Curpile Fyod;Curpile Fyod
Curufin;Curufin
Customer;Asiakas
Customs officer;Tullivirkailija
Cyclops;kyklooppi
Cyreg Paddlehorn;Cyreg Paddlehorn
Cyrisus;Cyrisus
Da Vinci;Da Vinci
Dad;Isä
Dad (hard);Isä (kova)
Daer Krand;Daer Krand
Daero;Daero
Daga;Daga
Dagannoth;Dagannoth
Dagannoth Prime;Dagannoth Prime
Dagannoth Prime Jr.;Dagannoth Prime Jr.
Dagannoth Rex;Dagannoth Rex
Dagannoth Rex Jr.;Dagannoth Rex Jr.
Dagannoth Supreme;Dagannoth Supreme
Dagannoth Supreme Jr.;Dagannoth Supreme Jr.
Dagannoth fledgeling;Dagannoth syntyessään
Dagannoth mother;Dagannothin äiti
Dagannoth mother (hard);Dagannothin äiti (kova)
Dagannoth spawn;Dagannothin kuteminen
Dakh'thoulan Aegis;Dakh'thoulan Aegis
Dalal;Dalal
Dalcian Fang (easy);Dalcian Fang (helppo)
Dalila;Dalila
Dallas Jones;Dallas Jones
Dalldav;Dalldav
Damaged clay golem;Vaurioitunut savigolem
Damien Leucurte;Damien Leucurte
Damis;Damis
Damis (hard);Damis (kova)
Dampe;Kostea
Damwin;Damwin
Dantaera;Dantaera
Darcor quo Narga;Darcor quo Narga
Dark Ankou;Tumma Ankou
Dark Core;Tumma ydin
Dark Mage;Dark Mage
Dark Squirrel;Tumma orava
Dark beast;Tumma peto
Dark core;Tumma ydin
Dark energy core;Pimeän energian ydin
Dark kebbit;Tumma kebbit
Dark mage;Tumma maagi
Dark warrior;Pimeä soturi
Dark wizard;Tumma velho
Darkmeyer Slave;Darkmeyer Slave
Darren;Darren
Dartog;Dartog
Darve;Darve
Daryl;Daryl
Dashing kebbit;Reipas kebbit
Dave;Dave
Davey;Davey
David;David
David Andrews;David Andrews
Davon;Davon
Dawn;Aamunkoitto
Dead Monk;Kuollut munkki
Dead swamp snake;Kuollut suon käärme
Deadly red spider;Tappava punainen hämähäkki
Death;Kuolema
Death spawn;Kuoleman kuteminen
Death wing;Kuoleman siipi
Deathly mage;Kuoleman taikuri
Deathly ranger;Kuolettava metsänvartija
Debra;Debra
Defiler;Defiler
Del-Monty;Del-Monty
Delrith;Delrith
Demon;Demoni
Demon butler;Demoni-hovimestari
Demonic gorilla;Demoninen gorilla
Denadu;Denadu
Denath;Denath
Denulth;Denulth
Deranged archaeologist;Hämmentynyt arkeologi
Derni;Derni
Dernu;Dernu
Derrik;Derrik
Derse Venator;Derse Venator
Derwen;Derwen
Desert Lizard;Aavikkolisko
Desert Phoenix;Aavikko Phoenix
Desert Spirit;Aavikon henki
Desert Wolf;Aavikon susi
Desert eagle;Aavikkokotka
Desert snake;Aavikon käärme
Desmodus Lasiurus;Desmodus Lasiurus
Despoina Callidra;Despoina Callidra
Dessourt;Jälkiruoka
Dessourt (hard);Jälkiruoka (kova)
Dessous;Dessous
Dessous (hard);Dessous (kova)
Devan Rutter;Devan Rutter
Deviant spectre;Poikkeava haamu
Devin Mendelberg;Devin Mendelberg
Dharok the Wretched;Dharok kurja
Diana;Diana
Diango;Diango
Dig Site workman;Kaivaustyöntekijä
Digsite workman;Digityömies
Dimintheis;Dimintheis
Diol;Diol
Diphylla Bechstein;Diphylla Bechstein
Dire Wolf;Hirveä susi
Disciple of Iban;Ibanin opetuslapsi
Disciple of Yama;Yaman opetuslapsi
Dobwinkle;Dobwinkle
Dock worker;Telakkatyöntekijä
Dockmaster;Dockmaster
Doctor Orbon;Tohtori Orbon
Dodgy Squire;Dodgy Squire
Dog;Koira
Doll;Nukke
Dominic Onion;Dominic Sipuli
Dommik;Dommik
Don;Don
Don't Know What;En tiedä mitä
Donal;Donal
Dondakan the Dwarf;Dondakan kääpiö
Donie;Donie
Donny the lad;Donny poika
Donovan the Family Handyman;Donovan perheen yleismies
Doomion;Doomion
Doomsayer;Doomsayer
Door;Ovi
Door man;Oven mies
Door-support;Ovituki
Doric;doorilainen
Doris;Doris
Double agent;Kaksoisagentti
Doug Deeping;Doug Deeping
Doyen;Vanhin
Dr Fenkenstrain;Tohtori Fenkenstrain
Dr Ford;Tohtori Ford
Dr Harlow;Tohtori Harlow
Dr Jekyll;Tohtori Jekyll
Draconis Sanguine;Draconis Sanguine
Dragon display;Dragon näyttö
Dragon impling;Lohikäärme vihjailee
Dragonkin;Dragonkin
Drain pipe;Viemäriputki
Drake;Drake
Drasdan Ranor;Drasdan Ranor
