A Goblin standard;Goblin-standardi
Blue door;Sininen ovi
Boat;Vene
Bin;Bin
Blue tears;Siniset kyyneleet
Bowl;Kulho
Bird snare;Lintujen ansa
Bluebells;Sinikellot
Bone support;Luun tuki
Book table;Varaa pöytä
Bookshelves;Kirjahyllyt
Boundary stones;Rajakivet
Bow cabinet;Keulakaappi
Birdseed holder;Linnunsiemenpidike
Black crystal;Musta kristalli
Blacksmiths' tools;Sepän työkalut
Blood;Veri
Boarded-up door;Aidattu ovi
Bones;Luut
Bottle Machine;Pullokone
Bitternut Sign;Bitternut merkki
Blackboard;Liitutaulu
Body rift;Kehon repeämä
Boil;Kiehua
Bone rack;Luu teline
Boney ladder;Luiset tikkaat
Bookshelf;Kirjahylly
Bottle;Pullo
Bow case;Jousikotelo
Birdhouse (empty);Lintumaja (tyhjä)
Bittercap Mushrooms;Bittercap sienet
Blood Orb;Blood Orb
Blue Water Sign;Sininen vesimerkki
Blue chemical;Sininen kemikaali
Blurberry bar;Blurberry baari
Boat station;Veneasema
Bologano plant;Bologanon kasvi
Bone Crane;Luunosturi
Bone arch;Luun kaari
Bone grinder;Luuhiomakone
Black mushrooms;Mustat sienet
Blood Stinkhorn;Verinen Stinkhorn
Boulders;Kivet
Bow and Arrow;Jousi ja nuoli
Blighted Golovanova plant;Tuhoutunut Golovanova-kasvi
Blocked Tunnel;Estetty tunneli
Blood crystal;Veren kristalli
Blue Fire;Sininen Tuli
Boss lair display;Boss Lair -näyttö
Branch;Haara
Broken Roof;Katto rikki
Broken Table;Rikkoutunut pöytä
Broken chain;Rikkinäinen ketju
Broken experiment tube;Rikkoutunut koeputki
Broken kiln;Rikkoutunut uuni
Broken rowboat;Rikki soutuvene
Brick;Tiili
Broken Brazier;Rikki Brazier
Broken Fountain;Rikkoutunut suihkulähde
Broken Grate;Rikkoutunut ritilä
Broken door;Rikkoutunut ovi
Bridge;Silta
Broken Fire altar;Rikkoutunut tulialttari
Broken battering ram;Rikkoutunut iskunpää
Broken fence;Rikkoutunut aita
Broken stairs;Rikkoutuneet portaat
Box of Health;Terveyden laatikko
Brew Barrel;Brew Barrel
Broken Cannon;Rikkoutunut tykki
Broken Mirror;Rikkoutunut peili
Broken Plantpot;Rikkoutunut ruukku
Broken Railing;Rikkoutunut kaide
Broken bridge;Rikki silta
Broken mace trap;Rikkoutunut nuijaloukku
Broken pillar;Rikkoutunut pilari
Broken rock;Rikkoutunut kivi
Broken spinning wheel;Rikkoutunut pyörivä pyörä
Broken altar;Rikkoutunut alttari
Broken crossbow;Rikkoutunut varsijousi
Boxing ring;Nyrkkeilyrengas
Broken Range;Broken Range
Broken Statue;Rikkoutunut patsas
Broken cogs;Hampaat rikki
Broken counter;Rikkinäinen laskuri
Broken drilling machine;Rikkoutunut porakone
Box;Laatikko
Box trap;Laatikko ansa
Bricks;Tiilet
Broken Shelves;Rikkinäiset hyllyt
Broken boat;Rikkinäinen vene
Broken cannon;Rikkoutunut tykki
Broken cart wheel;Kärryn pyörä rikki
Broken fish display;Rikkoutuneiden kalojen näyttö
Broken mast;Rikkoutunut masto
Broken snare;Rikkoutunut ansa
Brewing vat;Panimoastia
Broken Cupboard;Rikkoutunut kaappi
Broken Drawers;Rikkinäiset laatikot
Broken range;Rikkinäinen kantama
Broken rope bridge;Rikkoutunut köysilta
Box of bones;Laatikko luita
Broken Dresser;Rikkoutunut lipasto
Broken Fence;Rikkoutunut aita
Broken Grandiose Doors;Rikkoutuneet suuret ovet
Broken Spinning Wheel;Rikkoutunut pyörivä pyörä
Broken stool;Rikkoutunut jakkara
Brazier;Hiilipannu
Broken Door;Rikkoutunut ovi
Broken Scaffold;Rikkoutunut teline
Broken Well;Broken Well
Broken machinery;Rikkinäinen koneisto
Broken rail;Rikkoutunut kisko
Broken Chair;Rikkoutunut tuoli
Brewing control;Haudutuksen ohjaus
Broken Grandfather Clock;Rikkinäinen isoisän kello
Broken Raft;Rikkoutunut lautta
Broken Sink;Rikkinäinen pesuallas
Broken catapult;Rikkoutunut katapultti
Broken furnace;Rikkoutunut uuni
Broken ladder;Rikkoutuneet tikkaat
Boxes;Laatikot
Boxing mat;Nyrkkeilymatto
Broken barrel;Rikkoutunut tynnyri
Broken beer glass;Rikkoutunut olutlasi
Broken cage;Rikkoutunut häkki
Broken lobster trap;Rikkoutunut hummeriloukku
Broken log raft;Rikkoutunut hirsilauta
Box cart;Laatikkokärry
Bright crystal;Kirkas kristalli
Brimstone chest;Tulikivi rintakehä
Broken Cart;Rikkoutunut kärry
Broken bath;Rikkinäinen kylpy
Broken cart;Rikkoutunut kärry
Broken dead tree;Murtunut kuollut puu
Broken equipment table;Varustepöytä rikki
Bowsprit;Bowsprit
Brewer's Barrel;Brewerin tynnyri
Broken Bed;Rikkoutunut sänky
Broken Cabinet;Rikkoutunut kaappi
Broken Lecturn;Rikkinäinen luento
Broken Old Bookshelf;Rikkoutunut vanha kirjahylly
Broken Potter's Wheel;Rikkoutunut Potterin pyörä
Broken Wall;Rikkoutunut seinä
Broken chair;Rikkoutunut tuoli
Broken ground;Murtunut maa
Broken lamp;Rikki lamppu
Broken logs;Rikkoutuneet tukit
Broken multicannon;Monitykki rikki
Broken rune case;Rikkoutunut runkokotelo
Broken sun altar;Rikkoutunut aurinkoalttari
Bush Patch;Bushin paikka
Bust;Rintakuva
Candle;Kynttilä
Candlestick holder;Kynttilänjalka
Cape of Legends;Legendojen niemi
Broken wall;Murtunut seinä
Burial cairn;Hautakammio
Cactus;Kaktus
Carol's barrel;Carolin tynnyri
Bruma roots;Bruman juuret
Camel's statue;Kamelin patsas
Camping equipment;Leirintävälineet
Camping gear;Retkeilyvarusteet
Cannonball;Tykinkuula
Carpet;Matto
Bronze axe;Pronssikirves
Bucket;Ämpäri
Buffers;Puskurit
Buffet table;Buffet-pöytä
Cadarn Banner;Cadarn Banner
Cart Camel;Kärry Kameli
Bronze Chest;Pronssiarkku
Camorra;Camorra
Camp fire;Nuotio
Cape rack space;Viittatelinetilaa
Carcass;Ruho
Carrot;Porkkana
Carved doors;Kaiverretut ovet
Camping fire;Leirintäalue
Canal wall;Kanavan seinä
Candles;Kynttilät
Cannon;Tykki
Cart;Kärry
Bull's head;Härän pää
Bullrushes;Bullrushes
Burning bones;Polttavat luut
Cabbage;Kaali
Cage door;Häkin ovi
Calquat Tree;Calquat Tree
Campfire;Nuotio
Cannonballs;Tykinkuulat
Broken support;Rikki tuki
Buckets;Kauhat
Bunsen burner;Bunsen poltin
Cabbages;Kaalit
Cannon stand;Tykin teline
Bronze Door;Pronssi ovi
Bunk bed;Kerrossänky
Burning brazier;Palava grilli
Burnt tree;Palanut puu
Cart track sign;Kärryjäljen merkki
Broken strut;Rikkoutunut tuki
Bubbles;Kuplat
Cactus patch;Kaktusmerkki
Cage;Häkki
Campbed;Leirintäalue
Canary;Kanaria
Bryophyta display;Bryophyta näyttö
Bucket of Blood;Ämpäri verta
Budding branch;Orastava haara
Burnt chest;Palanut rintakehä
Burrow;Kolo
Cabinet;Kaappi
Candle stand;Kynttilänjalka
Cannon barrels;Tykin piipuja
Canopic Jar;Canopic Jar
Cape hanger;Viittaripustin
Bronze pickaxe;Pronssinen hakku
Burning driftwood;Polttava ajopuu
Cadavaberry bush;Cadavaberry pensas
Campsite bed;Leirintäalueen sänky
Cannon base;Tykin tukikohta
Cart Track;Kärryrata
Broom;Luuta
Cadava bush;Cadava pensas
Broken table;Rikkoutunut pöytä
Broken trap(0);Rikkoutunut ansa (0)
Buried skeleton;Haudattu luuranko
Candelabrum;Kynttelikkö
Canoe Station;Kanoottiasema
Carpet Exhibit;Mattonäyttely
Cart tunnel;Kärryjen tunneli
Burial mound;Hautausmaa
Buried artefact;Haudattu esine
Burnt rock;Poltettu kivi
Cable;Kaapeli
Calquat patch;Calquat laastari
Captain's Table;Kapteenin pöytä
Carpet hotspot;Mattojen hotspot
Carrallangar Portal;Carrallangar-portaali
Broken weapons;Rikkinäiset aseet
Bunkbed;Kerrossänky
Burst boil;Burst kiehua
Bush;Bush
Button;Painike
Cabinet space;Kaappitilaa
Cages;Häkit
Camelot Portal;Camelot-portaali
Canal barge;Kanavan proomu
Cat;Kissa
Cave gobins;Luolan gobiinit
Celastrus tree stump;Celastrus-puun kanto
Cell wall window;Soluseinän ikkuna
Ceremonial table;Seremoniallinen pöytä
Chair;Tuoli
Chamber;kammio
Carved teak bench;Veistetty tiikkipenkki
Castle Wars portal;Castle Wars -portaali
Catherby Portal;Catherbyn portaali
Cave wall;Luolan seinä
Ceremonial Pillow;Seremoniallinen tyyny
Chalk patterns;Liitukuvioita
Chaos rift;Kaaoksen repeämä
Chemical vent (red);Kemiallinen tuuletusaukko (punainen)
Ceremonial Pillar;Seremoniallinen pilari
Chemical waste pipe;Kemiallinen jäteputki
Carved oak bench;Veistetty tammipenkki
Carved redwood;Veistetty punapuu
Cavern entrance;Luolan sisäänkäynti
Cemetery Portal;Hautausmaa portaali
Centre of crop circle;Viljaympyrän keskus
Centrepiece space;Keskipisteen tila
Charms;Charms
Chemical pool;Kemiallinen allas
Cat basket space;Kissan koritila
Cauldron;Pata
Cave Exit;Luolan uloskäynti
Cave entrance;Luolan sisäänkäynti
Ceiling support;Katon tuki
Cell Door;Solun ovi
Chain;Ketju
Challenge portal;Haasteportaali
Chandelier;Kattokruunu
Charm of Boost;Boostin viehätys
Charm of Fishing;Kalastuksen viehätys
Cheese;Juusto
Catapult-winch;Katapultti-vinssi
Cavity;Onkalo
Celastrus tree;Celastrus puu
Charm of Luck;Onnen viehätys
Castle door;Linnan ovi
Castle wall;Linnan muuri
Cat Shrine;Kissan pyhäkkö
Cat basket;Kissan kori
Catapult-lever;Katapultti-vipu
Ceremonial Brazier;Seremoniallinen Brazier
Chambers of Xeric;Xericin kammiot
Chasm;Kuilu
Chemistry Table;Kemian taulukko
Castle Gates;Linnan portit
Cave web;Luolan verkko
Cavern;Luola
Cerberus Topiary;Cerberus Topiary
Certificate of healing;Todistus paranemisesta
Chains;Ketjut
Chart;Kartoittaa
Carved rock;Kaiverrettu kivi
Casual;Rento
Cave in;Hyppää sisään
Cave rocks;Luolan kivet
Ceremonial Pillow Stack;Seremoniallinen tyynypino
Charred bones;Hiiltyneet luut
Chemical vent (blue);Kemiallinen tuuletusaukko (sininen)
Carved head;Veistetty pää
Catapult;Ritsa
Cell wall;Soluseinä
Centre piece;Keskiosa
Changing Curtain;Verhon vaihtaminen
Charcoal furnace;Hiiliuuni
Charm of Defence;Puolustusvoiman viehätys
Chef's Delight;Chef's Delight
Carved log;Veistetty hirsi
Cave Entrance;Luolan sisäänkäynti
Cave exit;Luolan uloskäynti
Celastrus patch;Celastrus laastari
Cellar stairs;Kellarin portaat
Chaise lounge;Lepotuoli
Chaos altar;Kaaoksen alttari
Charm of Preparation;Valmistelun viehätys
Chest of Champions;Mestarien arkku
Cauldron of Thunder;Ukkosen pata
Cavern exit;Luolan uloskäynti
Cell door;Solun ovi
Chair space;Tuolitilaa
Champion Statue;Mestarien patsas
Chemical vent (green);Kemiallinen tuuletusaukko (vihreä)
Chest;Rintakehä
Cave;Luola
Cave opening;Luolan avaus
Cell Gate;Solun portti
Cello;Sello
Chalice;Malja
Charm of Mining;Kaivostyön viehätys
Chess;Shakki
Carving;Kaiverrus
Celestial globe;Taivaallinen maapallo
Cenotaph;Hautamuistomerkki
Cerberus display;Cerberus näyttö
Chair hotspot;Tuolin hotspot
Chopped tendrils;Hienonnetut lonkerot
Circle;Ympyrä
City gate;Kaupungin portti
Coin Collector;Kolikonkeräilijä
Compost;Komposti
Clan banner;Klaanin banneri
Clay fireplace;Savitakka
Clock spindle;Kellon kara
Cog;Cog
Colony gate;Siirtokunnan portti
Combat dummy;Taistelunukke
Compromised support;Vaarallinen tuki
Christmas curtains;Jouluiset verhot
Church organ;Kirkon urut
Clan Cup portal;Clan Cup -portaali
Clay Oven;Savi uuni
Closed booth;Suljettu koppi
Cloth;Kangas
Column;Sarake
Citizen;Kansalainen
Cleaning supplies;Siivoustarvikkeet
Clothes;Vaatteet
Clothes rack;Vaateteline
Clay forge;Savitako
Collapsed wall;Murtunut seinä
Combat ring space;Taistelurengastila
Chicken coop;Kanakoti
Chimney pipe;Savupiipun putki
Clothing shelves;Vaatehyllyt
Coal;Hiili
Coffin;Arkku
Coke;Koksi
Compost Bin;Kompostiastia
Chicken Shrine;Kanan pyhäkkö
Clan Coffer;Klaanin kakku
Clan hall portal;Klaanisalin portaali
Climbing net;Kiipeilyverkko
Clock;Kello
Cloth covered table;Kankaalla päällystetty pöytä
Clothes equipment;Vaatteet varusteet
Cloud bank;Pilvi pankki
Clump of rocks;Kivipala
Cogs;Hampaat
Combat Scroll;Combat Scroll
Competitive;Kilpailukykyinen
Connection pipe;Liitosputki
Choc-Ice Stall;Choc-jäätalli
Cider;Siideri
Clam;Simpukka
Clan recruitment board;Klaanin rekrytointilautakunta
Coffin hotspot;Arkun hotspot
Combat ring;Taistelurengas
Compost heap;Kompostikasa
Chronicles of Xeric;Xerikin kronikat
Closed Chest;Suljettu rintakehä
Confusing door;Hämmentävä ovi
Connected stalagmites;Liittyvät stalagmiitit
Church pew;Kirkon penkki
Clay oven;Savi uuni
Closed bank booth;Suljettu pankkiosasto
Chimney;Savupiippu
Clan Wars portal;Clan Wars -portaali
Coins;Kolikot
Consecrated house;Vihitty talo
Chest pieces;Rintapalat
Christmas-Spirit Tree;Joulu-henkipuu
Clock face;Kellotaulu
Clothes model;Vaatteiden malli
Clothes stall;Vaatekaappi
Coal Tar;Kivihiiliterva
Chimney Pipe;Savupiippu putki
Cider barrel;Siiderin tynnyri
Cliff;Cliff
Cliff edge;Kallion reuna
Climbing rope;Kiipeilyköysi
Cloak rack;Viittateline
Clothes line;Pyykkinaru
Cockatrice head;Cockatricen pää
Cocoon;Koteloida
Coffer;Kassa
Compromised floorboards;Vaaralliset lattialaudat
Chicken;Kana
Child's bed;Lapsen sänky
Chopping table;Leikkuupöytä
Clan Cup Trophy;Clan Cup Trophy
Climbing Net;Kiipeilyverkko
Climbing rocks;Kiipeilyä kallioilla
Closed chest;Suljettu rintakehä
Clothes Stand;Vaateteline
Coal Truck;Hiiliauto
Coat rack;Naulakko
Collector Converter;Keräilijän muunnin
City Gate;Kaupungin portti
Clarinet;Klarinetti
Climbing Rope;Kiipeilyköysi
Clockmaking space;Kellojen valmistustila
Combat dummy space;Taistele tukkitilaa vastaan
Console;Konsoli
Clockmaker's bench;Kellosepän penkki
Collapsed trap;Puristunut ansa
Cooker;Liesi
Crevasse;Halkeama
Crumbled wall;Murtunut seinä
Crutch;Kainalosauva
Crwys Banner;Crwys Banner
Crystal Dispenser;Crystal annostelija
Crystal tree patch;Kristallipuun paikka
Corporeal Beast display;Corporeal Beast näyttö
Cow wheel;Lehmän pyörä
Crack;Crack
Crowd of dwarves;Joukko kääpiöitä
Crypt;Crypt
Cupboard;Kaappi
Copper Ladder;Kupari tikkaat
Counter;Laskuri
Crab Shell;Rapukuori
Crashed glider;Törmäsi purjelentokone
Crossbow;Varsijousi
Crossbow stall;Varsijousikioski
Crypt Entrance;Crypt-sisäänkäynti
Crystal ball space;Kristallipallon tila
Corpse;Ruumis
Crossbowman Statue;Varsijousimiehen patsas
Crystal outcrop;Kristallipaljastuma
Crystal structure;Kristallirakenne
Crystalline structure;Kiteinen rakenne
Coolant Dispenser;Jäähdytysnesteen annostelija
Cosmic rift;Kosminen repeämä
Council members;neuvoston jäseniä
Court judge;Tuomioistuimen tuomari
Crate of rune caskets;Rune-arkkujen laatikko
Crate of wands;Sauvojen laatikko
Crusher;Murskain
Cube Pile;Kuutio kasa
Cooking shelves;Ruoanlaittohyllyt
Crafting Stall;Askartelukioski
Crystal Deposit;Kristallitalletus
Crystal of power;Voiman kristalli
Curling plant;Curling kasvi
Conveyor Belt;Kuljetinhihna
Cooking Pots;Keittoastiat
Crafting stall;Askartelukioski
Crashed Star;Crashed Star
Crib;Seimi
Crossbow Tree;Varsijousi puu
Crystal tree;Kristallipuu
Control panel;Ohjauspaneeli
Conveyor belt;Kuljetinhihna
Cooking pot;Keittoastia
Corpses;Ruumiita
Cracked wall;Murtunut seinä
Craft stall;Käsityökoju
Crazy penguin;Hullu pingviini
Creeping plant;Hiipivä kasvi
Cross;Ylittää
Crow nest;Varis pesä
Crude boat;Raaka vene
Crystal bomb;Kristallipommi
Crystals;Kiteet
Corporeal Beast Display;Corporeal Beast Display
