Follow;Folgen
<col=ffff00>Private:</col> Show all;<col=ffff00>Privat:</col> Alle anzeigen
<col=ffff00>Set chat mode:</col> Guest Clan (/@gc);<col=ffff00>Chat-Modus festlegen:</col> Gast-Clan (@gc)
<col=ffff00>Channel:</col> Clear history;<col=ffff00>Kanal:</col> Verlauf löschen
<col=ffff00>Private:</col> Clear history;<col=ffff00>Privat:</col> Verlauf löschen
Account;Konto
<col=ffff00>Clan:</col> Show friends;<col=ffff00>Clan:</col> Freunde anzeigen
<col=ffff00>Channel:</col> Show none;<col=ffff00>Kanal:</col> Keinen anzeigen
Switch tab;Tab wechseln
<col=ffff00>Public:</col> Show none;<col=ffff00>Öffentlich:</col> Keine anzeigen
Friends List;Freundesliste
<col=ffff00>Public:</col> Show friends;<col=ffff00>Öffentlich:</col> Freunde anzeigen
Logout;Abmelden
<col=ffff00>Public:</col> Show standard;<col=ffff00>Öffentlich:</col> Standard anzeigen
<col=ffff00>Channel:</col> Show all;<col=ffff00>Kanal:</col> Alle anzeigen
Emotes;Emotes
<col=ffff00>Public:</col> Show autochat;<col=ffff00>Öffentlich:</col> Autochat anzeigen
<col=ffff00>Set chat mode:</col> Public (/@p);<col=ffff00>Chat-Modus festlegen:</col> Öffentlich (@p)
<col=ffff00>Clan:</col> Clear history;<col=ffff00>Clan:</col> Verlauf löschen
<col=ffff00>Private:</col> Show none;<col=ffff00>Privat:</col> Keine anzeigen
<col=ffff00>Trade:</col> Show all;<col=ffff00>Handel:</col> Alle anzeigen
Account Management;Kontoverwaltung
<col=ffff00>Set chat mode:</col> Clan (/@c);<col=ffff00>Chat-Modus festlegen:</col> Clan (@c)
Report game bug;Spielfehler melden
Ignore List;Ignorierliste
<col=ffff00>Game:</col> Filter;<col=ffff00>Spiel:</col> Filter
<col=ffff00>Public:</col> Clear history;<col=ffff00>Öffentlich:</col> Verlauf löschen
Configure filter;Filter konfigurieren
<col=00ff00>Filter public chat</col>;<col=00ff00>Öffentlichen Chat filtern</col>
Take;Nehmen
Controls;Kontrollen
<col=ffff00>Public:</col> Hide;<col=ffff00>Öffentlich:</col> Ausblenden
<col=00afff>Setup your autochat</col>;<col=00afff>Richten Sie Ihren Autochat ein</col>
<col=ffff00>Channel:</col> Show friends;<col=ffff00>Kanal:</col> Freunde anzeigen
<col=ffff00>Set chat mode:</col> Channel (/@f);<col=ffff00>Chat-Modus festlegen:</col> Kanal (@f)
<col=ffff00>Private:</col> Show friends;<col=ffff00>Privat:</col> Freunde anzeigen
Chat-channel;Chat-Kanal
Show on Map;Auf der Karte anzeigen
Close;Schließen
Outside;Draußen
Warnings;Warnungen
Enable warning;Warnung aktivieren
Seers';Seher
Yanille;Yanille
Animation;Animation
Wiki <col=ff9040>Kourend & Kebos Journal</col>;Wiki <col=ff9040>Kourend & Kebos Journal</col>
Open <col=ff9040>Kourend & Kebos Journal</col>;Öffnen Sie das <col=ff9040>Kourend & Kebos Journal</col>
Open <col=ff9040>Fremennik Journal</col>;Öffnen Sie das <col=ff9040>Fremennik-Journal</col>
Open <col=ff9040>Karamja Journal</col>;Öffnen Sie das <col=ff9040>Karamja-Tagebuch</col>
Wiki <col=ff9040>Karamja Journal</col>;Wiki <col=ff9040>Karamja-Tagebuch</col>
Open <col=ff9040>Falador Journal</col>;Öffnen Sie das <col=ff9040>Falador-Tagebuch</col>
Wiki <col=ff9040>Lumbridge & Draynor Journal</col>;Wiki <col=ff9040>Lumbridge & Draynor Journal</col>
Wiki <col=ff9040>Fremennik Journal</col>;Wiki <col=ff9040>Fremennik-Tagebuch</col>
Open <col=ff9040>Kandarin Journal</col>;Öffnen Sie das <col=ff9040>Kandarin-Tagebuch</col>
Wiki <col=ff9040>Kandarin Journal</col>;Wiki <col=ff9040>Kandarin-Tagebuch</col>
Open <col=ff9040>Lumbridge & Draynor Journal</col>;Öffnen Sie <col=ff9040>Lumbridge & Draynor Journal</col>
Wiki <col=ff9040>Falador Journal</col>;Wiki <col=ff9040>Falador-Tagebuch</col>
Learn More;Erfahren Sie mehr
DPS;DPS
Search;Suchen
Bond Pouch;Bond-Beutel
Pick;Wählen
Open;Offen
Join Castle Wars;Nehmen Sie an Castle Wars teil
Climb-down;Abstieg
Attack;Angriff
Check;Überprüfen
Rest;Ausruhen
Tend-to;Tendenziell
Build;Bauen
Travel;Reisen
Add friend;Freund hinzufügen
Add ignore;Ignorieren hinzufügen
Items;Artikel
Climb-up;Aufstieg
Enter;Eingeben
Enter-guest;Enter-Gast
Enter-member;Enter-Mitglied
Knock-at;Anklopfen
Smith;Schmied
Continue;Weitermachen
Pet;Haustier
Shoo-away;Verjagen
Trade;Handel
1;1 
Switch;Schalten
Create <col=ff9040>Sell</col> offer;Erstellen Sie ein <col=ff9040>Verkaufsangebot</col>
Create <col=ff9040>Buy</col> offer;Erstellen Sie ein <col=ff9040>Kaufangebot</col>
Favourite;Favorit
2;2 
Clear;Klar
-5%;-5%
View offer;Angebot ansehen
+5%;+5 %
Collect to inventory;Zum Inventar sammeln
Confirm;Bestätigen
Collect to bank;Auf die Bank einzahlen
Abort offer;Angebot abbrechen
Modify offer;Angebot ändern
Enter price;Geben Sie den Preis ein
Customise;Anpassen
Guide price;Richtpreis
+1;+1
Enter quantity;Geben Sie die Menge ein
All;Alle
Offer;Angebot
Buy: 1 x Nature rune;Kaufen: 1 x Naturrune
Buy-offer;Kaufangebot
Chop-down;Abhacken
Look North;Schauen Sie nach Norden
Look West;Schauen Sie nach Westen
Look East;Schauen Sie nach Osten
Look South;Schauen Sie nach Süden
Hide;Verstecken
Cook;Kochen
Refresh;Aktualisieren
Message;Nachricht
Delete Friend;Freund löschen
Delete;Löschen
Add Friend;Freund hinzufügen
Find;Finden
Toggle Run;Ausführen umschalten
Open subsection;Unterabschnitt öffnen
Pickpocket;Taschendieb
Claim-staves;Claim-Stäbe
3;3 
Inspect;Überprüfen
Rake;Rechen
Select <col=ff981f>Activities;Wählen Sie <col=ff981f>Aktivitäten
Mute;Stumm
Toggle unlock message;Entsperrmeldung umschalten
All Settings;Alle Einstellungen
Select <col=ff981f>Chat;Wählen Sie <col=ff981f>Chat
Select <col=ff981f>Warnings;Wählen Sie <col=ff981f>Warnungen
Select <col=ff981f>Display;Wählen Sie <col=ff981f>Anzeige
Select <col=ff981f>Audio;Wählen Sie <col=ff981f>Audio
Select <col=ff981f>Gameplay;Wählen Sie <col=ff981f>Gameplay
View-journal;View-Tagebuch
Stats;Statistiken
Rummage;Stöbern
Switch View;Ansicht wechseln
Guide;Führung
Release;Freigeben
View tab;Registerkarte „Ansicht“.
Withdraw-10;Rückzug-10
Withdraw-All-but-1;Alle bis auf 1 zurückziehen
Withdraw-10000;Abheben-10000
Withdraw-X;Zurückziehen-X
Withdraw-5;Rückzug-5
Collapse tab;Registerkarte „Minimieren“.
Remove placeholders;Platzhalter entfernen
Withdraw-1;Rückzug-1
Withdraw-All;Alles zurückziehen
Rename tag tab;Tag-Registerkarte umbenennen
Set custom quantity;Legen Sie eine benutzerdefinierte Menge fest
Default quantity: 10,000;Standardmenge: 10.000
Delete tag tab;Registerkarte „Tag löschen“.
Default quantity: 10;Standardmenge: 10
Change icon;Symbol ändern
View tag tab;Registerkarte „Tag anzeigen“.
Default quantity: 1;Standardmenge: 1
Export tag tab;Registerkarte „Tag exportieren“.
Enable layout;Layout aktivieren
Makeover;Umgestaltung
Unlock;Entsperren
Read;Lesen
Walk-down;Hinuntergehen
Study;Studie
Dismiss;Zurückweisen
Look-at;Anschauen
Focus on;Konzentrieren Sie sich auf
Cancelar;Abbrechen
Climb;Aufstieg
Clear history;Klare Geschichte
Item;Artikel
Note;Notiz
Swap;Tauschen
Insert;Einfügen
Disable;Deaktivieren
Deposit worn items;Tragen Sie abgenutzte Gegenstände ab
Deposit inventory;Inventar hinterlegen
Default quantity: All;Standardmenge: Alle
Withdraw-14;Rückzug-14
Default quantity: 5;Standardmenge: 5
Default quantity: 14;Standardmenge: 14
Pay (Fruit tree);Bezahlen (Obstbaum)
Dismantle;Demontieren
Wield;Ausüben
Wear;Tragen
Fullscreen <col=ff9040>World Map</col>;Vollbild <col=ff9040>Weltkarte</col>
Minimise <col=ff9040>Minimap</col>;<col=ff9040>Minimap</col> minimieren
Floating <col=ff9040>World Map</col>;Schwebende <col=ff9040>Weltkarte</col>
Castle Wars;Burgkriege
Farm Teleport;Farm-Teleport
Wintertodt Camp;Lager Wintertodt
Tears of Guthix;Tränen von Guthix
Open Activity Adviser;Öffnen Sie den Aktivitätsberater
Collect-from;Abholung
Story;Geschichte
Ferox Enclave;Ferox-Enklave
Barbarian Outpost;Außenposten der Barbaren
Burthorpe;Burthorpe
Corporeal Beast;Körperliches Biest
Equip;Ausrüsten
Emir's Arena;Emir-Arena
Pray-at;Beten
Drink;Trinken
Monastery Teleport;Klosterteleport
Rub;Reiben
Fortis Colosseum;Fortis-Kolosseum
Xeric's Lookout;Xerics Aussichtspunkt
Teleport;Teleportieren
Uncharge;Entladen
Perform;Durchführen
Remove default;Standard entfernen
Xeric's Inferno;Xerics Inferno
Enable prayer filtering;Aktivieren Sie die Gebetsfilterung
Xeric's Honour;Xerics Ehre
Steal-from;Stehlen
Mine;Meins
Check steps;Überprüfen Sie die Schritte
Xeric's Glade;Xerics Lichtung
Trim;Trimmen
Xeric's Heart;Xerics Herz
Loop;Schleife
Deposit-10;Anzahlung-10
Deposit Lock Settings;Einstellungen für die Einzahlungssperre
Deposit-X;Einzahlung-X
Default quantity: <col=ff9040>1</col>;Standardmenge: <col=ff9040>1</col>
Deposit-All;Alles einzahlen
Deposit-1;Anzahlung-1
Default quantity: <col=ff9040>5</col>;Standardmenge: <col=ff9040>5</col>
Deposit-5;Anzahlung-5
Disable inventory locks;Deaktivieren Sie die Inventarsperren
Shave;Rasur
Haircut;Haarschnitt
Net;Netto
Toggle Accept Aid;Schalten Sie „Hilfe annehmen“ um
Eat;Essen
Empty;Leer
Clean;Sauber
Adventure Paths;Abenteuerpfade
Smith set;Smith-Set
Slash;Schrägstrich
Placeholder;Platzhalter
Stab;Stechen
Lunge;Ausfallschritt
Name Changer;Namensänderung
Upgrade Now;Jetzt upgraden
Disable spell filtering;Deaktivieren Sie die Zauberfilterung
Close <col=ff9040>Floating panel</col>;Schließen Sie das <col=ff9040>Floating Panel</col>
Ironman;Ironman
90 days;90 Tage
Unranked Group Ironman;Nicht gewerteter Gruppen-Ironman
None;Keiner
Group Ironman;Gruppe Ironman
Ultimate Ironman;Ultimativer Ironman
Hardcore Ironman;Hardcore-Ironman
Proceed;Fortfahren
7 days;7 Tage
Hardcore Group Ironman;Hardcore-Gruppen-Ironman
Top-floor;Obergeschoss
Cross;Kreuzen
Smelt;Stint
Lure;Locken
Toggle warnings;Warnungen umschalten
Bait;Köder
Buy;Kaufen
Bury;Begraben
Light;Licht
Look at;Schauen Sie sich an
Check Kudos;Überprüfen Sie das Lob
Restore Default Zoom;Standardzoom wiederherstellen
Select <col=ff981f>Controls;Wählen Sie <col=ff981f>Steuerelemente
Toggle skull prevention;Schädelprävention umschalten
Select <col=ff981f>Interfaces;Wählen Sie <col=ff981f>Schnittstellen
Board;Planke
Adjust Brightness;Helligkeit anpassen
Grapple;Greifen
Buy-X;Kaufen-X
Potions;Zaubertränke
Buy-5;Kaufen-5
Buy-All;Alles kaufen
Buy-1;Kaufen-1
Show task: <col=ff9040>Getting started with Mining;Aufgabe anzeigen: <col=ff9040>Erste Schritte mit dem Mining
Show<col=ff9040> Task information;<col=ff9040> ​​Aufgabeninformationen anzeigen
Expand;Expandieren
Claim-trophies;Claim-Trophäen
Show task: <col=ff9040>Getting started with Woodcutting;Aufgabe anzeigen: <col=ff9040>Erste Schritte mit dem Holzfällen
Set<col=ff9040> Focus;Legen Sie<col=ff9040> ​​den Fokus fest
Select <col=ff9040>Gatherer path;Wählen Sie <col=ff9040>Gatherer-Pfad
Locate;Lokalisieren
Show worn items;Getragene Artikel anzeigen
Show task: <col=ff9040>Getting started with Fishing;Aufgabe anzeigen: <col=ff9040>Erste Schritte mit dem Angeln
Disable Adventure Paths;Abenteuerpfade deaktivieren
Check reward;Belohnung prüfen
More info;Weitere Informationen
Bottom-floor;Untergeschoss
Show<col=ff9040> Paths;<col=ff9040> ​​Pfade anzeigen
Repair;Reparieren
Pick-from;Auswählen
Suck;Saugen
Close dropdown;Dropdown-Liste schließen
Select <col=ff9040>Combat path;Wählen Sie <col=ff9040>Kampfpfad
Drop<col=ff9040> Focus;<col=ff9040> ​​Fokus fallen lassen
Armour;Rüstung
Show <col=ff9040>path reward;<col=ff9040>Pfadbelohnung anzeigen
Show<col=ff9040> Settings;<col=ff9040>Einstellungen anzeigen
Open Bond Pouch;Öffnen Sie den Bond-Beutel
View House Options;Hausoptionen anzeigen
Enable <col=ff9040>Insert;Aktivieren Sie <col=ff9040>Einfügen
Age;Alter
Empty containers;Leere Behälter
Enable;Aktivieren
Enable <col=ff9040>Notes;Aktivieren Sie <col=ff9040>Notizen
Show task: <col=ff9040>Getting started with Ranged;Aufgabe anzeigen: <col=ff9040>Erste Schritte mit Ranged
Show task: <col=ff9040>Getting a grip on it;Aufgabe anzeigen: <col=ff9040>Das in den Griff bekommen
Show task: <col=ff9040>Body builder;Aufgabe anzeigen: <col=ff9040>Karosseriebauer
Show task: <col=ff9040>Getting started with Defence;Aufgabe anzeigen: <col=ff9040>Erste Schritte mit der Verteidigung
Show task: <col=ff9040>Sharpshooter;Aufgabe anzeigen: <col=ff9040>Scharfschütze
Show task: <col=ff9040>Getting started with Magic;Aufgabe anzeigen: <col=ff9040>Erste Schritte mit Magic
Show task: <col=ff9040>Bringer of chaos;Aufgabe anzeigen: <col=ff9040>Bringer des Chaos
Show task: <col=ff9040>Getting started with Strength;Aufgabe anzeigen: <col=ff9040>Erste Schritte mit Stärke
Claim;Beanspruchen
Show task: <col=ff9040>Honing my aim;Aufgabe anzeigen: <col=ff9040>Mein Ziel verbessern
Show task: <col=ff9040>Sticks and stones;Aufgabe anzeigen: <col=ff9040>Stöcke und Steine
Show task: <col=ff9040>Striking a pose;Aufgabe anzeigen: <col=ff9040>Eine Pose einnehmen
Show task: <col=ff9040>Weapons master;Aufgabe anzeigen: <col=ff9040>Waffenmeister
Open Adventure Paths;Offene Abenteuerpfade
Show task: <col=ff9040>Getting started with Attack;Aufgabe anzeigen: <col=ff9040>Erste Schritte mit Attack
Show task: <col=ff9040>Mithril defence;Aufgabe anzeigen: <col=ff9040>Mithril-Verteidigung
Show task: <col=ff9040>Building muscle;Aufgabe anzeigen: <col=ff9040>Muskeln aufbauen
Talk-To;Gesprächspartner
Shut;Schließen
Pay-toll(10gp);Mautgebühr (10 gp)
Revert;Zurücksetzen
Ironman Group;Ironman-Gruppe
Deactivate;Deaktivieren
Leave;Verlassen
Copy-outfit;Copy-Outfit
Predict;Vorhersagen
Reanimate;Wiederbeleben
Challenge;Herausforderung
<col=ffff00>Group:</col> Show friends;<col=ffff00>Gruppe:</col> Freunde anzeigen
Pass;Passieren
<col=ffff00>Group:</col> Show none;<col=ffff00>Gruppe:</col> Keine anzeigen
Jump;Springen
<col=ffff00>Group:</col> Show all;<col=ffff00>Gruppe:</col> Alle anzeigen
Quick Pass;Schneller Pass
<col=ffff00>Group:</col> Clear history;<col=ffff00>Gruppe:</col> Verlauf löschen
Quench;Löschen
Group;Gruppe
Inside;Innen
Break;Brechen
Withdraw-18;Rückzug-18
Home;Heim
Deposit-18;Anzahlung-18
Build mode;Build-Modus
Friend's house;Das Haus eines Freundes
Resurrect;Auferstehen
Equipment;Ausrüstung
Rest (private);Ruhe (privat)
Sort;Sortieren
Check Charges;Überprüfen Sie die Gebühren
Catch;Fangen
Pick-lots;Pick-Lots
A Dark Disposition;Eine dunkle Veranlagung
Lunch by the Lancalliums;Mittagessen bei den Lancalliums
Take Spade;Nimm Spaten
History and Hearsay;Geschichte und Hörensagen
Jewellery of Jubilation;Schmuck des Jubels
Touch;Berühren
Store;Speichern
Take Seed Dibber;Nehmen Sie Seed Dibber
Store-X;Store-X
Private;Privat
Store-5;Store-5
Upgrade;Upgrade
Reminisce;Erinnern Sie sich
Take Rake;Nimm Rake
The Fisher's Flute;Die Fischerflöte
Quick-pass;Schneller Pass
Store-10;Store-10
Withdraw;Zurückziehen
Withdraw all;Alle zurückziehen
Store-All;Store-All
Deposit all;Zahlen Sie alles ein
Shared;Geteilt
Dig;Graben
Spin;Drehen
Churn;Abwanderung
Shear;Scheren
Close Activity Adviser;Aktivitätsberater schließen
Chart;Diagramm
Last-destination (AIP);Letztes Ziel (AIP)
Zanaris;Zanaris
Zoom out;Herauszoomen
Buy 10;Kaufen Sie 10
Buy 1;Kaufen Sie 1
Buy 5;Kaufen Sie 5
Buy-50;Kaufen-50
Buy 50;Kaufen Sie 50
Value;Wert
Take-axe;Nehmen Sie die Axt
Climb-over;Überklettern
Steal-cowbell;Kuhglocke stehlen
Milk;Milch
View Newspost;Newsbeitrag anzeigen
View History;Verlauf anzeigen
New tab;Neuer Tab
New tag tab;Neuer Tag-Tab
Import tag tab;Registerkarte „Tag importieren“.
View journal <col=ff981f>The Restless Ghost</col>;Tagebuch <col=ff981f>The Restless Ghost</col> ansehen
Collapse;Zusammenbruch
View tag tabs;Tag-Registerkarten anzeigen
View all items;Alle Artikel anzeigen
Rotate-clockwise;Im Uhrzeigersinn drehen
Change;Ändern
Release-bees;Freilassungsbienen
Pick-up;Abholen
Rotate-anticlockwise;Gegen den Uhrzeigersinn drehen
Dig-up;Ausgraben
Attach;Befestigen
Lock;Sperren
Metamorphosis;Metamorphose
Configuration;Konfiguration
Sit-on;Sitzen
Remove board advert;Board-Werbung entfernen
Fill;Füllen
Great Kourend;Großer Kourend
Fossil Island;Fossile Insel
Teleport menu;Teleport-Menü
Teleport Menu;Teleport-Menü
Chop;Hacken
View journal <col=ff981f>X Marks the Spot</col>;Tagebuch ansehen <col=ff981f>X Marks the Spot</col>
Sell 5<col=ff9040>;Verkaufe 5<col=ff9040>
Feel;Fühlen
Sell 50<col=ff9040>;Verkaufe 50<col=ff9040>
Sell 1<col=ff9040>;Verkaufe 1<col=ff9040>
Value<col=ff9040>;Wert<col=ff9040>
Buy-10;Kaufen-10
Sell 10<col=ff9040>;Verkaufe 10<col=ff9040>
Hitpoints;Trefferpunkte
Crafting;Basteln
Fletching;Befiederung
Fishing;Angeln
Slayer;Jäger
Steal from;Stehlen von
Herblore;Pflanzenkunde
Farming;Landwirtschaft
Construction;Konstruktion
Agility;Beweglichkeit
Woodcutting;Holzfällerei
Sailing;Segeln
View journal <col=ff981f>Cook's Assistant</col>;Tagebuch <col=ff981f>Cook's Assistant</col> ansehen
Climb-into;Einsteigen
Mining;Bergbau
Strength;Stärke
Ranged;Fernkampf
Operate;Arbeiten
View journal <col=ff981f>Romeo & Juliet</col>;Tagebuch <col=ff981f>Romeo und Julia</col> ansehen
Take-flyer;Take-Flyer
+100;+100
Choose item;Artikel auswählen
+10;+10
-1;-1
Back;Zurück
+1K;+1K
Flash icons;Flash-Symbole
Sacrifice;Opfern
Take-All;Take-All
Jump-in;Einspringen
View journal <col=ff981f>Rune Mysteries</col>;Tagebuch <col=ff981f>Rune Mysteries</col> ansehen
Pass-Through;Durchgang
Coffer;Truhe
Picklock;Dietrich
Switch world;Welt wechseln
Small Net;Kleines Netz
Okay;Okay
Perform <col=ff9040>Relic unlock</col>;Führen Sie <col=ff9040>Reliktfreischaltung</col> durch
Abierto;Abierto
Comercio;Comercio
Examinar;Prüfer
Cerca;Cerca
Ataque;Ataque
Buscar;Buscar
Hablar con;Hablar con
Carterista;Carterista
Caminar aqui;Kam hierher
Tronchar;Tronchar
Take-Coffin;Take-Sarg
Make;Machen
5;5 
Pay;Zahlen
Other quantity;Andere Menge
Jump-up;Aufspringen
Balance;Gleichgewicht
Check Name;Überprüfen Sie den Namen
Scatter;Streuen
Move;Bewegen
Contents;Inhalt
Talk to;Reden Sie mit
Zoom in;Vergrößern
Useful Links;Nützliche Links
10;10 
Burn;Brennen
Stornieren;Stornieren
Pray;Beten
Group: Previous;Gruppe: Vorherige
Group: Choose;Gruppe: Wählen Sie
Investigate;Untersuchen
Jump-onto;Aufspringen
Withdraw-500;Abheben-500
Grab;Greifen
Move-right;Nach rechts bewegen
View Ignore List;Ignorierliste anzeigen
Move-down;Nach unten bewegen
Move-left;Nach links bewegen
Move-up;Aufstieg
Add-All<col=ff9040>;Alles hinzufügen<col=ff9040>
Remove-legs;Beine entfernen
Add<col=ff9040>;Fügen Sie<col=ff9040> ​​hinzu
Add-5<col=ff9040>;Add-5<col=ff9040>
Look-inside;Schauen Sie hinein
Add-X<col=ff9040>;Add-X<col=ff9040>
Add-10<col=ff9040>;Add-10<col=ff9040>
Deposit-500;Anzahlung: 500
Check charges;Gebühren prüfen
Default quantity: 500;Standardmenge: 500
Load-outs;Ausladungen
Done;Erledigt
Filter;Filter
Hide menu;Menü ausblenden
Scroll down;Scrollen Sie nach unten
Cancel downgrade;Downgrade abbrechen
View tab ;Registerkarte „Ansicht“.
Show tutorial;Tutorial anzeigen
Show menu;Menü anzeigen
Scroll up;Scrollen Sie nach oben
Make<col=ff9040> Dugout canoe;Machen Sie einen<col=ff9040>Einbaum
Shape-Canoe;Form-Kanu
Paddle Canoe;Paddelkanu
Float Log;Float Log
Make<col=ff9040> Log canoe;Baue ein<col=ff9040>Holzkanu
Paddle Log;Paddelprotokoll
Travel to<col=ff9040> Champions Guild;Reise zur<col=ff9040>Champions Guild
Quit;Aufhören
Grave info;Grabinformationen
Jump-over;Über etwas springen
Details;Details
Report for;Bericht für
Steal-From;Stehlen
Redeem-code;Code einlösen
Fire;Feuer
Holiday-items;Urlaubsartikel
Visit-Last;Besuch-Letzter
Add-House;Add-House
Add/Remove House;Haus hinzufügen/entfernen
Big Net;Großes Netz
Enter House;Betreten Sie das Haus
Harpoon;Harpune
4;4 
View Poll;Umfrage ansehen
View Archive;Archiv anzeigen
Walk-up;Walk-up
Claim-Tokens;Claim-Tokens
Animate;Animieren
Take-from;Take-from
Fish-in;Einfischen
Rotate;Drehen
Look;Suchen
Rub-together;Aneinander reiben
Pick-lock;Dietrich
Extinguish;Löschen
