hello;Hallo
Hello there crocodile. I think I'll call you Roger. You're looking very hungry, Roger.;Hallo Krokodil. Ich denke, ich werde dich Roger nennen. Du siehst sehr hungrig aus, Roger.
What? Then why the signal?;Was? Warum dann das Signal?
Only the most worthy are allowed access into the Myths' Guild. If you wish to enter, you'll need to prove yourself.;Nur den Würdigsten wird der Zutritt zur Mythengilde gewährt. Wenn Sie teilnehmen möchten, müssen Sie sich beweisen.
2.67 Taking to First mate 'Davey-boy' in search of the jinx;2.67 Auf dem Weg zum Ersten Maat „Davey-Boy“ auf der Suche nach dem Fluch
Right here. Enjoy!;Genau hier. Genießen!
Well then get to it.;Dann machen wir uns an die Arbeit.
Hi buddy! Or do ya want me to call ya [Fremennik name] now?;Hallo Kumpel! Oder willst du, dass ich dich jetzt [Name des Fremennik] nenne?
Just do the same trick using some rope on their sails and swing over.;Machen Sie einfach den gleichen Trick, indem Sie ein Seil an den Segeln befestigen und sich hinüberschwingen.
The wizards cast an evil spell...;Die Zauberer sprechen einen bösen Zauber...
Now I just want a decent drink. Mind you, too much Khali brew and I'll fall asleep.;Jetzt möchte ich nur noch ein ordentliches Getränk. Wohlgemerkt, zu viel Khali-Gebräu und ich schlafe ein.
Can you help me with that incantation?;Kannst du mir bei dieser Beschwörung helfen?
Please, we just wanted to experiment. We wanted to create life. There's a dungeon under the tower. Long ago we found a strange source of energy that we believe was left behind by the great Guthix. He used to;Please, we just wanted to experiment. We wanted to create life. There's a dungeon under the tower. Vor langer Zeit haben wir eine seltsame Energiequelle gefunden, von der wir glauben, dass sie vom großen Guthix zurückgelassen wurde. Früher hat er es getan
You search the broken down lectern.;Sie durchsuchen das kaputte Rednerpult.
You welcome the fresh air.;Sie freuen sich über die frische Luft.
Good name, but not really his style I'm afraid.;Guter Name, aber leider nicht wirklich sein Stil.
The apothecary hands you another potion of sealegs.;Der Apotheker reicht dir einen weiteren Trank Seebeine.
If the player has read the IOU;Wenn der Spieler den Schuldschein gelesen hat
Cat training medal;Medaille für Katzentraining
They are ancient and powerful beings! They are very evil! It is said that they once dominated this plane of existence, Zamorak was supposedly of their blood. They are far fewer in number now.;They are ancient and powerful beings! Sie sind sehr böse! Es wird gesagt, dass sie einst diese Ebene der Existenz beherrschten, Zamorak soll von ihrem Blut gewesen sein. They are far fewer in number now.
Perhaps our knowledge is beyond your understanding.;Vielleicht übersteigt unser Wissen Ihr Verständnis.
The cage is complete!;Der Käfig ist fertig!
I need the sled to get to a certain location in the mountains.;Ich brauche den Schlitten, um an einen bestimmten Ort in den Bergen zu gelangen.
Errr... You couldn't see eye to eye about magic, or something like that.;Ähm... In Sachen Magie oder so etwas konnte man sich nicht einig sein.
Pharaoh Kemesis has you fooled. This is clearly some ploy of his to keep us confused and divided. He is our true foe.;Pharao Kemesis hat dich getäuscht. Dies ist eindeutig ein Trick von ihm, um uns zu verwirren und zu spalten. Er ist unser wahrer Feind.
Oi, how dare you wake me up!;Oi, wie kannst du es wagen, mich aufzuwecken!
Den no crunchy claws for you!;Denn keine knusprigen Krallen für dich!
I think I know where Councillor Hughes has gone.;Ich glaube, ich weiß, wohin Ratsmitglied Hughes gegangen ist.
Well on that note, what can you tell me about the Burning Man?;Was können Sie mir in diesem Sinne über den Burning Man sagen?
3.7 Talking to Brother Cedric with water;3.7 Mit Bruder Cedric mit Wasser reden
Acidic Bloodveld;Saures Blutfeld
8.4.2 Returning to Ardougne Castle after Lathas' death;8.4.2 Rückkehr nach Ardougne Castle nach Lathas‘ Tod
Yes, but I don't seem to have it with me. I'll be back soon.;Yes, but I don't seem to have it with me. Ich komme bald zurück.
Where did you find this mermaid?;Wo hast du diese Meerjungfrau gefunden?
Now I must complete my task by defeating the great enemy.;Jetzt muss ich meine Aufgabe erfüllen, indem ich den großen Feind besiege.
Lord Arceuus gives you the broken device.;Lord Arceuus gibt dir das kaputte Gerät.
Then it sounds like we have an agreement.;Dann klingt es so, als hätten wir eine Einigung.
from their farm to the south. They are paid from the money in the coffers;von ihrer Farm nach Süden. Sie werden aus dem Geld der Kassen bezahlt
Good day Effendi!;Guten Tag, Effendi!
Do you think this is worth exploring?;Denken Sie, dass dies eine Erkundung wert ist?
Greetings!;Grüße!
No, not really, but it pays to be methodical in something like this.;Nein, nicht wirklich, aber es lohnt sich, bei so etwas methodisch vorzugehen.
Hello there. I'd like to ask you some questions about your dad.;Hallo. Ich würde Ihnen gerne ein paar Fragen zu Ihrem Vater stellen.
Yes, I can imagine. Do you have any more recent information about him? Where is he?;Ja, das kann ich mir vorstellen. Haben Sie aktuellere Informationen über ihn? Wo ist er?
'We aim to deliver your stuff at some point after you have paid us!';„Unser Ziel ist es, Ihre Sachen irgendwann nach der Bezahlung auszuliefern!“
Grish, you's is fright da creatures! Leave it alone!;Grish, du hast Angst vor diesen Kreaturen! Lass es in Ruhe!
My plan has only just begun! Even with this setback, those pathetic fragments of my father have still given me ample power. My strength is absolute!;Mein Plan hat gerade erst begonnen! Trotz dieses Rückschlags haben mir diese erbärmlichen Fragmente meines Vaters immer noch reichlich Kraft verliehen. Meine Stärke ist absolut!
Right you are, old pockets! Keep thinking! These are excellent ideas you're having!;Right you are, old pockets! Denken Sie weiter! These are excellent ideas you're having!
I need [1-19] more before I can pay you.;Ich benötige [1-19] mehr, bevor ich dich bezahlen kann.
I'll take a look.;Ich werde einen Blick darauf werfen.
I'm not finished yet.;Ich bin noch nicht fertig.
Well, be very careful out there! Those dratted slugs have been joined by giant lobsters!;Seien Sie da draußen sehr vorsichtig! Zu diesen verdammten Schnecken gesellen sich riesige Hummer!
Ah, there you are. Our master foresaw your arrival.;Ah, da bist du ja. Our master foresaw your arrival.
Hey you creature..you made da stabbers Dat's good creature!;Hey du Geschöpf. Du hast die Messerstecher gemacht. Das ist ein gutes Geschöpf!
Healthorg has become a weak old fool! He's blind to our problems.;Healthorg ist ein schwacher alter Idiot geworden! Er ist blind für unsere Probleme.
What on Gielinor is...;Was auf Gielinor ist...
Thanks, goodbye.;Danke, auf Wiedersehen.
But in the years I've been locked away, I've been plotting and scheming. When I escape from this cell....;Aber in den Jahren, in denen ich eingesperrt war, habe ich Pläne geschmiedet. Wenn ich aus dieser Zelle entkomme...
Good morning.;Guten Morgen.
These adventurers reported seeing a wraith- like creature.;Diese Abenteurer berichteten, sie hätten eine geisterhafte Kreatur gesehen.
I'm glad you liked it, my [darling/dear].;Ich freue mich, dass es dir gefallen hat, mein [Liebling/Liebes].
I know, I know. This is a truly dangerous creation, of all proportions.;Ich weiß, ich weiß. Dies ist eine wirklich gefährliche Schöpfung aller Größenordnungen.
Need summat?;Benötigen Sie eine Zusammenfassung?
Looks like it's up to me then. Wish me luck.;Dann scheint es an mir zu liegen. Wünsch mir Glück.
I don't think it's done yet.;Ich glaube nicht, dass es schon fertig ist.
I no longer need these bones - take them, please, and bury what you can.;Ich brauche diese Knochen nicht mehr. Nehmen Sie sie bitte und begraben Sie, was Sie können.
Except for the Captain, I think so, yes.;Mit Ausnahme des Kapitäns, ich denke schon, ja.
If the player does not have inventory space for the reward;Wenn der Spieler keinen Platz im Inventar für die Belohnung hat
Try the beckon emote while wearing an item of builders' clothing!;Probieren Sie das Wink-Emote aus, während Sie ein Bauarbeiter-Kleidungsstück tragen!
it would therefore become impossible to remove your rank, or make you no longer a deputy.;Es wäre daher unmöglich, Ihren Rang zu entfernen oder Sie nicht mehr zum Stellvertreter zu machen.
That's not true!;Das stimmt nicht!
Well return to me once you have.;Nun, kehren Sie zu mir zurück, sobald Sie es getan haben.
Are you Death? You remind me a lot of a gnome I knew when I was alive.;Bist du der Tod? Du erinnerst mich sehr an einen Gnom, den ich kannte, als ich noch lebte.
1.2 Before watching the recording;1.2 
3.1 Talking to Kaht B'alam;3.1 Im Gespräch mit Kaht B'alam
Veos;Veos
She happened to be somewhere else when Crandor was destroyed, and she's had several owners since then. Not all of them have looked after her too well,;Sie war zufällig woanders, als Crandor zerstört wurde, und seitdem hatte sie mehrere Besitzer. Nicht alle haben sich gut um sie gekümmert,
Hazelmere?;Hazelmere?
You'll find the house in sector four. To get there, leave the base, head north and then head west. Go all the way to the western wall and you'll find a broken fountain. The house is the one directly south of the fountain.;Sie finden das Haus in Sektor vier. Um dorthin zu gelangen, verlassen Sie die Basis, gehen Sie nach Norden und dann nach Westen. Gehen Sie bis zur Westmauer und Sie werden einen kaputten Brunnen finden. Das Haus liegt direkt südlich des Brunnens.
The voices tell me I can. They speak to me!;The voices tell me I can. Sie sprechen zu mir!
No... I thought destroying the totem would be enough, but it's already too late. It has claimed this place now. We can never undo that.;Nein ... ich dachte, die Zerstörung des Totems würde ausreichen, aber es ist bereits zu spät. It has claimed this place now. Das können wir nie wieder rückgängig machen.
Here's a vial for your potion. Good luck.;Here's a vial for your potion. Viel Glück.
Nulodion's notes;Nulodions Notizen
Traveller, any word from Hazelmere?;Reisender, irgendetwas von Hazelmere?
Your first-cousin, once removed?;Ihr Cousin ersten Grades, nachdem er entfernt wurde?
I'll see if the author can help translate the note for me, then.;Ich werde dann sehen, ob der Autor mir bei der Übersetzung der Notiz helfen kann.
6.1.4 Trying to combine buttons with pattern without hard leather;6.1.4 Ich versuche, Knöpfe mit Muster ohne hartes Leder zu kombinieren
Be off with ye then.;Dann verschwinde mit dir.
Yes, I hear them all the time. I don't pay any attention to them though.;Ja, ich höre sie ständig. Ich schenke ihnen allerdings keine Beachtung.
5.12 Talking to Wise Old Man again;5.12 Ich rede noch einmal mit dem weisen alten Mann
You hear the clunking of some hidden machinery.;Sie hören das Klappern einiger versteckter Maschinen.
Hey there's no need to be rude!;Hey, es gibt keinen Grund, unhöflich zu sein!
Don't we?;Nicht wahr?
What do we do? There's nothing we can do. Don't you see, Ivan? It's over. They've won.;Was machen wir? There's nothing we can do. Verstehst du das nicht, Ivan? Es ist vorbei. Sie haben gewonnen.
[player name]! I hear you fetch mighty army for us!;[player name]! Ich habe gehört, dass du eine mächtige Armee für uns herbeiholst!
2.3 Talking to the sawmill operator;2.3 Gespräch mit dem Sägewerksbetreiber
Of course. Sorry to have disturbed you.;Natürlich. Tut mir leid, Sie gestört zu haben.
The player stabs Abigale.;Der Spieler ersticht Abigale.
Do you recognise this thread?;Erkennen Sie diesen Thread?
The Pot is now coated with a thin layer of flour.;Der Topf ist nun mit einer dünnen Schicht Mehl bedeckt.
So this place was definitely used by wizards at one point. Amazing!;Dieser Ort wurde also definitiv einmal von Zauberern genutzt. Toll!
You're in serious trouble now!;Du steckst jetzt in ernsthaften Schwierigkeiten!
If player's house is currently located in Yanille;Wenn sich das Haus des Spielers derzeit in Yanille befindet
When it protects them from a far greater danger, a fear too big to fathom.;Wenn es sie vor einer weitaus größeren Gefahr schützt, einer Angst, die zu groß ist, um sie zu ergründen.
4 Lozar's map piece;4 Lozars Kartenstück
7 Getting the goutweed;7 Den Giersch bekommen
3.17 Talking to Hengrad in the jail cell;3.17 
...that's lovely, thanks.;...das ist schön, danke.
So What do you say?;Also, was sagst du?
Oh, I'll be fine. I've got work as Port Sarim's first lifeguard!;Oh, mir geht es gut. I've got work as Port Sarim's first lifeguard!
That's right. They turned on him. No-one is sure about the exact events, but somehow Gubblebak fell into one of the smelting pots of liquid gold.;Das ist richtig. Sie haben sich gegen ihn gewandt. Niemand ist sich über die genauen Ereignisse im Klaren, aber irgendwie fiel Gubblebak in einen der Schmelztiegel flüssigen Goldes.
So you didn't find the entrance to Zanaris yet, huh?;Du hast also den Eingang zu Zanaris noch nicht gefunden, oder?
You came to me, not the other way around. From that, I would assume that you already have some sort of motive in finding this killer. I care not what that motive is.;Du bist zu mir gekommen, nicht umgekehrt. Daher gehe ich davon aus, dass Sie bereits ein Motiv haben, diesen Mörder zu finden. Es ist mir egal, was das Motiv ist.
accep... ancestor build.;Akzeptieren... Vorfahren-Build.
Yes, that's right. The sheer number of trolls means that the best hope for the Colony is to gather our forces and wipe out all the trolls at once.;Ja, das stimmt. Die schiere Anzahl der Trolle bedeutet, dass die beste Hoffnung für die Kolonie darin besteht, unsere Streitkräfte zu sammeln und alle Trolle auf einmal auszulöschen.
2.2.3.3 Refuel Furnace;2.2.3.3 Auftankofen
Quest transcriptCold WarIncomplete without reasonIncomplete transcripts;QuesttranskriptKalter KriegUnvollständig ohne GrundUnvollständige Transkripte
This page was last modified on 10 January 2023, at 07;Diese Seite wurde zuletzt am 10. Januar 2023 um 07:00 Uhr geändert
Many have tried to capture her attention, but you are the first to succeed.;Viele haben versucht, ihre Aufmerksamkeit zu erregen, aber Sie sind der Erste, dem es gelingt.
I'm working. What do you have to say that's so urgent?;Ich arbeite. Was haben Sie zu sagen, das so dringend ist?
Yes, I will go get those for you.;Ja, ich werde die für dich holen.
Quest transcriptThe Corsair CurseIncomplete transcripts;QuesttranskriptDer Fluch der KorsarenUnvollständige Transkripte
3 Meeting the Lost Tribe;3 Begegnung mit dem verlorenen Stamm
Also, you don't need to bring his whole body back of course. That wouldn't be very subtle. We only need his brain.;Außerdem müssen Sie natürlich nicht seinen gesamten Körper zurückbringen. Das wäre nicht sehr subtil. Wir brauchen nur sein Gehirn.
If the player has lost the mysterious orb;Wenn der Spieler die mysteriöse Kugel verloren hat
So how can we permanently unlock them?;Wie können wir sie also dauerhaft freischalten?
Grubfoot teleports away.;Grubfoot teleportiert sich weg.
The boots ;Die Stiefel
Hmm... Say the scroll had been there, what were you supposed to do with it?;Hmm ... Angenommen, die Schriftrolle wäre da gewesen, was hättest du damit machen sollen?
And so great was His sorrow, and so great was His life- giving power, that the rocks themselves began to weep with Him.;Und so groß war sein Kummer und so groß war seine lebensspendende Kraft, dass die Felsen selbst anfingen, mit ihm zu weinen.
No, now get lost!;Nein, jetzt verschwinde!
Stowaway! Stowaway! *Squark*;Blinder Passagier! Blinder Passagier! *Squark*
Ulsquire Shauncy;Ulsquire Shauncy
Your death will be swift.;Dein Tod wird schnell sein.
The last time I did a trade in this place, I nearly lost the shirt from my back!;Als ich das letzte Mal an diesem Ort gehandelt habe, habe ich fast das Hemd vom Rücken verloren!
Keep at it. We need to find a solution that they all agree on.;Bleiben Sie dran. Wir müssen eine Lösung finden, mit der alle einverstanden sind.
A cutscene starts. The player and Maisa walk towards the citizens and Menaphite Guards.;Eine Zwischensequenz beginnt. Der Spieler und Maisa gehen auf die Bürger und Menaphiten-Wächter zu.
Aquarius!;Wassermann!
(Non-quest dialogue) Do you have any interesting items for sale?;(Nicht-Quest-Dialog) Haben Sie interessante Gegenstände zum Verkauf?
Can't risk you being a carrier. That protective clothing you have isn't regulation issue. It won't meet safety standards.;Ich kann nicht riskieren, dass Sie ein Spediteur sind. Dass Sie Schutzkleidung tragen, ist kein Regulierungsproblem. Es entspricht nicht den Sicherheitsstandards.
Vinegar!;Essig!
The thing I need is something with the ability to regenerate. Nylocas are strong in numbers, but far too weak on their own.;Was ich brauche, ist etwas mit der Fähigkeit zur Regeneration. Nylocas sind zahlenmäßig stark, aber allein viel zu schwach.
5.5 Talking to Safalaan after creating the Ivandis flail;5.5 Nach der Herstellung des Ivandis-Dreschflegels mit Safalaan sprechen
For da stabbie chucker, I's wanna hunt da chompy! Da chompy is der bestest yummies for Rantz, Fycie and Bugs! Creature knows what Rantz wants... flyin' to stabbie da chompy!;Für den Stabbie Chucker will ich den Chompy jagen! Da Chompy ist das beste Leckerli für Rantz, Fycie und Bugs! Die Kreatur weiß, was Rantz will ... fliegen, um den Chompy zu erstechen!
Get over there and take out their cannon before I throw ye there me self.;Geh rüber und schalte ihre Kanone aus, bevor ich dich selbst dorthin werfe.
'Our tribesmen are the children of the Fremennik of Rellekka. The parting was a bitter affair and the two groups never forgave each other.';„Unsere Stammesangehörigen sind die Kinder der Fremennik von Rellekka. Der Abschied war eine bittere Angelegenheit und die beiden Gruppen verziehen sich gegenseitig nie.“
You go into the peculiar looking tent.;Du gehst in das eigenartig aussehende Zelt.
GPDT employee;GPDT-Mitarbeiter
If I consider you to have done a more than adequate job of this, then I will begin to consider possibly moving your name forwards to becoming a full-fledged member of the Order of the White Knights.;Wenn ich der Meinung bin, dass Sie dies mehr als ausreichend getan haben, werde ich darüber nachdenken, Ihren Namen möglicherweise zu einem vollwertigen Mitglied des Ordens der Weißen Ritter zu machen.
I'm afraid not. It only ever comes in the night, so we haven't been able to get a proper look at it.;Ich fürchte nein. Es kommt immer nur nachts, daher konnten wir es uns nicht genau ansehen.
) I managed to get back to Yu'biusk.;) Es gelang mir, nach Yu'biusk zurückzukehren.
It should be big enough for you to squeeze through, as long as you haven't recently eaten an excess of cakes.;Es sollte groß genug sein, dass Sie sich hindurchzwängen können, sofern Sie in letzter Zeit nicht zu viel Kuchen gegessen haben.
With Zamorak at my side, nothing would stand between me and Camelot!;Mit Zamorak an meiner Seite würde nichts zwischen mir und Camelot stehen!
Elena gives you some potions.;Elena gibt dir ein paar Zaubertränke.
So who did create them?;Wer hat sie also geschaffen?
Rejoice with me, for your miserable lives are finally at an end!;Freut euch mit mir, denn eure elenden Leben haben endlich ein Ende!
I can almost taste the riches!;Ich kann den Reichtum fast schmecken!
3.2 Using vodka on aviary hatch;3.2 
Please waitYour character is now attempting to cut down the tree. Sit back for a moment while he does all the hard work.;Bitte warten. Ihr Charakter versucht jetzt, den Baum zu fällen. Lehnen Sie sich einen Moment zurück, während er die ganze harte Arbeit erledigt.
Treasure scroll;Schatzrolle
The River leads the souls through unchartable realms, transcending the plane of the world as you see it, but the three-headed Guardian keeps them safe.;Der Fluss führt die Seelen durch unerforschte Bereiche und überschreitet die Ebene der Welt, wie Sie sie sehen, aber der dreiköpfige Wächter sorgt für ihre Sicherheit.
He'd achieved his goal, so he left. I never saw him again.;Er hatte sein Ziel erreicht, also ging er. Ich habe ihn nie wieder gesehen.
That's right, to become a Fremennik.;Genau, ein Fremennik zu werden.
1.6 Talking to Jerico after talking to Omart;1.6 Nach dem Gespräch mit Omart mit Jerico sprechen
I'm meant to be setting sail on a voyage of my own, but the crew won't go without some sort of 'protection'. I was hoping someone here would know of a way to avoid falling victim to the so-called curse.;Ich soll zu einer eigenen Reise in See stechen, aber die Besatzung wird nicht ohne irgendeinen „Schutz“ gehen. Ich hatte gehofft, dass jemand hier einen Weg kennt, um nicht dem sogenannten Fluch zum Opfer zu fallen.
Yes, but I don't think you can help;Ja, aber ich glaube nicht, dass Sie helfen können
Rantz gives you a filled comfy mattress.;Rantz bietet Ihnen eine gefüllte, bequeme Matratze.
Repair the grindstone?;Den Schleifstein reparieren?
Yeah, okay, let's give it a go.;Ja, okay, lass es uns versuchen.
It's... an eye patch?;Es ist... eine Augenklappe?
If the Council are to be removed, they will also have to be replaced.;Wenn der Rat entfernt werden soll, muss er auch ersetzt werden.
These holes aren't that spooky.;Diese Löcher sind nicht so gruselig.
3 Joining the Carnillean side;3 Beitritt zur Carnillean-Seite
So would you if you lost everyone dear to you at the hands of such monsters.;Das würdest du auch tun, wenn du alle Menschen, die dir lieb sind, durch die Hand solcher Monster verlieren würdest.
Hello? Lacey? Sid?;Hallo? Lacey? Sid?
You knew this day would come?;Du wusstest, dass dieser Tag kommen würde?
Take a look around our camp if you like!;Wenn Sie möchten, schauen Sie sich in unserem Camp um!
2.8 Talking to Tegdak with an artefact;2.8 Mit einem Artefakt mit Tegdak sprechen
Toolkit;Toolkit
2.1 Talking to Luthas;2.1 Im Gespräch mit Luthas
Thank you, [Fremennik name].;Vielen Dank, [Name Fremennik].
You are perhaps a more interesting man than I first took you for, Sir...;Sie sind vielleicht ein interessanterer Mann, als ich zunächst für Sie gehalten habe, Sir ...
'Black-eye';„Schwarzauge“
3.12.1 Talking to Garkor again;3.12.1 Ich rede noch einmal mit Garkor
Oh great! That is great news! Well done...well done... what a total success!;Oh toll! Das sind großartige Neuigkeiten! Gut gemacht... gut gemacht... was für ein voller Erfolg!
Vanescula Drakan appears;Vanescula Drakan erscheint
You take an 8-gallon jug from the cupboard.;Du nimmst einen 8-Gallonen-Krug aus dem Schrank.
4.1 Attempting to grab the ball before defeating the experiment;4.1 Der Versuch, den Ball zu ergreifen, bevor das Experiment gescheitert ist
Sorry, that's too expensive.;Tut mir leid, das ist zu teuer.
Well, err...who are you, and what are all these bones doing here?;Na ja, ähm ... wer bist du und was machen all diese Knochen hier?
You... you moved her into the waterfall? That... that's the perfect place for her to be.;Du... hast du sie in den Wasserfall gebracht? Das... das ist der perfekte Ort für sie.
Boy;Junge
I don't understand... the touch paper hasn't changed colour at all...;Ich verstehe das nicht... das Touch-Papier hat überhaupt nicht seine Farbe verändert...
You know, I'm not sure that was even a compliment.;Wissen Sie, ich bin mir nicht sicher, ob das überhaupt ein Kompliment war.
I promise, Grubfoot. I won't tell anyone where the temple is.;Ich verspreche es, Grubfoot. Ich werde niemandem sagen, wo der Tempel ist.
You did what?;Du hast was getan?
1.1 Adventurer camp;1.1 Abenteurerlager
Hello friend. I'm just here to rescue the Prince, if thats okay?;Hallo Freund. Ich bin nur hier, um den Prinzen zu retten, wenn das in Ordnung ist?
Doll;Puppe
The Captain starts rambling on about his days as a salty sea dog. He looks quite distracted...;Der Kapitän fängt an, über seine Tage als salziger Seehund zu reden. Er sieht ziemlich zerstreut aus...
Glad to hear it!;Freut mich, das zu hören!
I think I saw some buildings on the coast east of here while we were crashing. I'd have a look there.;Ich glaube, ich habe während unseres Absturzes einige Gebäude an der Küste östlich von hier gesehen. Da würde ich mal nachschauen.
Do you think we'll find anything to help us here?;Glauben Sie, dass wir hier etwas finden, das uns weiterhilft?
Yes, she good cook and wash but talk too many. Arrg strong troll, Arrg mighty troll, Arrg have many girlfriends!;Yes, she good cook and wash but talk too many. Arrg starker Troll, Arrg mächtiger Troll, Arrg hat viele Freundinnen!
Pact?;Pakt?
There you are! I was worried you'd miss all the fun.;Da bist du! Ich hatte Angst, dass du den ganzen Spaß verpassen würdest.
I'll be back.;Ich komme wieder.
Hello traveller, what brings you to my humble smithy?;Hallo Reisender, was führt dich zu meiner bescheidenen Schmiede?
2.9 Investigating the compost heap;2.9 
Are you sure it'll work?;Bist du sicher, dass es funktionieren wird?
Looks like you already have some.;Sieht so aus, als hättest du schon welche.
Do you even remember what it looked like?;Erinnern Sie sich überhaupt daran, wie es aussah?
Where does it lead to?;Wohin führt es?
4.3 Talking to King Narnode;4.3 Im Gespräch mit König Narnode
1.4 Talking to Trufitus again;1.4 
Talk to tha' hand coz thish face ain't lishtnin'!;Sprich mit der Hand, denn dieses Gesicht ist nicht lesbisch!
Then you will be equipped to ask Sandy a few questions. Oh Clarence, I will find your murderer!;Dann sind Sie in der Lage, Sandy ein paar Fragen zu stellen. Oh Clarence, I will find your murderer!
Yous creature dun da fing yet? Da zogries going in da dirt full home?;Du hast es schon geschafft? Warum gehen die Zocker in das dreckige Haus?
Hello, Lady Servil.;Hallo, Lady Servil.
Where would I find this Al Zaba Bhasim?;Wo finde ich diesen Al Zaba Bhasim?
Hang on, do you hear that?;Warte mal, hörst du das?
Join your crew.;Treten Sie Ihrer Crew bei.
Well don't waste time talking to me. Get on with it.;Well don't waste time talking to me. Machen Sie weiter.
Green Gemstone Director;Direktor von Green Gemstone
Ok, I'll gather some wood.;Ok, ich werde etwas Holz sammeln.
You try to use the tree to climb down...;Du versuchst, den Baum zum Herunterklettern zu benutzen ...
Emote clues.;Emote-Hinweise.
I'm guessing this is the bit where I retrieve some hespori bark for us.;Ich vermute, das ist die Stelle, an der ich etwas Hespori-Rinde für uns hole.
5.1 Talking to Spria;5.1 Im Gespräch mit Spria
You unlock the chest and find a scroll inside, but you don't have enough room to take it.;Du öffnest die Truhe und findest darin eine Schriftrolle, aber du hast nicht genug Platz, um sie mitzunehmen.
Thank you. I will make sure she's given a proper burial now.;Danke schön. Ich werde dafür sorgen, dass sie jetzt ordnungsgemäß beerdigt wird.
11.4 Returning to Razmire before making sacred oil;11.4 Rückkehr nach Razmire, bevor heiliges Öl hergestellt wird
14.4 Returning to Razmire;14.4 Rückkehr nach Razmire
Alright, Kovac, I'll help you out. What do we need to do first?;Okay, Kovac, ich helfe dir. Was müssen wir zuerst tun?
I think this has seen better days. What was it?;Ich denke, das hat schon bessere Tage gesehen. Was war es?
Hmm. I wonder if there's another way in.;Hmm. Ich frage mich, ob es einen anderen Weg hinein gibt.
'I knew I had to help them, to fix my mistakes. I should have known that I'd only make it worse...';„Ich wusste, dass ich ihnen helfen musste, um meine Fehler zu beheben.“ Ich hätte wissen müssen, dass ich es nur noch schlimmer machen würde …“
I think so. There's a waste outlet nearby that I believe may be coming from the city of Arposandra!;Ich glaube schon. In der Nähe gibt es eine Abfallentsorgung, von der ich glaube, dass sie aus der Stadt Arposandra stammt!
What do you do in the Guild?;Was macht man in der Gilde?
Ranked or unranked? What does that mean?;Mit Rang oder ohne Rang? Was bedeutet das?
