A Clam Shell;Eine Muschelschale
Belladonna patch;Belladonna-Patch
Bellows;Balg
Bells;Glocken
Bellshroom;Glockenpilz
Bench;Bank
Betty's cauldron;Bettys Kessel
Biclopse;Biclopse
Big Button;Großer Knopf
Big Compost Bin;Großer Kompostbehälter
Big Door;Große Tür
Big Plant space 1;Großer Pflanzenraum 1
Big Plant space 2;Großer Pflanzenraum 2
Big Tree space;Großer Baumraum
Big beer barrel;Großes Bierfass
Big chest;Große Brust
Big door;Große Tür
Big egg;Großes Ei
Big fish;Großer Fisch
Big hole;Großes Loch
Big plant;Große Pflanze
Big plant 2;Große Pflanze 2
Big vase;Große Vase
Big window;Großes Fenster
Big, big boulder...;Großer, großer Felsbrocken...
Big, foot print;Groß, Fußabdruck
Bin;Bin
Bird cage stand;Vogelkäfigständer
Bird feeder;Vogelhäuschen
Bird hide structure;Vogelhautstruktur
Bird snare;Vogelfalle
Birdhouse;Vogelhaus
Birdhouse (empty);Vogelhaus (leer)
Birdseed holder;Vogelfutterhalter
Birthday cake;Geburtstagskuchen
Bittercap Mushrooms;Bitterkappenpilze
Bitternut Sign;Bitternuss-Zeichen
Bitternut Tree;Bitternussbaum
Black Chest;Schwarze Truhe
Black crystal;Schwarzer Kristall
Black hole;Schwarzes Loch
Black mushrooms;Schwarze Pilze
Blackboard;Tafel
Blacksmith's tools;Schmiedewerkzeuge
Blacksmiths' tools;Schmiedewerkzeuge
Blade;Klinge
Blighted Bologano plant;Befallene Bologano-Pflanze
Blighted Bologano seedling;Befallener Bologano-Sämling
Blighted Golovanova plant;Befallene Golovanova-Pflanze
Blighted Golovanova seedling;Befallener Golovanova-Sämling
Blighted Logavano plant;Befallene Logavano-Pflanze
Blighted Logavano seedling;Befallener Logavano-Sämling
Blighted vine;Verdorbene Rebe
Blindweed Patch;Blindkrautbeet
Blisterwood Tree;Blisterwood-Baum
Blockage;Blockierung
Blocked Crevice;Verstopfter Spalt
Blocked Tunnel;Blockierter Tunnel
Blocked entry;Eintrag gesperrt
Blocked tunnel;Blockierter Tunnel
Blocked volcanic chamber;Verstopfte Vulkankammer
Blood;Blut
Blood Altar;Blutaltar
Blood Orb;Blutkugel
Blood Stinkhorn;Blut-Stinkhorn
Blood Stinktree;Blut Stinktree
Blood crystal;Blutkristall
Blood rift;Blutriss
Blooming Hespori sprout;Blühender Hespori-Spross
Blue Barrier;Blaue Barriere
Blue Fire;Blaues Feuer
Blue Flowers;Blaue Blumen
Blue Water Sign;Blaues Wasserzeichen
Blue banner;Blaues Banner
Blue chemical;Blaue Chemikalie
Blue door;Blaue Tür
Blue flowers;Blaue Blumen
Blue tears;Blaue Tränen
Bluebells;Glockenblumen
Blurberry bar;Blurberry-Riegel
Boarded-up door;Mit Brettern vernagelte Tür
Boards;Bretter
Boat;Boot
Boat Chute;Bootsrutsche
Boat station;Bootsstation
Boaty;Boaty
Bob's barrel;Bobs Fass
Body rift;Körperriss
Bog;Moor
Boil;Kochen
Boiler;Kessel
Boils;Furunkel
Bologano plant;Bologano-Pflanze
Bologano seedling;Bologano-Sämling
Bone Chain;Knochenkette
Bone Crane;Knochenkranich
Bone arch;Knochenbogen
Bone barrel;Knochenfass
Bone door;Knochentür
Bone grinder;Knochenschleifer
Bone rack;Knochengestell
Bone support;Knochenunterstützung
Bones;Knochen
Boney ladder;Knochenige Leiter
Bonfire;Feuer
Bonzo's Table;Bonzos Tisch
Book Cart;Bücherwagen
Book table;Büchertisch
Bookcase;Bücherregal
Bookcase space;Platz im Bücherregal
Books;Bücher
Bookshelf;Bücherregal
Bookshelves;Bücherregale
Boss lair display;Boss-Versteck-Anzeige
Boss lair space;Boss-Versteckraum
Bottle;Flasche
Bottle Machine;Flaschenmaschine
Bottle machine;Flaschenmaschine
Boulder;Felsblock
Boulders;Felsbrocken
Boundary stones;Grenzsteine
Bow and Arrow;Pfeil und Bogen
Bow and arrow;Pfeil und Bogen
Bow cabinet;Bugschrank
Bow case;Bogenetui
Bowl;Schüssel
Bowsprit;Bugspriet
Box;Kasten
Box cart;Kastenwagen
Box of Health;Kiste der Gesundheit
Box of bones;Kiste mit Knochen
Box trap;Kastenfalle
Boxes;Boxen
Boxing mat;Boxmatte
Boxing ring;Boxring
Branch;Zweig
Brazier;Kohlebecken
Brew Barrel;Braufass
Brewer's Barrel;Brauerfass
Brewing control;Brühkontrolle
Brewing vat;Braubottich
Brick;Ziegel
Bricks;Ziegel
Bridge;Brücke
Bright crystal;Heller Kristall
Brimstone chest;Schwefeltruhe
Broken Bed;Kaputtes Bett
Broken Brazier;Kaputte Kohlenpfanne
Broken Cabinet;Kaputtes Kabinett
Broken Cannon;Kaputte Kanone
Broken Cart;Kaputter Einkaufswagen
Broken Chair;Kaputter Stuhl
Broken Cupboard;Kaputter Schrank
Broken Door;Kaputte Tür
Broken Drawers;Kaputte Schubladen
Broken Dresser;Kaputte Kommode
Broken Fence;Kaputter Zaun
Broken Fire altar;Zerbrochener Feueraltar
Broken Fountain;Kaputter Brunnen
Broken Grandfather Clock;Kaputte Standuhr
Broken Grandiose Doors;Zerbrochene grandiose Türen
Broken Grate;Zerbrochenes Gitter
Broken Lecturn;Defektes Rednerpult
Broken Mirror;Zerbrochener Spiegel
Broken Old Bookshelf;Zerbrochenes altes Bücherregal
Broken Plantpot;Kaputter Pflanzentopf
Broken Potter's Wheel;Zerbrochene Töpferscheibe
Broken Raft;Kaputtes Floß
Broken Railing;Kaputtes Geländer
Broken Range;Gebrochene Reichweite
Broken Roof;Kaputtes Dach
Broken Scaffold;Kaputtes Gerüst
Broken Shelves;Kaputte Regale
Broken Sink;Kaputtes Waschbecken
Broken Spinning Wheel;Kaputtes Spinnrad
Broken Statue;Zerbrochene Statue
Broken Table;Kaputter Tisch
Broken Wall;Gebrochene Wand
Broken Well;Gut kaputt
Broken altar;Kaputter Altar
Broken barrel;Gebrochener Lauf
Broken bath;Kaputtes Bad
Broken battering ram;Zerbrochener Rammbock
Broken beer glass;Zerbrochenes Bierglas
Broken boat;Kaputtes Boot
Broken bridge;Kaputte Brücke
Broken cage;Kaputter Käfig
Broken cannon;Kaputte Kanone
Broken cart;Kaputter Wagen
Broken cart wheel;Defektes Wagenrad
Broken catapult;Kaputtes Katapult
Broken chain;Gebrochene Kette
Broken chair;Kaputter Stuhl
Broken cogs;Defekte Zahnräder
Broken counter;Kaputter Tresen
Broken crossbow;Kaputte Armbrust
Broken dead tree;Gebrochener toter Baum
Broken door;Kaputte Tür
Broken drilling machine;Bohrmaschine kaputt
Broken equipment table;Kaputter Gerätetisch
Broken experiment tube;Kaputtes Experimentierröhrchen
Broken fence;Defekter Zaun
Broken fish display;Ausstellung gebrochener Fische
Broken furnace;Kaputter Ofen
Broken ground;Gebrochener Boden
Broken kiln;Kaputter Ofen
Broken ladder;Kaputte Leiter
Broken lamp;Defekte Lampe
Broken lobster trap;Zerbrochene Hummerfalle
Broken log raft;Kaputtes Holzfloß
Broken logs;Kaputte Protokolle
Broken mace trap;Kaputte Streitkolbenfalle
Broken machinery;Kaputte Maschinen
Broken mast;Gebrochener Mast
Broken multicannon;Kaputte Multikanone
Broken pillar;Zerbrochene Säule
Broken rail;Gebrochene Schiene
Broken range;Gebrochene Reichweite
Broken rock;Gebrochener Stein
Broken rope bridge;Kaputte Seilbrücke
Broken rowboat;Kaputtes Ruderboot
Broken rune case;Zerbrochener Runenkoffer
Broken snare;Gebrochene Schlinge
Broken spinning wheel;Kaputtes Spinnrad
Broken stairs;Kaputte Treppe
Broken stool;Kaputter Stuhl
Broken strut;Gebrochene Strebe
Broken sun altar;Zerbrochener Sonnenaltar
Broken support;Defekte Unterstützung
Broken table;Kaputter Tisch
Broken trap(0);Kaputte Falle(0)
Broken wall;Zerbrochene Wand
Broken weapons;Kaputte Waffen
Bronze Chest;Bronzetruhe
Bronze Door;Bronzetür
Bronze axe;Bronzeaxt
Bronze pickaxe;Spitzhacke aus Bronze
Broom;Besen
Bruma roots;Bruma-Wurzeln
Bryophyta display;Bryophyta-Ausstellung
Bubbles;Blasen
Bucket;Eimer
Bucket of Blood;Eimer voller Blut
Buckets;Eimer
Budding branch;Aufstrebender Zweig
Buffers;Puffer
Buffet table;Buffettisch
Bull's head;Bullenkopf
Bullrushes;Bullrushes
Bunk bed;Etagenbett
Bunkbed;Etagenbett
Bunsen burner;Bunsenbrenner
Burial cairn;Grabsteinhaufen
Burial mound;Grabhügel
Buried artefact;Vergrabenes Artefakt
Buried skeleton;Vergrabenes Skelett
Burning bones;Brennende Knochen
Burning brazier;Brennende Kohlenpfanne
Burning driftwood;Brennendes Treibholz
Burnt chest;Verbrannte Brust
Burnt rock;Verbrannter Stein
Burnt tree;Verbrannter Baum
Burrow;Bau
Burst boil;Platzendes Kochen
Bush;Busch
Bush Patch;Bush-Patch
Bust;Büste
Button;Taste
Cabbage;Kohl
Cabbages;Kohl
Cabinet;Kabinett
Cabinet space;Schrankraum
Cable;Kabel
Cactus;Kaktus
Cactus patch;Kaktusbeet
Cadarn Banner;Cadarn-Banner
Cadava bush;Cadava-Busch
Cadavaberry bush;Cadavaberry-Strauch
Cage;Käfig
Cage door;Käfigtür
Cages;Käfige
Calquat Tree;Calquat-Baum
Calquat patch;Calquat-Pflaster
Camel's statue;Kamelstatue
Camelot Portal;Camelot-Portal
Camorra;Camorra
Camp fire;Lagerfeuer
Campbed;Gelagert
Campfire;Lagerfeuer
Camping equipment;Campingausrüstung
Camping fire;Campingfeuer
Camping gear;Campingausrüstung
Campsite bed;Campingbett
Canal barge;Kanalkahn
Canal wall;Kanalmauer
Canary;Kanarienvogel
Candelabrum;Armleuchter
Candle;Kerze
Candle stand;Kerzenständer
Candles;Kerzen
Candlestick holder;Kerzenhalter
Cannon;Kanone
Cannon barrels;Kanonenrohre
Cannon base;Kanonenbasis
Cannon stand;Kanonenständer
Cannonball;Kanonenkugel
Cannonballs;Kanonenkugeln
Canoe Station;Kanustation
Canopic Jar;Kanopenglas
Cape hanger;Cape-Aufhänger
Cape of Legends;Kap der Legenden
Cape rack space;Cape-Rack-Platz
Captain's Table;Kapitänstisch
Carcass;Karkasse
Carol's barrel;Carols Fass
Carpet;Teppich
Carpet Exhibit;Teppichausstellung
Carpet hotspot;Teppich-Hotspot
Carrallangar Portal;Carrallangar-Portal
Carrot;Karotte
Cart;Warenkorb
Cart Camel;Warenkorb Kamel
Cart Track;Karrenbahn
Cart track sign;Wagengleisschild
Cart tunnel;Wagentunnel
Carved doors;Geschnitzte Türen
Carved head;Geschnitzter Kopf
Carved log;Geschnitzter Baumstamm
Carved oak bench;Bank aus geschnitzter Eiche
Carved redwood;Geschnitztes Mammutbaumholz
Carved rock;Geschnitzter Stein
Carved teak bench;Bank aus geschnitztem Teakholz
Carving;Carving
Castle Gates;Burgtore
Castle Wars portal;Castle Wars-Portal
Castle door;Schlosstür
Castle wall;Burgmauer
Casual;Lässig
Cat;Katze
Cat Shrine;Katzenschrein
Cat basket;Katzenkorb
Cat basket space;Platz für den Katzenkorb
Catapult;Katapult
Catapult-lever;Katapult-Hebel
Catapult-winch;Katapultwinde
Catherby Portal;Catherby-Portal
Cauldron;Kessel
Cauldron of Thunder;Kessel des Donners
Cave;Höhle
Cave Entrance;Höhleneingang
Cave Exit;Höhlenausgang
Cave entrance;Höhleneingang
Cave exit;Höhlenausgang
Cave gobins;Höhlenkobolde
Cave in;Nachgeben
Cave opening;Höhlenöffnung
Cave rocks;Höhlenfelsen
Cave wall;Höhlenwand
Cave web;Höhlennetz
Cavern;Höhle
Cavern entrance;Höhleneingang
Cavern exit;Höhlenausgang
Cavity;Hohlraum
Ceiling support;Deckenhalterung
Celastrus patch;Celastrus-Pflaster
Celastrus tree;Celastrus-Baum
Celastrus tree stump;Celastrus-Baumstumpf
Celestial globe;Himmelsglobus
Cell Door;Zellentür
Cell Gate;Zellentor
Cell door;Zellentür
Cell wall;Zellwand
Cell wall window;Zellwandfenster
Cellar stairs;Kellertreppe
Cello;Cello
Cemetery Portal;Friedhofsportal
Cenotaph;Kenotaph
Centre of crop circle;Mittelpunkt des Kornkreises
Centre piece;Mittelstück
Centrepiece space;Mittelpunktraum
Cerberus Topiary;Cerberus-Topiary
Cerberus display;Cerberus-Anzeige
Ceremonial Brazier;Zeremonielles Kohlenbecken
Ceremonial Pillar;Zeremonielle Säule
Ceremonial Pillow;Zeremonielles Kissen
Ceremonial Pillow Stack;Zeremonieller Kissenstapel
Ceremonial table;Zeremonieller Tisch
Certificate of healing;Heilungsbescheinigung
Chain;Kette
Chains;Ketten
Chair;Stuhl
Chair hotspot;Stuhl-Hotspot
Chair space;Stuhlplatz
Chaise lounge;Chaiselongue
Chalice;Kelch
Chalk patterns;Kreidemuster
Challenge portal;Challenge-Portal
Chamber;Kammer
Chambers of Xeric;Kammern von Xeric
Champion Statue;Champion-Statue
Chandelier;Kronleuchter
Changing Curtain;Vorhang wechseln
Chaos altar;Chaosaltar
Chaos rift;Chaosriss
Charcoal furnace;Kohleofen
Charm of Boost;Charme des Boosts
Charm of Defence;Charme der Verteidigung
Charm of Fishing;Charme des Angelns
Charm of Luck;Glücksbringer
Charm of Mining;Charme des Bergbaus
Charm of Preparation;Charme der Vorbereitung
Charms;Zauber
Charred bones;Verkohlte Knochen
Chart;Diagramm
Chasm;Kluft
Cheese;Käse
Chef's Delight;Die Freude des Chefkochs
Chemical pool;Chemiebecken
Chemical vent (blue);Chemische Entlüftung (blau)
Chemical vent (green);Chemische Entlüftung (grün)
Chemical vent (red);Chemische Entlüftung (rot)
Chemical waste pipe;Chemieabfallrohr
Chemistry Table;Chemietabelle
Chess;Schach
Chest;Brust
Chest of Champions;Truhe der Champions
Chest pieces;Bruststücke
Chicken;Huhn
Chicken Shrine;Hühnerschrein
Chicken coop;Hühnerstall
Child's bed;Kinderbett
Chimney;Schornstein
Chimney Pipe;Schornsteinrohr
Chimney pipe;Kaminrohr
Choc-Ice Stall;Schokoladen-Eisstand
Chopped tendrils;Gehackte Ranken
Chopping table;Schneidetisch
Christmas curtains;Weihnachtsvorhänge
Christmas-Spirit Tree;Weihnachtsgeistbaum
Chronicles of Xeric;Chroniken von Xeric
Church organ;Kirchenorgel
Church pew;Kirchenbank
Cider;Apfelwein
Cider barrel;Apfelweinfass
Circle;Kreis
Citizen;Bürger
City Gate;Stadttor
City gate;Stadttor
Clam;Muschel
Clan Coffer;Clan-Koffer
Clan Cup Trophy;Clan-Cup-Trophäe
Clan Cup portal;Clan-Cup-Portal
Clan Wars portal;Clan Wars-Portal
Clan banner;Clan-Banner
Clan hall portal;Clanhallenportal
Clan recruitment board;Clan-Rekrutierungsausschuss
Clarinet;Klarinette
Clay Oven;Lehmofen
Clay fireplace;Lehmkamin
Clay forge;Tonschmiede
Clay oven;Lehmofen
Cleaning supplies;Reinigungsmittel
Cliff;Cliff
Cliff edge;Klippenrand
Climbing Net;Kletternetz
Climbing Rope;Kletterseil
Climbing net;Kletternetz
Climbing rocks;Kletterfelsen
Climbing rope;Kletterseil
Cloak rack;Garderobenständer
Clock;Uhr
Clock face;Zifferblatt
Clock spindle;Uhrspindel
Clockmaker's bench;Uhrmacherbank
Clockmaking space;Raum für Uhrmacherei
Closed Chest;Geschlossene Truhe
Closed bank booth;Geschlossener Bankstand
Closed booth;Geschlossener Stand
Closed chest;Geschlossene Brust
Cloth;Tuch
Cloth covered table;Mit Stoff bedeckter Tisch
Clothes;Kleidung
Clothes Stand;Kleiderständer
Clothes equipment;Bekleidungsausrüstung
Clothes line;Wäscheleine
Clothes model;Kleidermodell
Clothes rack;Kleiderständer
Clothes stall;Kleiderstand
Clothing shelves;Kleiderregale
Cloud bank;Wolkenbank
Clump of rocks;Felsbrocken
Coal;Kohle
Coal Tar;Kohlenteer
Coal Truck;Kohle-LKW
Coat rack;Kleiderablage
Cockatrice head;Nymphensittichkopf
Cocoon;Kokon
Coffer;Truhe
Coffin;Sarg
Coffin hotspot;Sarg-Hotspot
Cog;Zahn
Cogs;Zahnräder
Coin Collector;Münzsammler
Coins;Münzen
Coke;Koks
Collapsed trap;Zusammengebrochene Falle
Collapsed wall;Eingestürzte Wand
Collector Converter;Kollektorkonverter
Colony gate;Kolonietor
Column;Spalte
Combat Scroll;Kampfschriftrolle
Combat dummy;Kampfpuppe
Combat dummy space;Kampf-Dummy-Raum
Combat ring;Kampfring
Combat ring space;Kampfringraum
Competitive;Wettbewerbsfähig
Compost;Kompost
Compost Bin;Komposttonne
Compost heap;Komposthaufen
Compromised floorboards;Beschädigte Dielen
Compromised support;Kompromittierter Support
Confusing door;Verwirrende Tür
Connected stalagmites;Verbundene Stalagmiten
Connection pipe;Verbindungsrohr
Consecrated house;Geweihtes Haus
Console;Konsole
Container;Container
Contortion Bars;Contortion Bars
Control panel;Bedienfeld
Conveyor Belt;Fließband
Conveyor belt;Fließband
Cooker;Kocher
Cooking Pots;Kochtöpfe
Cooking pot;Kochtopf
Cooking range;Kochherd
Cooking shelves;Kochregale
Coolant Dispenser;Kühlmittelspender
Cooling chest;Kühltruhe
Coop;Coop
Copper Ladder;Kupferleiter
Coral;Koralle
Coral Reef;Korallenriff
Corkscrew lever;Korkenzieherhebel
Corner Table;Ecktisch
Corner space;Eckraum
Corporeal Beast Display;Körperliches Biest-Display
Corporeal Beast display;Körperliche Bestie-Ausstellung
Corpse;Leichnam
Corpse cart;Leichenwagen
Corpses;Leichen
Corrupt Deposit;Korrupte Einzahlung
Corrupt Deposit (Depleted);Korrupte Kaution (aufgebraucht)
Corrupted Sceptre;Verdorbenes Zepter
Cosmic rift;Kosmischer Riss
Council members;Ratsmitglieder
Counter;Schalter
Court judge;Gerichtsrichter
Cow wheel;Kuhrad
Crab Shell;Krabbenschale
Crack;Riss
Cracked wall;Rissige Wand
Cradle of Life;Wiege des Lebens
Craft stall;Bastelstand
Crafting Stall;Bastelstand
Crafting stall;Bastelstand
Crane;Kran
Crashed Star;Abgestürzter Stern
Crashed glider;Abgestürztes Segelflugzeug
Crate;Kiste
Crate of rune caskets;Kiste mit Runenschatullen
Crate of wands;Kiste mit Zauberstäben
Crater;Krater
Crates;Kisten
Crawling hand;Kriechende Hand
Crazy penguin;Verrückter Pinguin
Creature;Kreatur
Creeper;Kriechpflanze
Creeping Plant;Kriechende Pflanze
Creeping plant;Kriechende Pflanze
Crevasse;Gletscherspalte
Crevice;Spalt
Crib;Krippe
Crop circle;Kornkreis
Cross;Kreuzen
Crossbow;Armbrust
Crossbow Tree;Armbrustbaum
Crossbow stall;Armbruststand
Crossbowman Statue;Armbrustschützen-Statue
Crow nest;Krähennest
Crowd of dwarves;Schar von Zwergen
Crude boat;Rohes Boot
Crude raft;Rohes Floß
Crumbled wall;Zerfallene Wand
Crumbling wall;Bröckelnde Wand
Crushed barricade;Zertrümmerte Barrikade
Crusher;Brecher
Crutch;Krücke
Crwys Banner;Crwys-Banner
Crypt;Krypta
Crypt Entrance;Eingang zur Krypta
Crystal;Kristall
Crystal Deposit;Kristallablagerung
