 Sneaky undead fowl;Heimtückisches untotes Geflügel
Blessed spider;Gesegnete Spinne
Bloated Toad;Aufgedunsene Kröte
Blood Blamish Snail;Blutblamische Schnecke
Blood spawn;Blutbrut
Bloodhound;Bluthund
Bloodveld;Blutveld
Bloodworm;Blutwurm
Blue Monkey;Blauer Affe
Blue Opal Director;Blue Opal-Direktor
Blue Opal Secretary;Blauer Opal-Sekretär
Blue Sheep;Blaues Schaf
Blue dragon;Blauer Drache
Blurberry;Blurberry
Boar;Eber
Boat;Boot
Bob;Bob
Bob Barter (herbs);Bob Barter (Kräuter)
Bob, another guard of Falador;Bob, ein weiterer Wächter von Falador
Bobawu;Bobawu
Bobbing fossil;Wackelndes Fossil
Body Golem;Körpergolem
Bolkoy;Bolkoy
Bologa;Bologa
Bolongo;Bolongo
Bonafido;Bonafido
Boneguard;Knochenwächter
Bones;Knochen
Bonzara;Bonzara
Bonzo;Bonzo
Boot;Stiefel
Border Guard;Grenzschutz
Boris;Boris
Bork Sigmundson;Bork Sigmundson
Borrokar;Borrokar
Boulder;Felsblock
Bouncer;Türsteher
Bouncer (hard);Türsteher (hart)
Bouquet Mac Hyacinth;Strauß Mac-Hyazinthe
Bow and Arrow salesman;Verkäufer von Pfeil und Bogen
Boy;Junge
Brambickle;Brombeersträucher
Brana;Brana
Branwen;Branwen
Brassican Mage;Brassicanischer Magier
Bravek;Bravek
Brawler;Zänker
Bree;Bree
Breive;Breive
Brendt;Brendt
Breoca;Breoca
Brewer;Brauer
Brian;Brian
Brian O'Richard;Brian O'Richard
Briget;Briget
Brimstail;Brimstail
Brine rat;Soleratte
Broddi;Broddi
Broken Handz;Gebrochene Hände
Broken clay golem;Zerbrochener Tongolem
Bronze dragon;Bronzener Drache
Broodoo victim;Broodoo-Opfer
Brother Aimeri;Bruder Aimeri
Brother Althric;Bruder Althric
Brother Brace;Bruder Brace
Brother Cedric;Bruder Cedric
Brother Jered;Bruder Jered
Brother Kojo;Bruder Kojo
Brother Maledict;Bruder Maledict
Brother Omad;Bruder Omad
Brother Tranquility;Bruder Ruhe
Brown Engine Director;Brown Engine-Direktor
Brown Engine Secretary;Brown Engine-Sekretär
Brugsen Bursen;Brugsen Bursen
Bruise Blamish Snail;Bruise Blamish Snail
Brundt the Chieftain;Brundt der Häuptling
Brutal black dragon;Brutaler schwarzer Drache
Brutal blue dragon;Brutaler blauer Drache
Brutal green dragon;Brutaler grüner Drache
Brutal red dragon;Brutaler roter Drache
Bryn;Bryn
Bryophyta;Bryophyta
Bugs;Käfer
Builder;Baumeister
Buinn;Buinn
Bullrush;Bullrush
Bunkdo;Etagenbett
Bunkwicket;Etagenbett
Bunny;Hase
Burkor;Burkor
Burntmeat;Verbranntes Fleisch
Burntof;Burntof
Bush snake;Buschschlange
Butler;Butler
Butler Jarvis;Butler Jarvis
Butler Jones;Butler Jones
Butterfly;Schmetterling
Cabin Boy Colin;Kabinenjunge Colin
Cabin Boy Herbert;Schiffsjunge Herbert
Cabin boy;Schiffsjunge
Cabin boy Jenkins;Schiffsjunge Jenkins
Caden Azro;Caden Azro
Caerwyn;Caerwyn
Cage;Käfig
Caleb;Caleb
Calin;Calin
Callisto;Callisto
Callisto cub;Callisto-Jungtier
Cam the Camel;Cam das Kamel
Camarst;Camarst
Camel;Kamel
Camorra;Camorra
Camp dweller;Lagerbewohner
Candle maker;Kerzenmacher
Candle seller;Kerzenverkäufer
Caninelle Draynar;Caninelle Draynar
Cannoneer;Kanonier
Cap'n Hand;Käpt’n Hand
Cap'n Izzy No-Beard;Käpt'n Izzy No-Beard
Capt' Arnav;Kapitän Arnav
Captain;Kapitän
Captain Barnaby;Kapitän Barnaby
Captain Bentley;Kapitän Bentley
Captain Bleemadge;Kapitän Bleemadge
Captain Braindeath;Kapitän Braindeath
Captain Bruce;Kapitän Bruce
Captain Cain;Kapitän Cain
Captain Cleive;Kapitän Cleive
Captain Daerkin;Kapitän Daerkin
Captain Dalbur;Kapitän Dalbur
Captain Donnie;Kapitän Donnie
Captain Dudi;Kapitän Dudi
Captain Errdo;Kapitän Errdo
Captain Ginea;Kapitän Ginea
Captain Janaway;Kapitän Janaway
Captain Kalt;Kapitän Kalt
Captain Khaled;Kapitän Khaled
Captain Klemfoodle;Kapitän Klemfoodle
Captain Lamdoo;Kapitän Lamdoo
Captain Lawgof;Kapitän Lawgof
Captain Magoro;Kapitän Magoro
Captain Ned;Kapitän Ned
Captain Ninto;Kapitän Ninto
Captain Pudi;Kapitän Pudi
Captain Rachelle;Kapitän Rachelle
Captain Rimor;Kapitän Rimor
Captain Rovin;Kapitän Rovin
Captain Sdiar;Kapitän Sdiar
Captain Shanks;Kapitän Shanks
Captain Siad;Kapitän Siad
Captain Tobias;Kapitän Tobias
Captain Tock;Kapitän Tock
Captain Tom;Kapitän Tom
Carado;Carado
Caranthir;Caranthir
Carl;Carl
Carla;Carla
Carnivorous chinchompa;Fleischfressender Chinchompa
Carnivus Belamorta;Carnivus Belamorta
Carol;Carol
Caroline;Caroline
Carpenter;Tischler
Carpenter Kjallak;Zimmermann Kjallak
Cart Camel;Warenkorb Kamel
Cart conductor;Wagendirigent
Cassie;Cassie
Cat;Katze
Catablepon;Catablepon
Catalina;Catalina
Cave Scenery;Höhlenlandschaft
Cave abomination;Höhlengreuel
Cave bug;Höhlenwanze
Cave bug larva;Höhlenwanzenlarve
Cave crawler;Höhlenkriecher
Cave goblin;Höhlenkobold
Cave goblin child;Höhlenkoboldkind
Cave goblin guard;Höhlenkoboldwächter
Cave goblin miner;Höhlengoblin-Bergmann
Cave horror;Höhlenhorror
Cave kraken;Höhlenkrake
Cave lizard;Höhleneidechse
Cave monk;Höhlenmönch
Cave slime;Höhlenschleim
Cave snake;Höhlenschlange
Cavemouth;Höhlenschlund
Cavey Davey;Cavey Davey
Cecilia;Cecilia
Celebrian;Celebrian
Celegorm;Celegorm
Celyn;Celyn
Centaur;Zentaur
Ceolburg;Ceolburg
Cerberus;Cerberus
Ceril Carnillean;Ceril Carnillean
Cerulean twitch;Himmelblaues Zucken
Ceto;Ceto
Chadwell;Chadwell
Chamber guardian;Kammerwächter
Chancy;Riskant
Chaos Elemental;Chaoselementar
Chaos Elemental Jr.;Chaos Elementar Jr.
Chaos Fanatic;Chaos-Fanatiker
Chaos Golem;Chaosgolem
Chaos druid;Chaos-Druide
Chaos druid warrior;Chaos-Druidenkrieger
Chaos dwarf;Chaos-Zwerg
Chaotic death spawn;Chaotische Todesbrut
Charles;Charles
Charles Charlington;Charles Charlington
Charley;Charley
Charlie;Charlie
Charlie Brown;Charlie Brown
Charlie the Tramp;Charlie der Tramp
Charlie the cook;Charlie, der Koch
Charmed Warrior;Bezauberter Krieger
Chasm Crawler;Abgrundkriecher
Checkal;Scheck
Cheerleader;Cheerleader
Chef Olivia;Chefkoch Olivia
Chemist;Chemiker
Cheryl;Cheryl
Chicken;Huhn
Chief Farmer;Chefbauer
Chief Tess;Chef Tess
Chief servant;Oberster Diener
Child;Kind
Chinchompa;Chinchompa
Choke devil;Würge Teufel
Chompy bird;Chompy-Vogel
Chompy chick;Chompiges Küken
Chronozon;Chronozon
Chronozon (hard);Chronozon (hart)
Chuck;Futter
Cirdan;Cirdan
City guard;Stadtwache
Civilian;Zivilist
Clan Guard;Clan-Wache
Claude;Claude
Claus the chef;Claus, der Koch
Clay golem;Tongolem
Cleaner;Reiniger
Cleddyf;Cleddyf
Clerk;Sachbearbeiter
Clerris;Clerris
Clivet;Clivet
Clockwork cat;Uhrwerkkatze
Clothears;Kleidung
Co-ordinator;Koordinator
Coal;Kohle
Cob;Cob
Cockathrice;Cockathrice
Cockatrice;Nymphensittich
Coenus;Coenus
Col. O'Niall;Oberst O'Niall
Colonel Grimsson;Oberst Grimsson
Colonel Radick;Oberst Radick
Colossal Hydra;Kolossale Hydra
Combat Instructor;Kampfausbilder
Combat Test;Kampftest
Combat Test (maxhit);Kampftest (maxhit)
Combat stone;Kampfstein
Commander Connad;Kommandant Connad
Commander Fullore;Kommandant Fullore
Commander Montai;Kommandant Montai
Commander Zilyana;Kommandant Zilyana
Commissioner Anwar;Kommissar Anwar
Competition Judge;Wettbewerbsrichter
Confused barbarian;Verwirrter Barbar
Confusion beast;Verwirrungsbiest
Conrad King;Konrad König
Cook;Kochen
Cooking tutor;Kochlehrer
Cool Mom227;Coole Mama227
Copper longtail;Kupfer-Longtail
Copper ore;Kupfererz
Corkat quo Sihar;Corkat quo Sihar
Cormorant;Kormoran
Cornelius;Kornelius
Corporeal Beast;Körperliches Biest
Corporeal Critter;Körperliches Lebewesen
Corpse;Leichnam
Corrupt Lizardman;Korrupter Echsenmensch
Corrupt Lizardman (hard);Korrupter Echsenmann (schwer)
Corrupted Bat;Verdorbene Fledermaus
Corrupted Bear;Verdorbener Bär
Corrupted Dark Beast;Verdorbenes dunkles Biest
Corrupted Dragon;Verdorbener Drache
Corrupted Hunllef;Verdorbener Hunllef
Corrupted Rat;Verdorbene Ratte
Corrupted Scorpion;Korrupter Skorpion
Corrupted Spider;Verdorbene Spinne
Corrupted Unicorn;Verdorbenes Einhorn
Corrupted Wolf;Verdorbener Wolf
Corrupted Youngllef;Verdorbener Youngllef
Corrupted scavenger;Korrupter Aasfresser
Corsair Traitor;Korsaren-Verräter
Corsair Traitor (hard);Korsarenverräter (schwer)
Cosmic Being;Kosmisches Wesen
Council workman;Ratsarbeiter
Councillor Andrews;Stadtrat Andrews
Councillor Halgrive;Ratsmitglied Halgrive
Councillor Orson;Stadtrat Orson
Councillor Unkar;Stadtrat Unkar
Count Check;Zählscheck
Count Draynor;Graf Draynor
Count Draynor (hard);Graf Draynor (hart)
Court judge;Gerichtsrichter
Cow;Kuh
Cow (hard);Kuh (hart)
Cow calf;Kuhkalb
Cow31337Killer;Cow31337Killer
Cowardly Bandit;Feiger Bandit
Crab;Krabbe
Crafting tutor;Bastellehrer
Crate;Kiste
Crate goblin;Kiste Kobold
Crawling Hand;Kriechende Hand
Crawling hand;Kriechende Hand
Crazy archaeologist;Verrückter Archäologe
Creakyknees;Knarrende Knie
Crefydd;Crefydd
Crimson swift;Purpurroter Mauersegler
Crimsonette van Marr;Crimsonette van Marr
Crocodile;Krokodil
Crondis;Crondis
Crone;Alte
Crow;Krähe
Crunchy;Knackig
Crusher;Brecher
Crushing hand;Zerquetschende Hand
Crust of ice;Eiskruste
Crypt rat;Gruftratte
Crypt spider;Gruftspinne
Crystal impling;Kristall impliziert
Crystalline Bat;Kristalline Fledermaus
Crystalline Bear;Kristalliner Bär
Crystalline Dark Beast;Kristallines dunkles Biest
Crystalline Dragon;Kristalliner Drache
Crystalline Hunllef;Kristalliner Hunllef
Crystalline Rat;Kristalline Ratte
Crystalline Scorpion;Kristalliner Skorpion
Crystalline Spider;Kristalline Spinne
Crystalline Unicorn;Kristallines Einhorn
Crystalline Wolf;Kristalliner Wolf
Cuffs;Manschetten
Culinaromancer;Kulinarischer Romantiker
Culinaromancer (hard);Culinaromancer (hart)
Curator Haig Halen;Kurator Haig Halen
Curly;Lockig
Curpile Fyod;Curpile Fyod
Curufin;Curufin
Customer;Kunde
Customs officer;Zollbeamte
Cute creature;Süßes Wesen
Cyclops;Zyklop
Cyreg Paddlehorn;Cyreg Paddelhorn
Cyrisus;Cyrisus
Da Vinci;Da Vinci
Dad;Papa
Dad (hard);Papa (hart)
Daer Krand;Daer Krand
Daero;Daero
Daga;Daga
Dagannoth;Dagannoth
Dagannoth Prime;Dagannoth Prime
Dagannoth Prime Jr.;Dagannoth Prime Jr.
Dagannoth Rex;Dagannoth Rex
Dagannoth Rex Jr.;Dagannoth Rex Jr.
Dagannoth Supreme;Dagannoth Supreme
Dagannoth Supreme Jr.;Dagannoth Supreme Jr.
Dagannoth fledgeling;Dagannoth-Neuling
Dagannoth mother;Dagannoth-Mutter
Dagannoth mother (hard);Dagannoth-Mutter (hart)
Dagannoth spawn;Dagannoth-Spawn
Dakh'thoulan Aegis;Dakh'thoulan Aegis
Dalal;Dalal
Dalcian Fang (easy);Dalcian Fang (einfach)
Dalila;Dalila
Dallas Jones;Dallas Jones
Dalldav;Dalldav
Damaged clay golem;Beschädigter Tongolem
Damien Leucurte;Damien Leucurte
Damis;Damis
Damis (hard);Damis (hart)
Dampe;Dämpfen
Damwin;Damwin
Dantaera;Dantaera
Darcor quo Narga;Darcor quo Narga
Dark Ankou;Dunkler Ankou
Dark Core;Dunkler Kern
Dark Mage;Dunkler Magier
Dark Squirrel;Dunkles Eichhörnchen
Dark beast;Dunkles Biest
Dark core;Dunkler Kern
Dark energy core;Dunkler Energiekern
Dark kebbit;Dunkler Kebbit
Dark mage;Dunkler Magier
Dark warrior;Dunkler Krieger
Dark wizard;Dunkler Zauberer
Darkmeyer Slave;Darkmeyer-Sklave
Darren;Darren
Dartog;Dartog
Darve;Darve
Daryl;Daryl
Dashing kebbit;Schneidiger Kebbit
Dave;Dave
Davey;Davey
David;David
David Andrews;David Andrews
Davon;Davon
Dawn;Dämmerung
Dead swamp snake;Tote Sumpfschlange
Deadly red spider;Tödliche rote Spinne
Death;Tod
Death spawn;Todesbrut
Death wing;Todesflügel
Deathly mage;Tödlicher Magier
Deathly ranger;Tödlicher Waldläufer
Debra;Debra
Defiler;Schänder
Del-Monty;Del-Monty
Delrith;Delrith
Demon;Dämon
Demon butler;Dämonenbutler
Demonic gorilla;Dämonischer Gorilla
Denadu;Denadu
Denath;Denath
Denulth;Denulth
Deranged archaeologist;Geistesgestörter Archäologe
Derni;Derni
Dernu;Dernu
Derrik;Derrik
Derse Venator;Derse Venator
Derwen;Derwen
Desert Lizard;Wüsteneidechse
Desert Phoenix;Wüsten-Phoenix
Desert Spirit;Wüstengeist
Desert Wolf;Wüstenwolf
Desert eagle;Wüstenadler
Desert snake;Wüstenschlange
Desmodus Lasiurus;Desmodus Lasiurus
Despoina Callidra;Despoina Callidra
Dessourt;Dessourt
Dessourt (hard);Dessourt (hart)
Dessous;Dessous
Dessous (hard);Dessous (hart)
Devan Rutter;Devan Rutter
Deviant spectre;Abweichendes Gespenst
Devin Mendelberg;Devin Mendelberg
Dharok the Wretched;Dharok der Elende
Diana;Diana
Diango;Diango
Dig Site workman;Arbeiter der Grabungsstelle
Digsite workman;Grabungsarbeiter
Dimintheis;Dimintheis
Diol;Diol
Diphylla Bechstein;Diphylla Bechstein
Dire Wolf;Schreckenswolf
Disciple of Iban;Schüler von Iban
Disciple of Yama;Schüler von Yama
Dobwinkle;Dobwinkle
Dock worker;Hafenarbeiter
Dockmaster;Hafenmeister
Doctor Orbon;Doktor Orbon
Dodgy Squire;Zwielichtiger Knappe
Dog;Hund
Doll;Puppe
Dominic Onion;Dominic Onion
Dommik;Dommik
Don;Don
Don't Know What;Ich weiß nicht was
Donal;Donal
Dondakan the Dwarf;Dondakan der Zwerg
Donie;Donie
Donny the lad;Donny, der Junge
Donovan the Family Handyman;Donovan, der Familienhandwerker
Doomion;Untergang
Doomsayer;Untergangsjäger
Door;Tür
Door man;Türsteher
Door-support;Türunterstützung
Doric;Dorisch
Doris;Doris
Double agent;Doppelagent
Doug Deeping;Doug Deeping
Doyen;Doyen
Dr Fenkenstrain;Dr. Fenkenstrain
Dr Ford;Dr. Ford
Dr Harlow;Dr. Harlow
Dr Jekyll;Dr. Jekyll
Draconis Sanguine;Draconis Sanguine
Dragon display;Drachendarstellung
Dragonkin;Drachenkin
Drain pipe;Abflussrohr
Drake;Erpel
Drasdan Ranor;Drasdan Ranor
Draul Leptoc;Draul Leptoc
Dreven;Dreven
Drew;Drew
Drezel;Drezel
Driftwood;Treibholz
Drill Sergeant;Drill Sergeant
Droalak;Droalak
Drogo dwarf;Drogo-Zwerg
Dromund;Dromund
Dromund's cat;Dromunds Katze
Dron;Dron
Druid;Druide
