 Sneaky undead fowl;Poule morte-vivante sournoise
Animated Bronze Armour;Armure de bronze animée
Animated Iron Armour;Armure de fer animée
Animated Mithril Armour;Armure animée en mithril
Animated Rune Armour;Armure runique animée
Animated Steel Armour;Armure d'acier animée
Animated spade;Pique animée
Animated steel armour;Armure d'acier animée
Anita;Anita
Anja;Anja
Ankou;Ankou
Anleif;Anleif
Anna;Anna
Anna Jones;Anna Jones
Anne Isaakson;Anne Isaacson
Annette;Annette
Annoyed guardian mummy;Maman gardienne agacée
Anton;Anton
Anwen;Anwen
Apmeken;Apmeken
Apothecary;Apothicaire
Apprentice;Apprenti
Apprentice (medium);Apprenti (moyen)
Apprentice workman;Apprenti ouvrier
Aranwe;Aranwe
Archaeological expert;Expert en archéologie
Archaeologist;Archéologue
Archeio;Archéo
Archer;Archer
Archpriest of the Unicorn;Archiprêtre de la Licorne
Arcis;Arcis
Aredhel;Aredhel
Aretha;Aretha
Arhein;Arhéin
Arianwyn;Arianewyn
Arianwyn (hard);Arianwyn (dur)
Aristarchus;Aristarque
Armadylean guard;Garde armadylienne
Armod;Armod
Armour salesman;Vendeur d'armures
Armoured Foe;Ennemi blindé
Armourer (tier 1);Armurier (niveau 1)
Armourer (tier 2);Armurier (niveau 2)
Armourer (tier 3);Armurier (niveau 3)
Armourer (tier 4);Armurier (niveau 4)
Armourer (tier 5);Armurier (niveau 5)
Army Commander;Commandant de l'armée
Arno;Arnon
Arnold Lydspor;Arnold Lydspor
Arnor;Arnor
Arrg;Arrg
Arrg (hard);Arrg (dur)
Arsen the Thief;Arsène le voleur
Art;Art
Art Critic Jacques;Critique d'art Jacques
Arthur;Arthur
Arthur the Clue Hunter;Arthur le chasseur d'indices
Artimeus;Artimeus
Artur Hosidius;Arthur Hosidius
Arvel;Arvel
Arzinian Avatar of Magic;Avatar de magie arzinien
Arzinian Avatar of Ranging;Avatar arzinien de télémétrie
Arzinian Avatar of Strength;Avatar arzinien de force
Arzinian Being of Bordanzan;Être arzinien de Bordanzan
Ash;Cendre
Ashild;Ashild
Askeladden;Askelaadden
Assassin;Assassin
Assistant;Assistant
Assistant Brock;Assistant Brock
Assistant Le Smith;Assistant Le Smith
Assistant Lori;Assistante Lori
Assistant Marrow;Assistant Moelle
Assistant Serf;Serf adjoint
Assistant Stan;Assistant Stan
Asteros Arceuus;Asteros Arceuus
Asyff;Asyff
Asyn Shade;Ombre Asyn
Asyn Shadow;Asyn Ombre
Asyn shadow;Ombre asyn
Atlas;Atlas
Aubury;Aubury
Auctioneer;Commissaire-priseur
Audmann;Audmann
Auguste;Auguste
Aurel;Aurel
Austri;Autriche
Autumn Elemental;Élémentaire d'automne
Ava;Ava
Avan;Avan
Avatar of Creation;Avatar de la création
Avatar of Destruction;Avatar de destruction
Aviansie;Aviansie
Awakened Altar;Autel éveillé
Awowogei;Awowogei
Awusah the Mayor;Awusah le maire
Ayesha;Aïcha
Azzanadra;Azzanadra
Baba Yaga;Baba Yaga
Baby Chinchompa;Bébé Chinchompa
Baby Mole;Bébé taupe
Baby Mole-rat;Bébé rat-taupe
Baby Roc;Bébé Roc
Baby black dragon;Bébé dragon noir
Baby blue dragon;Bébé dragon bleu
Baby green dragon;Bébé dragon vert
Baby impling;Bébé impliquant
Baby red dragon;Bébé dragon rouge
Baby tanglefoot;Bébé emmêlé
Badger;Blaireau
Bailey;Bailey
Baker;Boulanger
Bakuna;Bakuna
Bald Headed Eagle;Pygargue à tête blanche
Balfrug Kreeyath;Balfrug Kreeyath
Balloon Animal;Animal en ballon
Balloon Toad;Crapaud ballon
Bandit;Bandit
Bandit Leader;Chef des bandits
Bandit champion;Champion des bandits
Bandit shopkeeper;Commerçant bandit
Bandosian guard;Garde bandosienne
Banisoch;Banisoch
Bank guard;Garde de banque
Banker;Banquier
Banker tutor;Tuteur banquier
Banknote Exchange Merchant;Marchand d'échange de billets de banque
Banshee;Banshee
Baraek;Baraek
Barb-tailed kebbit;Kebbit à queue barbelée
Barbara;Barbara
Barbarian;Barbare
Barbarian Warlord;Seigneur de guerre barbare
Barbarian guard;Garde barbare
Bardur;Bardur
Barfy Bill;Bill Barfy
Barge foreman;Contremaître de barge
Barge guard;Garde de barge
Barge workman;Ouvrier de barge
Bark Blamish Snail;Écorce d'escargot blême
Barker;Aboyeur
Barlak;Barlak
Barmaid;Barmaid
Barman;Barman
Barnabus Hurma;Barnabus Hurma
Barrelchest;Coffre en tonneau
Barrelchest (hard);Coffre en tonneau (dur)
Barricade;Barricade
Bartak;Bartak
Bartender;Barman
Basilisk;Basilic
Basilisk Knight;Chevalier basilic
Basilisk Sentinel;Sentinelle du basilic
Basilisk Youngling;Jeune basilic
Bast;Raphia
Bat;Batte
Batt Mellamy;Batt Mellamy
Battle mage;Mage de bataille
Battle tortoise display;Exposition de tortues de combat
Baxtorian;Baxtorien
Bear Cub;Ourson
Bearded gorilla;Gorille barbu
Beaver;Castor
Bed;Lit
Bedabin Nomad;Bébabin Nomade
Bedabin Nomad Fighter;Combattant nomade Bedabin
Bedabin Nomad Guard;Garde nomade Bedabin
Bedread the bold;Lire le gras
Bee keeper;Apiculteur
Bees!;Des abeilles !
Beggar;Mendiant
Beigarth;Beigart
Beite;Béité
Bellemorde;Bellemorde
Belona;Belona
Bench;Banc
Benjamin;Benjoin
Benny;Benny
Bentamir;Bentamir
Bernald;Bernard
Berry;Baie
Berserk barbarian spirit;Esprit barbare berserk
Bert;Bert
Betty;Betty
Biblia;Biblia
Big Dave;Grand Dave
Big Snake;Grand serpent
Big Wolf;Grand loup
Big frog;Grosse grenouille
BigRedJapan;BigRedJapon
Bill Teach;Bill Enseigner
Billy;Gamelle
Billy Goat;Bouc
Billy Rehnison;Billy Rehnison
Billy, a guard of Falador;Billy, un garde de Falador
Bird;Oiseau
Bjorn;Björn
Black Cat;Chat noir
Black Guard;Garde noire
Black Guard Berserker;Berserker de la Garde noire
Black Heather;Bruyère noire
Black Knight;Chevalier noir
Black Knight Captain;Capitaine Chevalier Noir
Black Knight Titan;Titan Chevalier Noir
Black Knight Titan (hard);Chevalier Noir Titan (difficile)
Black bear;Ours noir
Black chinchompa;Chinchonpa noir
Black demon;Démon noir
Black demon (hard);Démon noir (dur)
Black dragon;Dragon noir
Black golem;Golem noir
Black knight;Chevalier noir
Black salamander;Salamandre noire
Black swan;Cygne noir
Black unicorn;Licorne noire
Black unicorn Foal;Poulain licorne noire
Black warlock;Démoniste noir
Blackjack seller;Vendeur de blackjack
Blaec;Blaec
Blair;Blair
Blandebir;Blandebir
Blanin;Blanin
Blasidar the sculptor;Blasidar le sculpteur
Blast Furnace Foreman;Contremaître de haut fourneau
Blessed giant rat;Rat géant béni
Blessed spider;Araignée bénie
Bloated Toad;Crapaud gonflé
Blood Blamish Snail;Escargot blâmé par le sang
Blood spawn;Apparition de sang
Bloodhound;Limier
Bloodveld;Veld de sang
Bloodworm;Ver de sang
Blue Monkey;Singe bleu
Blue Opal Director;Réalisateur d'Opale Bleue
Blue Opal Secretary;Secrétaire Opale Bleue
Blue Sheep;Mouton bleu
Blue dragon;Dragon bleu
Blurberry;Blurberry
Boar;Verrat
Boat;Bateau
Bob;Bob
Bob Barter (herbs);Bob Barter (herbes)
Bob, another guard of Falador;Bob, un autre garde de Falador
Bobawu;Bobawu
Bobbing fossil;Fossile flottant
Body Golem;Corps Golem
Bolkoy;Bolkoï
Bologa;Bologne
Bolongo;Bolongo
Bonafido;Bonafido
Boneguard;Garde-os
Bones;Os
Bonzara;Bonzara
Bonzo;Bonzo
Boot;Botte
Border Guard;Garde-frontière
Boris;Boris
Bork Sigmundson;Bork Sigmundson
Borrokar;Borrokar
Boulder;Rocher
Bouncer;Videur
Bouncer (hard);Videur (dur)
Bouquet Mac Hyacinth;Bouquet Mac Jacinthe
Bow and Arrow salesman;Vendeur d'arcs et de flèches
Boy;Garçon
Brambickle;Ronce
Brana;Brana
Branwen;Branwen
Brassican Mage;Mage Brassicain
Bravek;Bravek
Brawler;Bagarreur
Bree;Brée
Breive;Breive
Brendt;Brendt
Breoca;Bréoca
Brewer;Brasseur
Brian;Brian
Brian O'Richard;Brian O'Richard
Briget;Brigitte
Brimstail;Brimqueue
Brine rat;Rat de saumure
Broddi;Broddi
Broken Handz;Main cassée
Broken clay golem;Golem d'argile brisé
Bronze dragon;Dragon de bronze
Broodoo victim;Victime de Broodoo
Brother Aimeri;Frère Aiméri
Brother Althric;Frère Althric
Brother Brace;Frère Brace
Brother Cedric;Frère Cédric
Brother Jered;Frère Jered
Brother Kojo;Frère Kojo
Brother Maledict;Frère Malédict
Brother Omad;Frère Omad
Brother Tranquility;Frère Tranquillité
Brown Engine Director;Directeur Moteur Brown
Brown Engine Secretary;Secrétaire du moteur Brown
Brugsen Bursen;Brugsen Bursen
Bruise Blamish Snail;Escargot blême bleu
Brundt the Chieftain;Brundt le chef
Brutal black dragon;Dragon noir brutal
Brutal blue dragon;Dragon bleu brutal
Brutal green dragon;Dragon vert brutal
Brutal red dragon;Dragon rouge brutal
Bryn;Bryn
Bryophyta;Bryophytes
Bugs;Insectes
Builder;Constructeur
Buinn;Buinn
Bullrush;Bouvreuil
Bunkdo;Bunkdo
Bunkwicket;Guichet superposé
Bunny;Lapin
Burkor;Burkor
Burntmeat;Viande brûlée
Burntof;Brûlé
Bush snake;Serpent de brousse
Butler;Majordome
Butler Jarvis;Majordome Jarvis
Butler Jones;Majordome Jones
Butterfly;Papillon
Cabin Boy Colin;Garçon de cabine Colin
Cabin Boy Herbert;Garçon de cabine Herbert
Cabin boy;Garçon de cabine
Cabin boy Jenkins;Garçon de cabine Jenkins
Caden Azro;Caden Azro
Caerwyn;Caerwyn
Cage;Cage
Caleb;Caleb
Calin;Calin
Callisto;Callisto
Callisto cub;Petit Callisto
Cam the Camel;Cam le chameau
Camarst;Camarst
Camel;Chameau
Camel display;Exposition de chameaux
Camorra;Camorra
Camp dweller;Habitant du camp
Candle maker;Fabricant de bougies
Candle seller;Vendeur de bougies
Caninelle Draynar;Caninelle Draynar
Cannoneer;Canonnier
Cap'n Hand;Cap'n Hand
Cap'n Izzy No-Beard;Cap'n Izzy sans barbe
Capt' Arnav;Capitaine Arnav
Captain;Capitaine
Captain Barnaby;Capitaine Barnabé
Captain Bentley;Capitaine Bentley
Captain Bleemadge;Capitaine Bleemadge
Captain Braindeath;Capitaine Mort cérébrale
Captain Bruce;Capitaine Bruce
Captain Cain;Capitaine Caïn
Captain Cleive;Capitaine Cleive
Captain Daerkin;Capitaine Daerkin
Captain Dalbur;Capitaine Dalbur
Captain Donnie;Capitaine Donnie
Captain Dudi;Capitaine Dudi
Captain Errdo;Capitaine Errdo
Captain Ginea;Capitaine Ginéa
Captain Janaway;Capitaine Janaway
Captain Kalt;Capitaine Kalt
Captain Khaled;Capitaine Khaled
Captain Klemfoodle;Capitaine Klemfoodle
Captain Lamdoo;Capitaine Lamdoo
Captain Lawgof;Capitaine Lawgof
Captain Magoro;Capitaine Magoro
Captain Ned;Capitaine Ned
Captain Ninto;Capitaine Ninto
Captain Pudi;Capitaine Pudi
Captain Rachelle;Capitaine Rachelle
Captain Rimor;Capitaine Rimor
Captain Rovin;Capitaine Rovin
Captain Sdiar;Capitaine Sdiar
Captain Shanks;Capitaine Shanks
Captain Shoracks;Capitaine Shoracks
Captain Siad;Capitaine Siad
Captain Tobias;Capitaine Tobias
Captain Tock;Capitaine Tock
Captain Tom;Capitaine Tom
Carado;Carado
Caranthir;Caranthir
Carl;Carl
Carla;Carla
Carnivorous chinchompa;Chinchonpa carnivore
Carnivus Belamorta;Carnivus Belamorta
Carol;Carole
Caroline;Caroline
Carpenter;Menuisier
Carpenter Kjallak;Charpentier Kjallak
Cart Camel;Chariot chameau
Cart conductor;Conducteur de chariot
Cassie;Cassie
Cat;Chat
Catablepon;Catablepon
Catalina;Catalina
Cave Scenery;Paysage de grotte
Cave abomination;Abomination des grottes
Cave bug;Punaise de la grotte
Cave bug larva;Larve de punaise des cavernes
Cave crawler;Robot des cavernes
Cave goblin;Gobelin des cavernes
Cave goblin child;Enfant gobelin des cavernes
Cave goblin guard;Garde gobelin des cavernes
Cave goblin miner;Mineur gobelin des cavernes
Cave horror;Horreur des grottes
Cave kraken;Kraken des cavernes
Cave lizard;Lézard des cavernes
Cave monk;Moine des cavernes
Cave slime;Boue des grottes
Cave snake;Serpent des cavernes
Cavemouth;Bouche des cavernes
Cavey Davey;Davey Cavey
Cecilia;Cécilia
Celebrian;Célébrité
Celegorm;Célégorme
Celyn;Célyn
Centaur;Centaure
Ceolburg;Ceolbourg
Cerberus;Cerbère
Ceril Carnillean;Ceril Carnilléen
Cerulean twitch;Contraction céruléenne
Ceto;Céto
Chadwell;Chadwell
Chaeldar;Chaeldar
Chamber guardian;Gardien de chambre
Chancy;Hasardeux
Chaos Elemental;Élémentaire du chaos
Chaos Elemental Jr.;Élémentaire du Chaos Jr.
Chaos Fanatic;Fanatique du Chaos
Chaos Golem;Golem du Chaos
Chaos druid;Druide du Chaos
Chaos druid warrior;Guerrier druide du chaos
Chaos dwarf;Nain du chaos
Chaotic death spawn;Engeance de mort chaotique
Charles;Charles
Charles Charlington;Charles Charlington
Charley;Charly
Charlie;Charlie
Charlie Brown;Charlie Brun
Charlie the Tramp;Charlie le Clochard
Charlie the cook;Charlie le cuisinier
Charmed Warrior;Guerrier charmé
Chasm Crawler;Rameur de gouffre
Checkal;Chèque
Cheerleader;Pom-pom girl
Chef Olivia;Chef Olivia
Chemist;Chimiste
Cheryl;Cheryl
Chicken;Poulet
Chief Farmer;Chef agriculteur
Chief Tess;Chef Tess
Chief servant;Serviteur en chef
Child;Enfant
Chinchompa;Chinchonpa
Choke devil;Diable étouffant
Chompy bird;Oiseau grignotant
Chompy chick;Poussin Chompy
Chronozon;Chronozon
Chronozon (hard);Chronozon (difficile)
Chuck;Mandrin
Cirdan;Cirdan
City guard;Garde de la ville
Civilian;Civil
Clan Guard;Garde de clan
Claude;Claude
Claus the chef;Claus le chef
Clay golem;Golem d'argile
Cleaner;Nettoyeur
Cleddyf;Cléddyf
Clerk;Greffier
Clerris;Clerris
Clivet;Clive
Clockwork cat;Chat mécanique
Clothears;Vêtements
Co-ordinator;Coordinateur
Coal;Charbon
Cob;Épi
Cockathrice;Cocathrice
Cockatrice;Basilic
Coenus;Cœnus
Col. O'Niall;Colonel O'Niall
Colonel Grimsson;Colonel Grimsson
Colonel Radick;Colonel Radick
Colossal Hydra;Hydre colossale
Combat Instructor;Instructeur de combat
Combat Test;Épreuve de combat
Combat Test (maxhit);Test de combat (maxhit)
Combat stone;Pierre de combat
Commander Connad;Commandant Connad
Commander Fullore;Commandant Fullore
Commander Montai;Commandant Montaï
Commander Veldaban;Commandant Veldaban
Commander Zilyana;Commandant Zilyana
Commissioner Anwar;Commissaire Anwar
Competition Judge;Juge de compétition
Confused barbarian;Barbare confus
Confusion beast;Bête de confusion
Conrad King;Conrad Roi
Conwenna;Conwenna
Cook;Cuisiner
Cooking tutor;Professeur de cuisine
Cool Mom227;Maman cool227
Copper longtail;Longue queue en cuivre
Copper ore;Minerai de cuivre
Corkat quo Sihar;Corkat quo Sihar
Cormorant;Cormoran
Cornelius;Corneille
Corporeal Beast;Bête corporelle
Corporeal Critter;Créature corporelle
Corpse;Cadavre
Corrupt Lizardman;Homme-lézard corrompu
Corrupt Lizardman (hard);Homme-lézard corrompu (difficile)
Corrupted Bat;Chauve-souris corrompue
Corrupted Bear;Ours corrompu
Corrupted Dark Beast;Bête noire corrompue
Corrupted Dragon;Dragon corrompu
Corrupted Hunllef;Hunllef corrompu
Corrupted Rat;Rat corrompu
Corrupted Scorpion;Scorpion corrompu
Corrupted Spider;Araignée corrompue
Corrupted Unicorn;Licorne corrompue
Corrupted Wolf;Loup corrompu
Corrupted Youngllef;Jeune fille corrompue
Corrupted scavenger;Charognard corrompu
Corsair Traitor;Traître corsaire
Corsair Traitor (hard);Traître Corsaire (difficile)
Cosmic Being;Être cosmique
Council workman;Ouvrier du Conseil
Councillor Andrews;Conseiller Andrews
Councillor Halgrive;Conseiller Halgrive
Councillor Orson;Conseiller Orson
Councillor Unkar;Conseiller Unkar
Count Check;Vérification du décompte
Count Draynor;Comte Draynor
Count Draynor (hard);Comte Draynor (dur)
Court judge;Juge du tribunal
Cow;Vache
Cow (hard);Vache (dur)
Cow calf;Veau de vache
Cow31337Killer;Vache31337Tueur
Cowardly Bandit;Bandit lâche
Crab;Crabe
Crafting tutor;Professeur d'artisanat
Crate;Caisse
Crate goblin;Gobelin de caisse
Crawling Hand;Main rampante
Crawling hand;Main rampante
Crazy archaeologist;Archéologue fou
Creakyknees;Genoux grinçants
Crefydd;Crefydd
Crimson swift;Martinet cramoisi
Crimsonette van Marr;Crimsonette van Marr
Crocodile;Crocodile
Crondis;Crondis
Crone;Vieille femme
Crow;Corbeau
Crunchy;Croquant
Crusher;Broyeur
Crushing hand;Main écrasante
Crust of ice;Croûte de glace
Crypt rat;Rat des cryptes
Crypt spider;Araignée de crypte
Crystal impling;Cristal impliquant
Crystalline Bat;Chauve-souris cristalline
Crystalline Bear;Ours cristallin
Crystalline Dark Beast;Bête sombre cristalline
Crystalline Dragon;Dragon Cristallin
Crystalline Hunllef;Cristalline Hunllef
Crystalline Rat;Rat cristallin
Crystalline Scorpion;Scorpion cristallin
Crystalline Spider;Araignée cristalline
Crystalline Unicorn;Licorne cristalline
Crystalline Wolf;Loup cristallin
Cuffs;Menottes
Culinaromancer;Culinaromancien
Culinaromancer (hard);Culinaromancien (dur)
Curator Haig Halen;Conservateur Haig Halen
Curly;Bouclé
Curpile Fyod;Curpile Fiod
Curufin;Curufine
Customer;Client
Customs officer;Douanier
Cute creature;Créature mignonne
Cyclops;cyclope
Cyreg Paddlehorn;Corne à pagaie Cyreg
Cyrisus;Cyrisus
Da Vinci;Da Vinci
Dad;Papa
Dad (hard);Papa (dur)
Daer Krand;Daer Krand
Daero;Daéro
Daga;Daga
Dagannoth;Dagannoth
Dagannoth Prime;Dagannoth Premier
Dagannoth Prime Jr.;Dagannoth Prime Jr.
Dagannoth Rex;Dagannoth Rex
Dagannoth Rex Jr.;Dagannoth Rex Jr.
Dagannoth Supreme;Dagannoth Suprême
Dagannoth Supreme Jr.;Dagannoth Suprême Jr.
Dagannoth fledgeling;Dagannoth débutant
Dagannoth mother;Mère Dagannoth
Dagannoth mother (hard);Mère Dagannoth (dur)
Dagannoth spawn;Apparition de Dagannoth
Dakh'thoulan Aegis;Égide de Dakh'thoulan
Dalal;Dalal
Dalcian Fang (easy);Croc Dalcien (facile)
Dalila;Dalila
Dallas Jones;Dallas Jones
Dalldav;Dalldav
Damaged clay golem;Golem d'argile endommagé
Damien Leucurte;Damien Leucurté
Damis;Damis
Damis (hard);Damis (dur)
Dampe;Humide
Damwin;Damwin
Dantaera;Dantaera
Darcor quo Narga;Darcor quo Narga
Dark Ankou;Ankou Sombre
Dark Core;Noyau sombre
Dark Mage;Mage noir
Dark Squirrel;Écureuil sombre
Dark beast;Bête sombre
Dark core;Noyau sombre
Dark energy core;Noyau d'énergie sombre
Dark kebbit;Kebbit noir
Dark mage;Mage noir
Dark warrior;Guerrier sombre
Dark wizard;Sorcier noir
Darkmeyer Slave;Esclave Darkmeyer
Darren;Darren
Dartog;Dartog
Darve;Darve
Daryl;Daryl
Dashing kebbit;Kebbit fringant
Dave;Dave
Davey;Davey
David;David
David Andrews;David Andrews
Davon;Davon
Dawn;Aube
Dead Monk;Moine mort
Dead swamp snake;Serpent des marais mort
Deadly red spider;Araignée rouge mortelle
Death;La mort
Death spawn;Engeance de la mort
Death wing;Aile de la mort
Deathly mage;Mage mortel
Deathly ranger;Ranger mortel
Debra;Débra
Defiler;Profanateur
Del-Monty;Del Monty
Delrith;Delrith
Demon;Démon
Demon butler;Majordome démon
Demonic gorilla;Gorille démoniaque
Denadu;Dénadu
Denath;Dénath
Denulth;Denulth
Deranged archaeologist;Archéologue dérangé
Derni;Dernier
Dernu;Dernou
Derrik;Derrick
Derse Venator;Derse Venator
Derwen;Derwen
Desert Lizard;Lézard du désert
Desert Phoenix;Phénix du désert
Desert Spirit;Esprit du désert
Desert Wolf;Loup du désert
Desert eagle;Aigle du désert
Desert snake;Serpent du désert
Desmodus Lasiurus;Desmodus Lasiurus
Despoina Callidra;Despoina Callidra
Dessourt;Dessourt
Dessourt (hard);Dessourt (dur)
Dessous;Dessous
Dessous (hard);Dessous (dur)
Devan Rutter;Devan Rutter
Deviant spectre;Spectre déviant
Devin Mendelberg;Devin Mendelberg
Dharok the Wretched;Dharok le Misérable
Diana;Diane
Diango;Diango
Dig Site workman;Ouvrier du chantier de fouille
Digsite workman;Ouvrier de chantier
Dimintheis;Diminthéis
Diol;Diol
Diphylla Bechstein;Diphylla Bechstein
Dire Wolf;Loup terrible
Disciple of Iban;Disciple d'Iban
Disciple of Yama;Disciple de Yama
Dobwinkle;Dobwinkle
Dock worker;Docker
Dockmaster;Maître des quais
Doctor Orbon;Docteur Orbon
Dodgy Squire;Écuyer douteux
Dog;Chien
Doll;Poupée
Dominic Onion;Dominique Oignon
Dommik;Dommik
Don;Enfiler
Don't Know What;Je ne sais pas quoi
Donal;Donal
Dondakan the Dwarf;Dondakan le Nain
Donie;Donie
Donny the lad;Donny le garçon
Donovan the Family Handyman;Donovan, le bricoleur de la famille
Doomion;Doomion
Doomsayer;Diseur de malheur
Door;Porte
Door man;Homme de porte
Door-support;Support de porte
Doric;dorique
Doris;Doris
Double agent;Agent double
Doug Deeping;Doug Deeping
Doyen;Doyen
Dr Fenkenstrain;Dr Fenkenstrain
Dr Ford;Docteur Ford
Dr Harlow;Dr Harlow
Dr Jekyll;Dr Jekyll
Draconis Sanguine;Draconis sanguin
Dragon display;Affichage du dragon
Dragon impling;Dragon impliquant
Dragonkin;Draconien
Drain pipe;Tuyau de vidange
Drake;Canard
Drasdan Ranor;Drasdan Ranor
Draul Leptoc;Draul Leptoc
Dreven;Dreven
Drew;Dessiné
Drezel;Drézel
Driftwood;Bois flotté
Drill Sergeant;Sergent instructeur
Droalak;Droalak
Drogo dwarf;Nain Drogo
Dromund;Dromond
Dromund's cat;Le chat de Dromund
Dron;Drone
Druid;Druide
Drunken Ali;Ali ivre
Drunken Dwarf;Nain ivre
Drunken Dwarf's Leg;Jambe de nain ivre
Drunken man;Homme ivre
Drunken soldier;Soldat ivre
Dryad;Dryade
Duck;Canard
Duckling;Caneton
Ducklings;Canetons
Dugopul;Dugopul
Duke;Duc
Duke Horacio;Duc Horacio
Dummy;Factice
Dumpy;Dumpy
Dunce;Cancre
Dung;Boussier
Dungeon rat;Rat de donjon
Dunstan;Dunstan
Duradel;Duradel
Durgok;Durgok
Dusk;Crépuscule
Dust devil;Diable de poussière
Dusty Aliv;Aliv poussiéreux
Dusuri;Dusuri
