A Clam Shell;Une coquille de palourde
Ancient bush;Buisson ancien
Ancient cave painting;Peinture rupestre ancienne
Ancient chest;Coffre ancien
Ancient gallows;Potence ancienne
Ancient machinery;Machines anciennes
Ancient metal gate;Portail métallique ancien
Anima patch;Patch Anima
Animal skull;Crâne d'animaux
Anna's barrel;Le tonneau d'Anna
Annakarl Portal;Portail Annakarl
Anti-Dragon Breath Shield;Bouclier respiratoire anti-dragon
Antiques Shop Stall;Étal de magasin d'antiquités
Anvil;Enclume
Ape Atoll Dungeon Portal;Portail du donjon de l'atoll des singes
Apparatus;Appareil
Appendage;Appendice
Apple Press;Presse à pommes
Apple Tree;Pommier
Apple basket;Panier de pommes
Apple tree;Pommier
Apple tree stump;Souche de pommier
Aquarium;Aquarium
Arcane crystal;Cristal arcanique
Arceuus Library Portal;Portail de la bibliothèque Arceuus
Arceuus statue;Statue d'Arceuus
Arch;Cambre
Archery target;Cible de tir à l'arc
Archway;Voûte
Arctic Pine;Pin arctique
Ardougne Portal;Portail d'Ardougne
Ardougne Wall Door;Porte Murale Ardougne
Arena;Arène
Arena Entrance;Entrée de l'arène
Arena Exit;Sortie de l'arène
Arena space;Espace arène
Argento;Argento
Arm;Bras
Armadyl altar;Autel d'Armadyl
Armadyl armour display case;Vitrine d'armure Armadyl
Armed Forces Report;Rapport des forces armées
Armillary sphere;Sphère armillaire
Armour;Armure
Armour case;Étui d'armure
Armour case space;Espace pour les armures
Armour display;Affichage d'armure
Armour repair stand;Support de réparation d'armure
Armour space;Espace d'armure
Armour stall;Décrochage d'armure
Armour stand;Support d'armure
Arrav;Arrav
Arrow;Flèche
Arrows;Flèches
Artefact;Artefact
Artefacts;Artefacts
Asgarnian Ale;Bière asgarnienne
Asgarnian Hops;Houblon asgarnien
Asgarnian ale;Bière asgarnienne
Ash pile;Tas de cendres
Aspidistra plant;Plante Aspidistra
Astronomical chart;Carte astronomique
Attack stone;Pierre d'attaque
Attacker item machine;Machine à objets d'attaquant
Attas plant;Usine d'Attas
Attas plant display;Exposition de l'usine d'Attas
Avalanche;Avalanche
Aviary Hatch;Trappe de volière
Awakened Altar;Autel éveillé
Awowogei;Awowogei
Axe cabinet;Armoire à haches
Axe case;Étui à hache
Axeman's Folly;La folie de Axeman
Axes;Haches
Baby red dragon;Bébé dragon rouge
Backpack;Sac à dos
Badly repaired wall;Mur mal réparé
Bags for sale;Sacs à vendre
Bailing buckets;Godets de mise sous vide
Baker's Stall;L'étal du boulanger
Baker's stall;L'étal du boulanger
Bakery stall;Stand de boulangerie
Balance beam;Poutre d'équilibre
Balancing ledge;Rebord d'équilibrage
Balancing rope;Corde d'équilibrage
Ball;Balle
Ballista;Baliste
Bamboo Bed;Lit en bambou
Bamboo Bookcase;Bibliothèque en bambou
Bamboo Desk;Bureau en bambou
Bamboo Door;Porte en bambou
Bamboo Gate;Porte en bambou
Bamboo Ladder;Échelle en bambou
Bamboo Pipes;Pipes en bambou
Bamboo Stool;Tabouret en Bambou
Banana Tree;Bananier
Banana tree;Bananier
Banana tree stump;Souche de bananier
Bandage table;Table à bandages
Bandos altar;Autel de Bandos
Bandos armour display case;Vitrine d'armure Bandos
Bank;Banque
Bank Booth;Cabine bancaire
Bank Box;Boîte bancaire
Bank Chest-wreck;Épave de coffre de banque
Bank Deposit Box;Coffret de dépôt bancaire
Bank Deposit Chest;Coffre de dépôt bancaire
Bank Deposit Pot;Pot de dépôt bancaire
Bank Table;Tableau bancaire
Bank booth;Cabine bancaire
Bank chest;Coffre de banque
Bank counter;Guichet bancaire
Bank deposit box;Coffret bancaire
Bank light;Lumière de banque
Bank notice board;Tableau d'affichage bancaire
Bank papers;Documents bancaires
Bank safe;Coffre-fort bancaire
Bank table;Tableau bancaire
Banner;Bannière
Banner making stand;Support de fabrication de bannières
Banner stand;Support de bannière
Banner stand space;Espace de stand de bannière
Banquet table;Table de banquet
Bar;Bar
Bar dispenser;Distributeur de barres
Bar pumps;Pompes à bar
Barbarian anvil;Enclume barbare
Barbarian bed;Lit barbare
Barbarian chair;Chaise barbare
Barbarian table;Table barbare
Barge controls;Contrôles des barges
Barley;Orge
Barrel;Baril
Barrel of Mud;Baril de boue
Barrel of Spears;Baril de lances
Barrel of Water;Baril d'eau
Barrel of fish;Baril de poisson
Barrel of fishbones;Baril d'arêtes de poisson
Barrel of flour;Baril de farine
Barrel rack;Support à fûts
Barrel space;Espace baril
Barrels;Barils
Barren patch;Zone stérile
Barricade;Barricade
Barricade table;Table de barricade
Barrier;Barrière
Barronite Crusher;concasseur de barronite
Barrow;Brouette
Barrows Portal;Portail des Tumulus
Bars;Barres
Barstool;Tabouret de bar
Basalt rock;Roche basaltique
Basic Jewellery Box;Boîte à bijoux de base
Basilisk head;Tête de basilic
Basket;Panier
Basket Fungi;Champignons du panier
Bath;Bain
Bath pipes;Tuyaux de bain
Bath screen;Pare-baignoire
Bathroom table;Table de salle de bain
Bathtub;Baignoire
Battering ram;Bélier
Battle tower;Tour de bataille
Battlefront Portal;Portail du front de bataille
Battlement;Crémaillère
Battlements;Créneaux
Bay window;Baie vitrée
Beach;Plage
Beacon;Balise
Beacon.;Balise.
Beam;Faisceau
Bean Mound;Monticule de haricots
Beanstalk;haricot magique
Beanstump;Souche de haricot
Bear droppings;Crottes d'ours
Beard;Barbe
Bed;Lit
Bed hotspot;Point chaud du lit
Bed space;Espace lit
Bedroom door;Porte de la chambre
Beehive;Ruche
Beer barrel;Baril de bière
Beer barrels;Fûts de bière
Beetle;Scarabée
Bell;Cloche
Bell mechanism;Mécanisme de cloche
Bell pull space;Espace de traction pour cloche
Bell rope;Corde de cloche
Bell-pull;Tirette de cloche
Belladonna;Belladone
Belladonna patch;Patch Belladone
Bellows;Soufflet
Bells;Cloches
Bellshroom;Champignon cloche
Bench;Banc
Betty's cauldron;Le chaudron de Betty
Biclopse;Vélo
Big Button;Gros bouton
Big Compost Bin;Grand bac à compost
Big Door;Grande porte
Big Plant space 1;Grand espace plante 1
Big Plant space 2;Grand espace plante 2
Big Tree space;Espace Grand Arbre
Big beer barrel;Gros tonneau de bière
Big chest;Grosse poitrine
Big door;Grande porte
Big egg;Gros oeuf
Big fish;Gros poisson
Big hole;Gros trou
Big plant;Grande usine
Big plant 2;Grande plante 2
Big vase;Grand vase
Big window;Grande fenêtre
Big, big boulder...;Gros, gros rocher...
Big, foot print;Grande empreinte de pied
Bin;Poubelle
Bird cage stand;Support pour cage à oiseaux
Bird feeder;Mangeoire à oiseaux
Bird hide structure;Structure en peau d'oiseau
Bird snare;Collet à oiseaux
Birdhouse;Nichoir
Birdhouse (empty);Nichoir (vide)
Birdseed holder;Porte-graines pour oiseaux
Birthday cake;Gâteau d'anniversaire
Bittercap Mushrooms;Champignons à tête amère
Bitternut Sign;Signe de noyer amer
Bitternut Tree;Noyer amer
Black Chest;Coffre noir
Black crystal;Cristal noir
Black hole;Trou noir
Black mushrooms;Champignons noirs
Blackboard;Tableau noir
Blacksmith's tools;Outils de forgeron
Blacksmiths' tools;Outils de forgeron
Blade;Lame
Blighted Bologano plant;Usine de Bologne détruite
Blighted Bologano seedling;Semis de Bologne touché
Blighted Golovanova plant;Plante Golovanova détruite
Blighted Golovanova seedling;Semis de Golovanova détruit
Blighted Logavano plant;Usine de Logavano détruite
Blighted Logavano seedling;Semis de Logavano détruit
Blighted vine;Vigne flétrie
Blindweed Patch;Patch d'aveugle
Blisterwood Tree;Arbre de Bois Blister
Blockage;Obstruction
Blocked Crevice;Crevasse bloquée
Blocked Tunnel;Tunnel bloqué
Blocked entry;Entrée bloquée
Blocked tunnel;Tunnel bloqué
Blocked volcanic chamber;Chambre volcanique bloquée
Blood;Sang
Blood Altar;Autel de sang
Blood Orb;Orbe de sang
Blood Stinkhorn;Corne puante de sang
Blood Stinktree;Arbre puant de sang
Blood crystal;Cristal de sang
Blood rift;Faille de sang
Blooming Hespori sprout;Germe d'Hespori en fleurs
Blue Barrier;Barrière bleue
Blue Fire;Feu bleu
Blue Flowers;Fleurs bleues
Blue Water Sign;Signe d'eau bleue
Blue banner;Bannière bleue
Blue chemical;Produit chimique bleu
Blue door;Porte bleue
Blue flowers;Fleurs bleues
Blue tears;Larmes bleues
Bluebells;Jacinthes des bois
Blurberry bar;Barre aux bleuets
Boarded-up door;Porte barricadée
Boards;Planches
Boat;Bateau
Boat Chute;Chute de bateau
Boat station;Gare maritime
Boaty;Bateau
Bob's barrel;Le baril de Bob
Body rift;Faille corporelle
Bog;Tourbière
Boil;Bouillir
Boiler;Chaudière
Boils;Furoncles
Bologano plant;Usine de Bologne
Bologano seedling;Semis de Bologne
Bone Chain;Chaîne d'os
Bone Crane;Grue en os
Bone arch;Arc osseux
Bone barrel;Baril en os
Bone door;Porte en os
Bone grinder;Broyeur d'os
Bone rack;Support à os
Bone support;Soutien osseux
Bones;Os
Boney ladder;Échelle osseuse
Bonfire;Feu
Bonzo's Table;La table de Bonzo
Book Cart;Panier de livres
Book table;Table de livre
Bookcase;Bibliothèque
Bookcase space;Espace bibliothèque
Books;Livres
Bookshelf;Bibliothèque
Bookshelves;Bibliothèques
Boss lair display;Affichage du repaire du boss
Boss lair space;Espace du repaire du boss
Bottle;Bouteille
Bottle Machine;Machine à bouteilles
Bottle machine;Machine à bouteilles
Boulder;Rocher
Boulders;Rochers
Boundary stones;Bornes frontière
Bow and Arrow;Arc et Flèche
Bow and arrow;Arc et flèche
Bow cabinet;Armoire à archet
Bow case;Étui à arc
Bowl;Bol
Bowsprit;Beaupré
Box;Boîte
Box cart;Chariot de boîte
Box of Health;Coffret de Santé
Box of bones;Boîte d'os
Box trap;Piège à boîte
Boxes;Boîtes
Boxing mat;Tapis de boxe
Boxing ring;Ring de boxe
Branch;Bifurquer
Brazier;Brasero
Brew Barrel;Baril de brassage
Brewer's Barrel;Tonneau du brasseur
Brewing control;Contrôle du brassage
Brewing vat;Cuve de brassage
Brick;Brique
Bricks;Briques
Bridge;Pont
Bright crystal;Cristal brillant
Brimstone chest;Coffre de soufre
Broken Bed;Lit cassé
Broken Brazier;Brasero cassé
Broken Cabinet;Armoire cassée
Broken Cannon;Canon cassé
Broken Cart;Chariot cassé
Broken Chair;Chaise cassée
Broken Cupboard;Placard cassé
Broken Door;Porte cassée
Broken Drawers;Tiroirs cassés
Broken Dresser;Commode cassée
Broken Fence;Clôture cassée
Broken Fire altar;Autel de feu brisé
Broken Fountain;Fontaine brisée
Broken Grandfather Clock;Horloge grand-père cassée
Broken Grandiose Doors;Portes grandioses brisées
Broken Grate;Grille cassée
Broken Lecturn;Pupitre cassé
Broken Mirror;Miroir brisé
Broken Old Bookshelf;Vieille bibliothèque cassée
Broken Plantpot;Pot de fleurs cassé
Broken Potter's Wheel;Tour de potier cassé
Broken Raft;Radeau brisé
Broken Railing;Garde-corps cassé
Broken Range;Portée brisée
Broken Roof;Toit cassé
Broken Scaffold;Échafaudage cassé
Broken Shelves;Étagères cassées
Broken Sink;Évier cassé
Broken Spinning Wheel;Rouet cassé
Broken Statue;Statue brisée
Broken Table;Table cassée
Broken Wall;Mur brisé
Broken Well;Puits cassé
Broken altar;Autel brisé
Broken barrel;Canon cassé
Broken bath;Bain cassé
Broken battering ram;Bélier cassé
Broken beer glass;Verre à bière cassé
Broken boat;Bateau cassé
Broken bridge;Pont cassé
Broken cage;Cage cassée
Broken cannon;Canon cassé
Broken cart;Chariot cassé
Broken cart wheel;Roue de chariot cassée
Broken catapult;Catapulte cassée
Broken chain;Chaîne cassée
Broken chair;Chaise cassée
Broken cogs;Pignons cassés
Broken counter;Compteur cassé
Broken crossbow;Arbalète cassée
Broken dead tree;Arbre mort brisé
Broken door;Porte cassée
Broken drilling machine;Perceuse cassée
Broken equipment table;Table d'équipement cassée
Broken experiment tube;Tube d'expérimentation cassé
Broken fence;Clôture cassée
Broken fish display;Présentoir à poissons cassé
Broken furnace;Four cassé
Broken ground;Terrain brisé
Broken kiln;Four cassé
Broken ladder;Échelle cassée
Broken lamp;Lampe cassée
Broken lobster trap;Casier à homard cassé
Broken log raft;Radeau en rondins cassé
Broken logs;Bûches cassées
Broken mace trap;Piège à masse cassé
Broken machinery;Machines cassées
Broken mast;Mât cassé
Broken multicannon;Multicanon cassé
Broken pillar;Pilier cassé
Broken rail;Rail cassé
Broken range;Gamme cassée
Broken rock;Roche brisée
Broken rope bridge;Pont de corde cassé
Broken rowboat;Chaloupe cassée
Broken rune case;Étui à runes cassées
Broken snare;Collet cassé
Broken spinning wheel;Rouet cassé
Broken stairs;Escalier cassé
Broken stool;Tabouret cassé
Broken strut;Jambe cassée
Broken sun altar;Autel du soleil brisé
Broken support;Support cassé
Broken table;Table cassée
Broken trap(0);Piège cassé(0)
Broken wall;Mur brisé
Broken weapons;Armes cassées
Bronze Chest;Coffre en bronze
Bronze Door;Porte en bronze
Bronze axe;Hache en bronze
Bronze pickaxe;Pioche en bronze
Broom;Balai
Bruma roots;Racines de Bruma
Bryophyta display;Exposition de bryophytes
Bubbles;Bulles
Bucket;Seau
Bucket of Blood;Seau de sang
Buckets;Godets
Budding branch;Branche en herbe
Buffers;Tampons
Buffet table;Buffet
Bull's head;Tête de taureau
Bullrushes;Les bouvreuils
Bunk bed;Lit superposé
Bunkbed;Lit superposé
Bunsen burner;Bec Bunsen
Burial cairn;Cairn funéraire
Burial mound;Tumulus
Buried artefact;Objet enterré
Buried skeleton;Squelette enterré
Burning bones;Os brûlants
Burning brazier;Brasero brûlant
Burning driftwood;Brûler du bois flotté
Burnt chest;Poitrine brûlée
Burnt rock;Roche brûlée
Burnt tree;Arbre brûlé
Burrow;Terrier
Burst boil;ébullition éclatée
Bush;Buisson
Bush Patch;Patch de brousse
Bust;Bousiller
Button;Bouton
Cabbage;Chou
Cabbages;Choux
Cabinet;Armoire
Cabinet space;Espace armoire
Cable;Câble
Cactus;Cactus
Cactus patch;Patch de cactus
Cadarn Banner;Bannière Cadarn
Cadava bush;Buisson de cadavre
Cadavaberry bush;Buisson de baies de cadavérique
Cage;Cage
Cage door;Porte cage
Cages;Cages
Calquat Tree;Arbre Calquat
Calquat patch;Patch Calquat
Camel's statue;Statue de chameau
Camelot Portal;Portail Camelot
Camorra;Camorra
Camp fire;Feu de camp
Campbed;Lit de camp
Campfire;Feu de camp
Camping equipment;Matériel de camping
Camping fire;Feu de camping
Camping gear;Matériel de camping
Campsite bed;Lit de camping
Canal barge;Barge fluviale
Canal wall;Mur de canal
Canary;Canari
Candelabrum;Candélabre
Candle;Bougie
Candle stand;Bougeoir
Candles;Bougies
Candlestick holder;Bougeoir
Cannon;Canon
Cannon barrels;Canons de canon
Cannon base;Socle de canon
Cannon stand;Support de canon
Cannonball;Boulet de canon
Cannonballs;Boulets de canon
Canoe Station;Station de canoë
Canopic Jar;Pot canope
Cape hanger;Cintre pour cape
Cape of Legends;Cap des Légendes
Cape rack space;Espace rack Cape
Captain's Table;La table du capitaine
Carcass;Carcasse
Carol's barrel;Le tonneau de Carol
Carpet;Tapis
Carpet Exhibit;Exposition de tapis
Carpet hotspot;Point chaud du tapis
Carrallangar Portal;Portail de Carrallangar
Carrot;Carotte
Cart;Panier
Cart Camel;Chariot chameau
Cart Track;Piste du panier
Cart track sign;Panneau de piste de chariot
Cart tunnel;Tunnel de chariot
Carved doors;Portes sculptées
Carved head;Tête sculptée
Carved log;Bûche sculptée
Carved oak bench;Banc en chêne sculpté
Carved redwood;Séquoia sculpté
Carved rock;Rocher sculpté
Carved teak bench;Banquette en teck sculpté
Carving;Sculpture
Castle Gates;Portes du château
Castle Wars portal;Portail Castle Wars
Castle door;Porte du château
Castle wall;Mur du château
Casual;Occasionnel
Cat;Chat
Cat Shrine;Sanctuaire du chat
Cat basket;Panier pour chat
Cat basket space;Espace panier pour chat
Catapult;Catapulte
Catapult-lever;Levier de catapulte
Catapult-winch;Treuil-catapulte
Catherby Portal;Portail Catherby
Cauldron;Chaudron
Cauldron of Thunder;Chaudron du tonnerre
Cave;Grotte
Cave Entrance;Entrée de la grotte
Cave Exit;Sortie de la grotte
Cave entrance;Entrée de la grotte
Cave exit;Sortie de la grotte
Cave gobins;Gobins des cavernes
Cave in;Grotte dans
Cave opening;Ouverture de la grotte
Cave rocks;Rochers des grottes
Cave wall;Mur de la grotte
Cave web;Toile de grotte
Cavern;Caverne
Cavern entrance;Entrée de la caverne
Cavern exit;Sortie de la caverne
Cavity;Cavité
Ceiling support;Support de plafond
Celastrus patch;Patch de célastrus
Celastrus tree;Arbre célastrus
Celastrus tree stump;Souche d'arbre célastrus
Celestial globe;Globe céleste
Cell Door;Porte de cellule
Cell Gate;Porte cellulaire
Cell door;Porte de cellule
Cell wall;Paroi cellulaire
Cell wall window;Fenêtre de la paroi cellulaire
Cellar stairs;Escalier de cave
Cello;Violoncelle
Cemetery Portal;Portail du cimetière
Cenotaph;Cénotaphe
Centre of crop circle;Centre du crop circle
Centre piece;Pièce maîtresse
Centrepiece space;Espace pièce maîtresse
Cerberus Topiary;Topiaire Cerbère
Cerberus display;Affichage Cerbère
Ceremonial Brazier;Brasero de cérémonie
Ceremonial Pillar;Pilier cérémonial
Ceremonial Pillow;Oreiller de cérémonie
Ceremonial Pillow Stack;Pile d’oreillers de cérémonie
Ceremonial table;Table de cérémonie
Certificate of healing;Certificat de guérison
Chain;Chaîne
Chains;Chaînes
Chair;Chaise
Chair hotspot;Point chaud de la chaise
Chair space;Espace chaise
Chaise lounge;Chaise longue
Chalice;Calice
Chalk patterns;Motifs à la craie
Challenge portal;Portail du défi
Chamber;Chambre
Chambers of Xeric;Chambres de Xéric
Champion Statue;Statue de champion
Chandelier;Lustre
Changing Curtain;Changement de rideau
Chaos altar;Autel du chaos
Chaos rift;Faille du chaos
Charcoal furnace;Four à charbon
Charm of Boost;Charme de boost
Charm of Defence;Charme de défense
Charm of Fishing;Charme de la pêche
Charm of Luck;Charme de chance
Charm of Mining;Charme de l'exploitation minière
Charm of Preparation;Charme de préparation
Charms;Charmes
Charred bones;Os carbonisés
Chart;Graphique
Chasm;Gouffre
Cheese;Fromage
Chef's Delight;Le délice du chef
Chemical pool;Piscine chimique
Chemical vent (blue);Évent chimique (bleu)
Chemical vent (green);Évent chimique (vert)
Chemical vent (red);Évent chimique (rouge)
Chemical waste pipe;Tuyau d'évacuation des produits chimiques
Chemistry Table;Tableau de chimie
Chess;Échecs
Chest;Poitrine
Chest of Champions;Coffre des champions
Chest pieces;Pièces de poitrine
Chicken;Poulet
Chicken Shrine;Sanctuaire du poulet
Chicken coop;Poulailler
Child's bed;Lit d'enfant
Chimney;Cheminée
Chimney Pipe;Tuyau de cheminée
Chimney pipe;Tuyau de cheminée
Choc-Ice Stall;Stand Choc-Glace
Chopped tendrils;Vrilles hachées
Chopping table;Table à découper
Christmas curtains;Rideaux de Noël
Christmas-Spirit Tree;Arbre esprit de Noël
Chronicles of Xeric;Chroniques de Xéric
Church organ;Orgue d'église
Church pew;Banc d'église
Cider;Cidre
Cider barrel;Tonneau de cidre
Circle;Cercle
Citizen;Citoyen
City Gate;Porte de la ville
City gate;Porte de la ville
Clam;Palourde
Clan Coffer;Coffre du clan
Clan Cup Trophy;Trophée de la Coupe des Clans
Clan Cup portal;Portail de la Coupe des Clans
Clan Wars portal;Portail des guerres de clans
Clan banner;Bannière de clan
Clan hall portal;Portail de la salle du clan
Clan recruitment board;Tableau de recrutement des clans
Clarinet;Clarinette
Clay Oven;Four à argile
Clay fireplace;Cheminée en argile
Clay forge;Forge d'argile
Clay oven;Four à argile
Cleaning supplies;Produits de nettoyage
Cliff;Falaise
Cliff edge;Bord de falaise
Climbing Net;Filet d'escalade
Climbing Rope;Corde d'escalade
Climbing net;Filet d'escalade
Climbing rocks;Escalade des rochers
Climbing rope;Corde d'escalade
Cloak rack;Porte-manteau
Clock;Horloge
Clock face;Cadran d'horloge
Clock spindle;Axe d'horloge
Clockmaker's bench;Banc d'horloger
Clockmaking space;Espace horloger
Closed Chest;Coffre fermé
Closed bank booth;Cabine bancaire fermée
Closed booth;Stand fermé
Closed chest;Poitrine fermée
Cloth;Tissu
Cloth covered table;Table recouverte de tissu
Clothes;Vêtements
Clothes Stand;Portant à vêtements
Clothes equipment;Équipement vestimentaire
Clothes line;Corde à linge
Clothes model;Modèle de vêtements
Clothes rack;Portant à vêtements
Clothes stall;Étal de vêtements
Clothing shelves;Étagères à vêtements
Cloud bank;Banque cloud
Clump of rocks;Amas de rochers
Coal;Charbon
Coal Tar;Goudron de houille
Coal Truck;Camion de charbon
Coat rack;Portemanteau
Cockatrice head;Tête de cocatrix
Cocoon;Cocon
Coffer;Coffre
Coffin;Cercueil
Coffin hotspot;Point chaud du cercueil
Cog;Dent
Cogs;Rouages
Coin Collector;Collectionneur de pièces
Coins;Pièces
Coke;Coke
Collapsed trap;Piège effondré
Collapsed wall;Mur effondré
Collector Converter;Convertisseur de collecteur
Colony gate;Porte de la colonie
Column;Colonne
Combat Scroll;Parchemin de combat
Combat dummy;Mannequin de combat
Combat dummy space;Espace factice de combat
Combat ring;Anneau de combat
Combat ring space;Espace du ring de combat
Competitive;Compétitif
Compost;Compost
Compost Bin;Bac à compost
Compost heap;Tas de compost
Compromised floorboards;Planchers compromis
Compromised support;Assistance compromise
Confusing door;Porte déroutante
Connected stalagmites;Stalagmites connectées
Connection pipe;Tuyau de raccordement
Consecrated house;Maison consacrée
Console;Console
Container;Récipient
Contortion Bars;Barres de contorsion
Control panel;Panneau de contrôle
Conveyor Belt;Tapis roulant
Conveyor belt;Tapis roulant
Cooker;Cuisinière
Cooking Pots;Marmites
Cooking pot;Marmite
Cooking range;Cuisinière
Cooking shelves;Clayettes de cuisson
Coolant Dispenser;Distributeur de liquide de refroidissement
Cooling chest;Coffre rafraîchissant
Coop;Coopérative
Copper Ladder;Échelle de cuivre
Coral;Corail
Coral Reef;Récif corallien
Corkscrew lever;Levier de tire-bouchon
Corner Table;Table d'angle
Corner space;Espace de coin
Corporeal Beast Display;Affichage de la bête corporelle
Corporeal Beast display;Affichage de la bête corporelle
Corpse;Cadavre
Corpse cart;Chariot à cadavres
Corpses;Cadavres
Corrupt Deposit;Dépôt corrompu
Corrupt Deposit (Depleted);Dépôt corrompu (épuisé)
Corrupted Sceptre;Sceptre corrompu
Cosmic rift;Faille cosmique
Council members;Membres du Conseil
Counter;Comptoir
Court judge;Juge du tribunal
Cow wheel;Roue de vache
Crab Shell;Coquille de crabe
Crack;Fissure
Cracked wall;Mur fissuré
Cradle of Life;Berceau de la vie
Craft stall;Stand d'artisanat
Crafting Stall;Stand d'artisanat
Crafting stall;Stand d'artisanat
Crane;Grue
Crashed Star;Étoile écrasée
Crashed glider;Planeur écrasé
Crate;Caisse
Crate of rune caskets;Caisse de cercueils de runes
Crate of wands;Caisse de baguettes
Crater;Cratère
Crates;Caisses
Crawling hand;Main rampante
Crazy penguin;Pingouin fou
Creature;Créature
Creeper;Liane
Creeping Plant;Plante rampante
Creeping plant;Plante rampante
Crevasse;Crevasse
Crevice;Fente
Crib;Berceau
Crop circle;Cercle de culture
Cross;Croix
Crossbow;Arbalète
Crossbow Tree;Arbre à arbalète
Crossbow stall;Décrochage d'arbalète
Crossbowman Statue;Statue d'arbalétrier
Crow nest;Nid de corbeau
Crowd of dwarves;Foule de nains
Crude boat;Bateau brut
Crude raft;Radeau brut
Crumbled wall;Mur effondré
Crumbling wall;Mur en ruine
Crushed barricade;Barricade écrasée
Crusher;Broyeur
Crutch;Béquille
Crwys Banner;Bannière de Crwys
Crypt;Crypte
Crypt Entrance;Entrée de la crypte
Crystal;Cristal
Crystal Deposit;Dépôt de cristaux
Crystal Deposit (Depleted);Dépôt de cristaux (épuisé)
Crystal Dispenser;Distributeur de cristaux
Crystal Sceptre;Sceptre de cristal
Crystal Singing Recipes;Recettes de chant de cristal
Crystal Staircase;Escalier en cristal
Crystal ball;Boule de cristal
Crystal ball space;Espace boule de cristal
Crystal bomb;Bombe de cristal
Crystal bridge;Pont de cristal
Crystal cluster;Amas de cristaux
Crystal dispenser;Distributeur de cristaux
Crystal growth;Croissance cristalline
Crystal of power;Cristal de pouvoir
Crystal outcrop;Affleurement de cristal
Crystal spire;Flèche de cristal
Crystal structure;Structure cristalline
Crystal tree;Arbre de cristal
Crystal tree patch;Patch d'arbre de cristal
Crystalline structure;Structure cristalline
Crystals;Cristaux
Cube Pile;Pile de cubes
Cupboard;Placard
Cupboard space;Espace de rangement
Curling plant;Usine de curling
Current;Actuel
Curry tree;Curry
Curry tree stump;Souche d'arbre à curry
Cursed Altar;Autel maudit
Curtain;Rideau
Curtain space;Espace rideau
Curtains;Rideaux
Curved bone;Os courbé
Cutting Table;Table de découpe
Cyan Crystal;Cristal cyan
Cyan crystal;Cristal cyan
Cylinder Pile;Pile de cylindre
Daconia rocks;Rochers de Daconie
Daeyalt Essence;Essence de Daeyalt
Daeyalt rocks;Rochers Daeyalt
Daffodils;Jonquilles
Dagannoth;Dagannoth
