 Sneaky undead fowl;Smygande odöda höns
Bobawu;Bobawu
Bobbing fossil;Gubbande fossil
Body Golem;Kropp Golem
Bolkoy;Bolköy
Bologa;Bologa
Bolongo;Bolongo
Bonafido;Bonafido
Boneguard;Benvakt
Bones;Ben
Bonzara;Bonzara
Bonzo;Bonzo
Boot;Känga
Border Guard;Gränsbevakning
Boris;Boris
Bork Sigmundson;Bork Sigmundson
Borrokar;Borrokar
Boulder;Flyttblock
Bouncer;Baddare
Bouncer (hard);Bouncer (hård)
Bouquet Mac Hyacinth;Bukett Mac Hyacinth
Bow and Arrow salesman;Pilbågeförsäljare
Boy;Pojke
Brambickle;Brambickle
Brana;Brana
Branwen;Branwen
Brassican Mage;Brassisk magiker
Bravek;Bravek
Brawler;Brawler
Bree;Bree
Breive;Breive
Brendt;Brendt
Breoca;Breoca
Brewer;Bryggare
Brian;Brian
Brian O'Richard;Brian O'Richard
Briget;Briget
Brimstail;Brimstail
Brine rat;saltlake råtta
Broddi;Broddi
Broken Handz;Broken Handz
Broken clay golem;Bruten lergolem
Bronze dragon;Brons drake
Broodoo victim;Broodoo offer
Brother Aimeri;Broder Aimeri
Brother Althric;Broder Althric
Brother Brace;Broder Brace
Brother Cedric;Broder Cedric
Brother Jered;Broder Jered
Brother Kojo;Bror Kojo
Brother Maledict;Broder Maledict
Brother Omad;Broder Omad
Brother Tranquility;Broder Tranquility
Brown Engine Director;Brown Engine Director
Brown Engine Secretary;Brun motorsekreterare
Brugsen Bursen;Brugsen Bursen
Bruise Blamish Snail;Blåmärke Blamish Snigel
Brundt the Chieftain;Hövdingen Brundt
Brutal black dragon;Brutal svart drake
Brutal blue dragon;Brutal blå drake
Brutal green dragon;Brutal grön drake
Brutal red dragon;Brutal röd drake
Bryn;Bryn
Bryophyta;Bryophyta
Bugs;Buggar
Builder;Byggmästare
Buinn;Buinn
Bullrush;Bullrush
Bunkdo;Bunkdo
Bunkwicket;Bunkwicket
Bunny;Kanin
Burkor;Burkor
Burntmeat;Bränt kött
Burntof;Burntof
Bush snake;Bush orm
Butler;Butler
Butler Jarvis;Butler Jarvis
Butler Jones;Butler Jones
Butterfly;Fjäril
Cabin Boy Colin;Cabin Boy Colin
Cabin Boy Herbert;Cabin Boy Herbert
Cabin boy;Stugapojke
Cabin boy Jenkins;Hyttpojke Jenkins
Caden Azro;Caden Azro
Caerwyn;Caerwyn
Cage;Bur
Caleb;Caleb
Calin;Calin
Callisto;Callisto
Callisto cub;Callisto unge
Cam the Camel;Cam the Camel
Camarst;Camarst
Camel;Kamel
Camel display;Camel display
Camorra;Camorra
Camp dweller;Lägerbo
Candle maker;Ljusmakare
Candle seller;Ljusförsäljare
Caninelle Draynar;Caninelle Draynar
Cannoneer;Cannoneer
Cap'n Hand;Cap'n Hand
Cap'n Izzy No-Beard;Cap'n Izzy No-Beard
Capt' Arnav;Kapten Arnav
Captain;Kapten
Captain Barnaby;Kapten Barnaby
Captain Bentley;Kapten Bentley
Captain Bleemadge;Kapten Bleemadge
Captain Braindeath;Kapten Braindeath
Captain Bruce;Kapten Bruce
Captain Cain;Kapten Kain
Captain Cleive;Kapten Cleive
Captain Daerkin;Kapten Daerkin
Captain Dalbur;Kapten Dalbur
Captain Donnie;Kapten Donnie
Captain Dudi;Kapten Dudi
Captain Errdo;Kapten Errdo
Captain Ginea;Kapten Ginea
Captain Janaway;Kapten Janaway
Captain Kalt;Kapten Kalt
Captain Khaled;Kapten Khaled
Captain Klemfoodle;Kapten Klemfoodle
Captain Lamdoo;Kapten Lamdoo
Captain Lawgof;Kapten Lawgof
Captain Magoro;Kapten Magoro
Captain Ned;Kapten Ned
Captain Ninto;Kapten Ninto
Captain Pudi;Kapten Pudi
Captain Rachelle;Kapten Rachelle
Captain Rimor;Kapten Rimor
Captain Rovin;Kapten Rovin
Captain Sdiar;Kapten Sdiar
Captain Shanks;Kapten Shanks
Captain Shoracks;Kapten Shoracks
Captain Siad;Kapten Siad
Captain Tobias;Kapten Tobias
Captain Tock;Kapten Tock
Captain Tom;Kapten Tom
Carado;Carado
Caranthir;Caranthir
Carl;Carl
Carla;Carla
Carnivorous chinchompa;Köttätande chinchompa
Carnivus Belamorta;Carnivus Belamorta
Carol;Carol
Caroline;Caroline
Carpenter;Snickare
Carpenter Kjallak;Snickare Kjallak
Cart Camel;Cart Camel
Cart conductor;Vagnledare
Cassie;Cassie
Cat;Katt
Catablepon;Catablepon
Catalina;Catalina
Cave Scenery;Grottlandskap
Cave abomination;Grottans styggelse
Cave bug;Grotta bugg
Cave bug larva;Grottbugglarv
Cave crawler;Grottkrypare
Cave goblin;Grotttroll
Cave goblin child;Cave goblin barn
Cave goblin guard;Grotttrollvakt
Cave goblin miner;Grottgoblin gruvarbetare
Cave horror;Grottskräck
Cave kraken;Cave kraken
Cave lizard;Grottödla
Cave monk;Grottmunk
Cave slime;Grottslem
Cave snake;Grottorm
Cavemouth;Cavemouth
Cavey Davey;Cavey Davey
Cecilia;Cecilia
Celebrian;Kändis
Celegorm;Celegorm
Celyn;Celyn
Centaur;Centaur
Ceolburg;Ceolburg
Cerberus;Cerberus
Ceril Carnillean;Ceril Carnillean
Cerulean twitch;Cerulean ryckning
Ceto;Ceto
Chadwell;Chadwell
Chaeldar;Chaeldar
Chamber guardian;Kammarvårdare
Chancy;Chancy
Chaos Elemental;Kaos Elemental
Chaos Elemental Jr.;Chaos Elemental Jr.
Chaos Fanatic;Kaosfanatiker
Chaos Golem;Kaos Golem
Chaos druid;Kaos druid
Chaos druid warrior;Kaos druid krigare
Chaos dwarf;Kaos dvärg
Chaotic death spawn;Kaotisk dödsbild
Charles;Charles
Charles Charlington;Charles Charlington
Charley;Charley
Charlie;Charlie
Charlie Brown;Charlie Brown
Charlie the Tramp;Luffaren Charlie
Charlie the cook;Kocken Charlie
Charmed Warrior;Charmed Warrior
Chasm Crawler;Chasm Crawler
Checkal;Checkal
Cheerleader;Cheerleader
Chef Olivia;Kocken Olivia
Chemist;Kemist
Cheryl;Cheryl
Chicken;Kyckling
Chief Farmer;Huvudbonde
Chief Tess;Chef Tess
Chief servant;Övertjänare
Child;Barn
Chinchompa;Chinchompa
Choke devil;Kväva djävulen
Chompy bird;Chompy fågel
Chompy chick;Chompy brud
Chronozon;Chronozon
Chronozon (hard);Chronozon (hårt)
Chuck;Chuck
Cirdan;Cirdan
City guard;Stadsvakt
Civilian;Civil
Clan Guard;Klanvakt
Claude;Claude
Claus the chef;Kocken Claus
Clay golem;Lera golem
Cleaner;Rengöringsmedel
Cleddyf;Cleddyf
Clerk;Kontorist
Clerris;Clerris
Clivet;Clivet
Clockwork cat;Urverk katt
Clothears;Kläder
Co-ordinator;Samordnare
Coal;Kol
Cob;Majskolv
Cockathrice;Cockathrice
Cockatrice;Basilisk
Coenus;Coenus
Col. O'Niall;Överste O'Niall
Colonel Grimsson;Överste Grimsson
Colonel Radick;Överste Radick
Colossal Hydra;Kolossal Hydra
Combat Instructor;Stridsinstruktör
Combat Test;Stridstest
Combat Test (maxhit);Stridstest (maxhit)
Combat stone;Stridssten
Commander Connad;Kommendör Connad
Commander Fullore;Kommendör Fullore
Commander Montai;Kommendör Montai
Commander Veldaban;Kommendör Veldaban
Commander Zilyana;Kommendör Zilyana
Commissioner Anwar;Kommissionär Anwar
Competition Judge;Tävlingsdomare
Confused barbarian;Förvirrad barbar
Confusion beast;Förvirring best
Conrad King;Konrad kung
Conwenna;Conwenna
Cook;Laga mat
Cooking tutor;Matlagning handledare
Cool Mom227;Cool mamma227
Copper longtail;Koppar longtail
Copper ore;Kopparmalm
Corkat quo Sihar;Corkat quo Sihar
Cormorant;Skarv
Cornelius;Cornelius
Corporeal Beast;Corporale odjuret
Corporeal Critter;Korporell Critter
Corpse;Lik
Corrupt Lizardman;Korrupt Lizardman
Corrupt Lizardman (hard);Corrupt Lizardman (hård)
Corrupted Bat;Korrupt Bat
Corrupted Bear;Korrupt björn
Corrupted Dark Beast;Korrupt Dark Beast
Corrupted Dragon;Korrupt drake
Corrupted Hunllef;Fördärvade Hunllef
Corrupted Rat;Korrupt råtta
Corrupted Scorpion;Korrupt skorpion
Corrupted Spider;Korrupt spindel
Corrupted Unicorn;Korrupt Unicorn
Corrupted Wolf;Korrupt varg
Corrupted Youngllef;Korrupt Youngllef
Corrupted scavenger;Korrupt asätare
Corsair Traitor;Corsair Traitor
Corsair Traitor (hard);Corsair Traitor (hård)
Cosmic Being;Kosmiskt väsen
Council workman;Rådsarbetare
Councillor Andrews;Rådman Andrews
Councillor Halgrive;Rådman Halgrive
Councillor Orson;Rådman Örson
Councillor Unkar;Rådman Unkar
Count Check;Räkna Check
Count Draynor;Greve Draynor
Count Draynor (hard);Greve Draynor (hård)
Court judge;Domare
Cow;Ko
Cow (hard);Ko (hård)
Cow calf;Ko kalv
Cow31337Killer;Cow31337Mördare
Cowardly Bandit;Feg bandit
Crab;Krabba
Crafting tutor;Hantverkslärare
Crate;Spjällåda
Crate goblin;Crate goblin
Crawling Hand;Krypande Hand
Crawling hand;Krypande hand
Crazy archaeologist;Galen arkeolog
Creakyknees;Creakyknees
Crefydd;Crefydd
Crimson swift;Crimson swift
Crimsonette van Marr;Crimsonette van Marr
Crocodile;Krokodil
Crondis;Crondis
Crone;Kärring
Crow;Gala
Crunchy;Knaprig
Crusher;Kross
Crushing hand;Krossande hand
Crust of ice;Skorpa av is
Crypt rat;Kryptråtta
Crypt spider;Kryptspindel
Crystal impling;Kristall impling
Crystalline Bat;Kristallinsk fladdermus
Crystalline Bear;Kristallin björn
Crystalline Dark Beast;Kristallint mörkt odjur
Crystalline Dragon;Kristallin drake
Crystalline Hunllef;Kristallin Hunllef
Crystalline Rat;Kristallin råtta
Crystalline Scorpion;Kristallin skorpion
Crystalline Spider;Kristallin spindel
Crystalline Unicorn;Kristallin enhörning
Crystalline Wolf;Kristallin varg
Cuffs;Manschetter
Culinaromancer;Kulinaromantiker
Culinaromancer (hard);Culinromancer (hård)
Curator Haig Halen;Kurator Haig Halen
Curly;Lockig
Curpile Fyod;Curpile Fyod
Curufin;Curufin
Customer;Kund
Customs officer;tulltjänsteman
Cute creature;Söt varelse
Cyclops;Cyklop
Cyreg Paddlehorn;Cyreg Paddlehorn
Cyrisus;Cyrisus
Da Vinci;Da Vinci
Dad;Pappa
Dad (hard);Pappa (hårt)
Daer Krand;Daer Krand
Daero;Daero
Daga;Daga
Dagannoth;Dagannoth
Dagannoth Prime;Dagannoth Prime
Dagannoth Prime Jr.;Dagannoth Prime Jr.
Dagannoth Rex;Dagannoth Rex
Dagannoth Rex Jr.;Dagannoth Rex Jr.
Dagannoth Supreme;Dagannoth Supreme
Dagannoth Supreme Jr.;Dagannoth Supreme Jr.
Dagannoth fledgeling;Dagannoth nybörjare
Dagannoth mother;Dagannoth mamma
Dagannoth mother (hard);Dagannoth mamma (hård)
Dagannoth spawn;Dagannoth spawn
Dakh'thoulan Aegis;Dakh'thoulan Aegis
Dalal;Dalal
Dalcian Fang (easy);Dalcian Fang (lätt)
Dalila;Dalila
Dallas Jones;Dallas Jones
Dalldav;Dalldav
Damaged clay golem;Skadad lergolem
Damien Leucurte;Damien Leucurte
Damis;Damis
Damis (hard);Damis (hård)
Dampe;Dampe
Damwin;Damwin
Dantaera;Dantaera
Darcor quo Narga;Darcor quo Narga
Dark Ankou;Mörk Ankou
Dark Core;Mörk kärna
Dark Mage;Mörk Mage
Dark Squirrel;Mörk ekorre
Dark beast;Mörkt odjur
Dark core;Mörk kärna
Dark energy core;Mörk energikärna
Dark kebbit;Mörk kebbit
Dark mage;Mörk magi
Dark warrior;Mörk krigare
Dark wizard;Mörk trollkarl
Darkmeyer Slave;Darkmeyer slav
Darren;Darren
Dartog;Dartog
Darve;Darve
Daryl;Daryl
Dashing kebbit;Knäckande kebbit
Dave;Dave
Davey;Davey
David;David
David Andrews;David Andrews
Davon;Davon
Dawn;Gryning
Dead Monk;Död munk
Dead swamp snake;Död träsk orm
Deadly red spider;Dödlig röd spindel
Death;Död
Death spawn;Death spawn
Death wing;Dödsvingen
Deathly mage;Dödlig mage
Deathly ranger;Dödlig ranger
Debra;Debra
Defiler;Defiler
Del-Monty;Del-Monty
Delrith;Delrith
Demon;Demon
Demon butler;Demon butler
Demonic gorilla;Demonisk gorilla
Denadu;Denadu
Denath;Denath
Denulth;Denulth
Deranged archaeologist;Förvirrad arkeolog
Derni;Derni
Dernu;Dernu
Derrik;Derrik
Derse Venator;Derse Venator
Derwen;Derwen
Desert Lizard;Öknen ödla
Desert Phoenix;Desert Phoenix
Desert Spirit;Ökenanda
Desert Wolf;Desert Wolf
Desert eagle;Ökenörn
Desert snake;Öken orm
Desmodus Lasiurus;Desmodus Lasiurus
Despoina Callidra;Despoina Callidra
Dessourt;Dessourt
Dessourt (hard);Dessourt (hårt)
Dessous;Dessous
Dessous (hard);Dessous (hårt)
Devan Rutter;Devan Rutter
Deviant spectre;Avvikande spöke
Devin Mendelberg;Devin Mendelberg
Dharok the Wretched;Dharok den eländiga
Diana;Diana
Diango;Diango
Dig Site workman;Gräv plats arbetare
Digsite workman;Digsite arbetare
Dimintheis;Dimintheis
Diol;Diol
Diphylla Bechstein;Diphylla Bechstein
Dire Wolf;Dire Wolf
Disciple of Iban;Lärjunge till Iban
Disciple of Yama;Lärjunge till Yama
Dobwinkle;Dobwinkle
Dock worker;Hamnarbetare
Dockmaster;Dockmaster
Doctor Orbon;Doktor Orbon
Dodgy Squire;Dodgy Squire
Dog;Hund
Doll;Docka
Dominic Onion;Dominic Lök
Dommik;Dommik
Don;Don
Don't Know What;Vet inte vad
Donal;Donal
Dondakan the Dwarf;Dvärgen Dondakan
Donie;Donie
Donny the lad;Donny pojken
Donovan the Family Handyman;Familjehantverkaren Donovan
Doomion;Doomion
Doomsayer;Doomsayer
Door;Dörr
Door man;Dörrman
Door-support;Dörrstöd
Doric;Doriska
Doris;Doris
Double agent;Dubbelagent
Doug Deeping;Doug Deeping
Doyen;Doyen
Dr Fenkenstrain;Dr Fenkenstrain
Dr Ford;Dr Ford
Dr Harlow;Dr Harlow
Dr Jekyll;Dr Jekyll
Draconis Sanguine;Draconis Sanguine
Dragon display;Dragon display
Dragon impling;Dragon impling
Dragonkin;Dragonkin
Drain pipe;Avloppsrör
Drake;Ankbonde
Drasdan Ranor;Drasdan Ranor
Draul Leptoc;Draul Leptoc
Dreven;Dreven
Drew;Drew
Drezel;Drezel
Driftwood;Drivved
Drill Sergeant;Drill Sergeant
Droalak;Droalak
Drogo dwarf;Drogo dvärg
Dromund;Dromund
Dromund's cat;Dromunds katt
Dron;Dron
Druid;Druid
Drunken Ali;Berusade Ali
Drunken Dwarf;Berusad dvärg
Drunken Dwarf's Leg;Drunken Dwarf's Leg
Drunken man;Berusad man
Drunken soldier;Berusad soldat
Dryad;Dryad
Duck;Anka
Duckling;Ankunge
Ducklings;Ankungar
Dugopul;Dugopul
Duke;Hertig
Duke Horacio;Hertig Horacio
Dummy;Dummy
Dumpy;Kort och tjock
Dunce;Dumhuvud
Dung;Dynga
Dungeon rat;Dungeon råtta
Dunstan;Dunstan
Duradel;Duradel
Durgok;Durgok
Dusk;Skymning
Dust devil;Damm djävulen
Dusty Aliv;Dusty Aliv
Dusuri;Dusuri
Dwarf;Dvärg
Dwarf gang member;Dvärggängmedlem
Dwarven Boatman;Dwarven Boatman
Dwarven Engineer;Dvärg ingenjör
Dwarven Ferryman;Dwarven Ferryman
Dwarven Miner;Dwarven Miner
Eadburg;Eadburg
Eadgar;Eadgar
Eagle;Örn
Earth Warrior Champion;Earth Warrior Champion
Earth elemental;Jorden elementär
Earth impling;Jorden implar
Earth warrior;Jordkrigare
Earth wizard;Earth wizard
Earwen;Earwen
Eblis;Eblis
Echned Zekin;Echned Zekin
Eclectic impling;Eklektisk impling
