 Sneaky undead fowl;Galinha morta-viva sorrateira
Altar;Altar
Altarkiz;Altarkiz
Aluft Gianne snr.;Aluft Gianne Sr.
Alviss;Alviss
Alwyn;Alwyn
Alyssa;Alyssa
Ambassador Alvijar;Embaixador Alvijar
Ambassador Ferrnook;Embaixador Ferrnook
Ambassador Gimblewap;Embaixador Gimblewap
Ambassador Spanfipple;Embaixador Spanfipple
Amelia;Amélia
Ammonite Crab;Caranguejo Amonita
Amrod;Amrod
Amy;Amém
An old Dwarf;Um velho anão
Ana;Ana
Anaire;Anaire
Ancient Fungi;Fungos Antigos
Ancient Ghost;Fantasma Antigo
Ancient Guardian;Antigo Guardião
Ancient Wizard;Feiticeiro Antigo
Ancient Wyvern;Wyvern Antigo
Ancient Zygomite;Zigomita Antigo
Ancient monkey;Macaco antigo
Andiess Juip;Andiess Juip
Andras;Andras
Andrea;Andreia
Andros Mai;Andros Mai
Aneirin;Aneirin
Angel;Anjo
Angelo;Ângelo
Angry barbarian spirit;Espírito bárbaro irritado
Angry bear;Urso irritado
Angry giant rat;Rato gigante irritado
Angry goblin;Duende irritado
Angry unicorn;Unicórnio irritado
Animated Adamant Armour;Armadura Adamant Animada
Animated Black Armour;Armadura Negra Animada
Animated Bronze Armour;Armadura de Bronze Animada
Animated Iron Armour;Armadura de Ferro Animada
Animated Mithril Armour;Armadura de Mithril Animada
Animated Rune Armour;Armadura Rúnica Animada
Animated Steel Armour;Armadura de Aço Animada
Animated spade;Espada animada
Animated steel armour;Armadura de aço animada
Anita;Anitta
Anja;Anja
Ankou;Ankou
Anleif;Anelif
Anna;Ana
Anna Jones;Ana Jones
Anne Isaakson;Anne Isaacson
Annette;Annette
Annoyed guardian mummy;Múmia guardiã irritada
Anton;Anton
Anwen;Anwen
Apmeken;Apmeken
Apothecary;Boticário
Apprentice;Aprendiz
Apprentice (medium);Aprendiz (médio)
Apprentice workman;Trabalhador aprendiz
Aranwe;Aranwe
Archaeological expert;Perito arqueológico
Archaeologist;Arqueólogo
Archeio;Archeio
Archer;Arqueiro
Archpriest of the Unicorn;Arcipreste do Unicórnio
Arcis;Arcis
Aredhel;Aredhel
Aretha;Aretha
Arhein;Arhein
Arianwyn;Arianwyn
Arianwyn (hard);Arianwyn (difícil)
Aristarchus;Aristarco
Armadylean guard;Guarda Armadyliano
Armod;Armad
Armour salesman;Vendedor de armadura
Armoured Foe;Inimigo Blindado
Armourer (tier 1);Armeiro (nível 1)
Armourer (tier 2);Armeiro (nível 2)
Armourer (tier 3);Armeiro (nível 3)
Armourer (tier 4);Armeiro (nível 4)
Armourer (tier 5);Armeiro (nível 5)
Army Commander;Comandante do Exército
Arno;Arno
Arnold Lydspor;Arnold Lydspor
Arnor;Arnor
Arrg;Arrg
Arrg (hard);Arrg (difícil)
Arsen the Thief;Arsen, o Ladrão
Art;Arte
Art Critic Jacques;Crítico de arte Jacques
Arthur;Artur
Arthur the Clue Hunter;Arthur, o caçador de pistas
Artimeus;Artimeu
Artur Hosidius;Artur Hosídio
Arvel;Arvel
Arzinian Avatar of Magic;Avatar Arziniano da Magia
Arzinian Avatar of Ranging;Avatar Arziniano de Alcance
Arzinian Avatar of Strength;Avatar Arziniano da Força
Arzinian Being of Bordanzan;Ser Arziniano de Bordanzan
Ash;Cinzas
Ashild;Ashild
Askeladden;Askeladden
Assassin;Assassino
Assistant;Assistente
Assistant Brock;Assistente Brock
Assistant Le Smith;Assistente Le Smith
Assistant Lori;Assistente Lori
Assistant Marrow;Medula Assistente
Assistant Serf;Servo Assistente
Assistant Stan;Assistente Stan
Asteros Arceuus;Asteros Arceuus
Asyff;Asyff
Asyn Shade;Sombra Assíncrona
Asyn Shadow;Sombra Asyn
Asyn shadow;Sombra assíncrona
Atlas;Atlas
Aubury;Aubury
Auctioneer;Leiloeiro
Audmann;Audmann
Auguste;Augusto
Aurel;Aurel
Austri;Áustria
Autumn Elemental;Elemental de Outono
Ava;Ava
Avan;Avan
Avatar of Creation;Avatar da Criação
Avatar of Destruction;Avatar da Destruição
Aviansie;Aviansie
Awakened Altar;Altar Desperto
Awowogei;Awowogei
Awusah the Mayor;Awusah, o prefeito
Ayesha;Ayesha
Azzanadra;Azzanadra
Baba Yaga;Baba Yaga
Baby Chinchompa;Bebê Chinchompa
Baby Mole;Toupeira bebê
Baby Mole-rat;Bebê rato-toupeira
Baby Roc;Bebê Roc
Baby black dragon;Bebê dragão negro
Baby blue dragon;Dragão azul bebê
Baby green dragon;Bebê dragão verde
Baby impling;Bebê implicável
Baby red dragon;Bebê dragão vermelho
Baby tanglefoot;Bebê emaranhado
Badger;Texugo
Bailey;Bailey
Baker;Padeiro
Bakuna;Bakuna
Bald Headed Eagle;Águia careca
Balfrug Kreeyath;Balfrug Kreeyath
Balloon Animal;Animal Balão
Balloon Toad;Sapo Balão
Bandit;Bandido
Bandit Leader;Líder bandido
Bandit champion;Campeão bandido
Bandit shopkeeper;Lojista bandido
Bandosian guard;Guarda Bandosiano
Banisoch;Banisoch
Bank guard;Guarda do banco
Banker;Banqueiro
Banker tutor;Tutor de banqueiro
Banknote Exchange Merchant;Comerciante de troca de notas
Banshee;Banshee
Baraek;Baraek
Barb-tailed kebbit;Kebbit de cauda farpada
Barbara;Bárbara
Barbarian;Bárbaro
Barbarian Warlord;Senhor da Guerra Bárbaro
Barbarian guard;Guarda bárbaro
Bardur;Bardur
Barfy Bill;Barfy Bill
Barge foreman;Capataz de barcaça
Barge guard;Guarda de barcaça
Barge workman;Trabalhador de barcaça
Bark Blamish Snail;Casca de caracol Blamish
Barker;Ladrador
Barlak;Barlak
Barmaid;Garçonete
Barman;Barman
Barnabus Hurma;Barnabé Hurma
Barrelchest;Baú de barril
Barrelchest (hard);Peito de barril (duro)
Barricade;Barricada
Bartak;Bartak
Bartender;Barman
Basilisk;Basilisco
Basilisk Knight;Cavaleiro Basilisco
Basilisk Sentinel;Sentinela Basilisco
Basilisk Youngling;Filhote de Basilisco
Bast;Bast
Bat;Bastão
Batt Mellamy;Batt Mellamy
Battle mage;Mago de batalha
Battle tortoise display;Exibição de tartaruga de batalha
Baxtorian;Baxtoriano
Bear Cub;Filhote de urso
Bearded gorilla;Gorila barbudo
Beaver;Castor
Bed;Cama
Bedabin Nomad;Nômade Bedabino
Bedabin Nomad Fighter;Lutador Nômade Bedabin
Bedabin Nomad Guard;Guarda Nômade Bedabin
Bedread the bold;Leia o negrito
Bee keeper;Apicultor
Bees!;Abelhas!
Beggar;Mendigo
Beigarth;Beigarth
Beite;Beite
Bellemorde;Bellemorde
Belona;Belona
Bench;Banco
Benjamin;Benjamin
Benny;Benny
Bentamir;Bentamir
Bernald;Bernardo
Berry;Baga
Berserk barbarian spirit;Espírito bárbaro furioso
Bert;Bert
Betty;Betty
Biblia;Bíblia
Big Dave;Grande Dave
Big Snake;Cobra Grande
Big Wolf;Lobo Grande
Big frog;Sapo grande
BigRedJapan;BigRedJapão
Bill Teach;Bill ensina
Billy;Billy
Billy Goat;Bode
Billy Rehnison;Billy Rehnison
Billy, a guard of Falador;Billy, um guarda de Faladore
Bird;Pássaro
Bjorn;Bjorn
Black Cat;Gato preto
Black Guard;Guarda Negra
Black Guard Berserker;Berserker da Guarda Negra
Black Heather;Urze Negra
Black Knight;Cavaleiro Negro
Black Knight Captain;Capitão Cavaleiro Negro
Black Knight Titan;Cavaleiro Negro Titã
Black Knight Titan (hard);Cavaleiro Negro Titã (difícil)
Black bear;Urso preto
Black chinchompa;Chinchompa preta
Black demon;Demônio negro
Black demon (hard);Demônio negro (difícil)
Black dragon;Dragão negro
Black golem;Golem negro
Black knight;Cavaleiro negro
Black salamander;Salamandra preta
Black swan;Cisne negro
Black unicorn;Unicórnio preto
Black unicorn Foal;Potro unicórnio preto
Black warlock;Bruxo negro
Blackjack seller;Vendedor de blackjack
Blaec;Blaec
Blair;Blair
Blandebir;Blandebir
Blanin;Blanin
Blasidar the sculptor;Blasidar, o escultor
Blast Furnace Foreman;Encarregado de Alto Forno
Blessed giant rat;Abençoado rato gigante
Blessed spider;Aranha abençoada
Bloated Toad;Sapo inchado
Blood Blamish Snail;Caracol da Culpa de Sangue
Blood spawn;Geração de sangue
Bloodhound;Cão de caça
Bloodveld;Veld Sangrento
Bloodworm;Verme de sangue
Blue Monkey;Macaco Azul
Blue Opal Director;Diretor Opala Azul
Blue Opal Secretary;Secretária Opala Azul
Blue Sheep;Ovelha Azul
Blue dragon;Dragão azul
Blurberry;Mirtilo
Boar;Javali
Boat;Barco
Bob;Prumo
Bob Barter (herbs);Bob Barter (ervas)
Bob, another guard of Falador;Bob, outro guarda de Faladore
Bobawu;Bobawu
Bobbing fossil;Balançando fóssil
Body Golem;Golem Corporal
Bolkoy;Bolkóy
Bologa;Bolonha
Bolongo;Bolongo
Bonafido;Bonafido
Boneguard;Guarda-ossos
Bones;Ossos
Bonzara;Bonzara
Bonzo;Bonzo
Boot;Bota
Border Guard;Guarda de Fronteira
Boris;Bóris
Bork Sigmundson;Bork Sigmundson
Borrokar;Borrokar
Boulder;Pedregulho
Bouncer;Segurança
Bouncer (hard);Segurança (difícil)
Bouquet Mac Hyacinth;Bouquet Mac Jacinto
Bow and Arrow salesman;Vendedor de arco e flecha
Boy;Garoto
Brambickle;amoreira silvestre
Brana;Brana
Branwen;Branwen
Brassican Mage;Mago Brassicano
Bravek;Corajoso
Brawler;Lutador
Bree;Bree
Breive;Breive
Brendt;Brendt
Breoca;Breoca
Brewer;Cervejeiro
Brian;Brian
Brian O'Richard;Brian O'Richard
Briget;Briget
Brimstail;Brimstail
Brine rat;Rato de salmoura
Broddi;Broddi
Broken Handz;Mão Quebrada
Broken clay golem;Golem de argila quebrada
Bronze dragon;Dragão de bronze
Broodoo victim;Vítima Broodoo
Brother Aimeri;Irmão Aimeri
Brother Althric;Irmão Althric
Brother Brace;Irmão Brace
Brother Cedric;Irmão Cedrico
Brother Jered;Irmão Jered
Brother Kojo;Irmão Kojo
Brother Maledict;Irmão Maldito
Brother Omad;Irmão Omad
Brother Tranquility;Irmão Tranquilidade
Brown Engine Director;Diretor de Motor Brown
Brown Engine Secretary;Secretário de Motores Brown
Brugsen Bursen;Brugsen Bursen
Bruise Blamish Snail;Caracol de contusão e culpa
Brundt the Chieftain;Brundt, o Chefe
Brutal black dragon;Dragão negro cruel
Brutal blue dragon;Dragão azul brutal
Brutal green dragon;Dragão verde brutal
Brutal red dragon;Dragão vermelho brutal
Bryn;Brinna
Bryophyta;Briófita
Bugs;Erros
Builder;Construtor
Buinn;Buinn
Bullrush;Bullrush
Bunkdo;Beliche
Bunkwicket;Beliche
Bunny;Coelhinho
Burkor;Burkor
Burntmeat;Carne queimada
Burntof;Queimado
Bush snake;Cobra do mato
Butler;Mordomo
Butler Jarvis;Mordomo Jarvis
Butler Jones;Mordomo Jones
Butterfly;Borboleta
Cabin Boy Colin;Garoto da cabine Colin
Cabin Boy Herbert;Garoto da cabine Herbert
Cabin boy;Garoto da cabine
Cabin boy Jenkins;Garoto da cabine Jenkins
Caden Azro;Caden Azro
Caerwyn;Caerwyn
Cage;Jaula
Caleb;Calebe
Calin;Calin
Callisto;Calisto
Callisto cub;Filhote de Calisto
Cam the Camel;Cam, o camelo
Camarst;Camarst
Camel;Camelo
Camel display;Exibição de camelo
Camorra;Camorra
Camp dweller;Morador do acampamento
Candle maker;Fabricante de velas
Candle seller;Vendedor de velas
Caninelle Draynar;Caninelle Draynar
Cannoneer;Artilheiro
Cap'n Hand;Capitão Mão
Cap'n Izzy No-Beard;Capitão Izzy sem barba
Capt' Arnav;Capitão Arnav
Captain;Capitão
Captain Barnaby;Capitão Barnaby
Captain Bentley;Capitão Bentley
Captain Bleemadge;Capitão Bleemadge
Captain Braindeath;Capitão Morte Cerebral
Captain Bruce;Capitão Bruce
Captain Cain;Capitão Caim
Captain Cleive;Capitão Cleive
Captain Daerkin;Capitão Daerkin
Captain Dalbur;Capitão Dalbur
Captain Donnie;Capitão Donnie
Captain Dudi;Capitão Dudi
Captain Errdo;Capitão Errdo
Captain Ginea;Capitão Gineá
Captain Janaway;Capitão Janaway
Captain Kalt;Capitão Kalt
Captain Khaled;Capitão Khaled
Captain Klemfoodle;Capitão Klemfoodle
Captain Lamdoo;Capitão Lamdoo
Captain Lawgof;Capitão Lawgof
Captain Magoro;Capitão Magoro
Captain Ned;Capitão Ned
Captain Ninto;Capitão Ninto
Captain Pudi;Capitão Pudi
Captain Rachelle;Capitã Raquel
Captain Rimor;Capitão Rimor
Captain Rovin;Capitão Rovin
Captain Sdiar;Capitão Sdiar
Captain Shanks;Capitão Shanks
Captain Shoracks;Capitão Shoracks
Captain Siad;Capitão Siad
Captain Tobias;Capitão Tobias
Captain Tock;Capitão Tock
Captain Tom;Capitão Tom
Carado;Carado
Caranthir;Caranthir
Carl;Carlos
Carla;Karla
Carnivorous chinchompa;Chinchompa carnívora
Carnivus Belamorta;Carnivus Belamorta
Carol;Carol
Caroline;Carolina
Carpenter;Carpinteiro
Carpenter Kjallak;Carpinteiro Kjallak
Cart Camel;Carrinho Camelo
Cart conductor;Condutor de carrinho
Cassie;Cássia
Cat;Gato
Catablepon;Catablepon
Catalina;Catarina
Cave Scenery;Cenário da Caverna
Cave abomination;Abominação da caverna
Cave bug;Inseto da caverna
Cave bug larva;Larva de inseto da caverna
Cave crawler;Rastreador de cavernas
Cave goblin;Duende das cavernas
Cave goblin child;Criança goblin das cavernas
Cave goblin guard;Guarda goblin da caverna
Cave goblin miner;Mineiro goblin das cavernas
Cave horror;Terror da caverna
Cave kraken;Kraken da caverna
Cave lizard;Lagarto da caverna
Cave monk;Monge da caverna
Cave slime;Lodo da caverna
Cave snake;Cobra da caverna
Cavemouth;Boca da Caverna
Cavey Davey;Cavey Davey
Cecilia;Cecília
Celebrian;Celebridade
Celegorm;Celegorm
Celyn;Celina
Centaur;Centauro
Ceolburg;Ceolburgo
Cerberus;Cérbero
Ceril Carnillean;Ceril Carnillean
Cerulean twitch;Contração cerúlea
Ceto;Ceto
Chadwell;Chadwell
Chaeldar;Chaeldar
Chamber guardian;Guardião da Câmara
Chancy;Azarado
Chaos Elemental;Elemental do Caos
Chaos Elemental Jr.;Elemental do Caos Jr.
Chaos Fanatic;Fanático do Caos
Chaos Golem;Golem do Caos
Chaos druid;Druida do caos
Chaos druid warrior;Guerreiro Druida do Caos
Chaos dwarf;Anão do caos
Chaotic death spawn;Geração de morte caótica
Charles;Carlos
Charles Charlington;Carlos Charlington
Charley;Charley
Charlie;Charlie
Charlie Brown;Charlie Brown
Charlie the Tramp;Charlie, o Vagabundo
Charlie the cook;Charlie, o cozinheiro
Charmed Warrior;Guerreiro Encantado
Chasm Crawler;Rastreador do Abismo
Checkal;Verificador
Cheerleader;Líder de torcida
Chef Olivia;Chef Olívia
Chemist;Químico
Cheryl;Cheryl
Chicken;Frango
Chief Farmer;Fazendeiro Chefe
Chief Tess;Chefe Tess
Chief servant;Servo-chefe
Child;Criança
Chinchompa;Chinchompa
Choke devil;Diabo sufocado
Chompy bird;Pássaro picador
Chompy chick;Garota picante
Chronozon;Cronozon
Chronozon (hard);Cronozon (difícil)
Chuck;Mandril
Cirdan;Círdan
City guard;Guarda Municipal
Civilian;Civil
Clan Guard;Guarda do Clã
Claude;Cláudio
Claus the chef;Noel, o chef
Clay golem;Golem de argila
Cleaner;Limpador
Cleddyf;Cleddyf
Clerk;Atendente
Clerris;Clerris
Clivet;Clivet
Clockwork cat;Gato mecânico
Clothears;Roupas
Co-ordinator;Coordenador
Coal;Carvão
Cob;Espiga
Cockathrice;Cockatrice
Cockatrice;Basilisco
Coenus;Coeno
Col. O'Niall;Coronel O'Niall
Colonel Grimsson;Coronel Grimsson
Colonel Radick;Coronel Radick
Colossal Hydra;Hidra Colossal
Combat Instructor;Instrutor de Combate
Combat Test;Teste de Combate
Combat Test (maxhit);Teste de Combate (maxhit)
Combat stone;Pedra de combate
Commander Connad;Comandante Connad
Commander Fullore;Comandante Fullore
Commander Montai;Comandante Montai
Commander Veldaban;Comandante Veldaban
Commander Zilyana;Comandante Zilyana
Commissioner Anwar;Comissário Anwar
Competition Judge;Juiz da Competição
Confused barbarian;Bárbaro confuso
Confusion beast;Besta da confusão
Conrad King;Conrado Rei
Conwenna;Conwenna
Cook;Cozinhar
Cooking tutor;Tutor de culinária
Cool Mom227;Legal Mãe227
Copper longtail;Cauda longa de cobre
Copper ore;Minério de cobre
Corkat quo Sihar;Corkat quo Sihar
Cormorant;Cormorão
Cornelius;Cornélio
Corporeal Beast;Besta Corpórea
Corporeal Critter;Criatura Corpórea
Corpse;Cadáver
Corrupt Lizardman;Homem Lagarto Corrupto
Corrupt Lizardman (hard);Lizardman Corrupto (difícil)
Corrupted Bat;Morcego Corrompido
Corrupted Bear;Urso Corrompido
Corrupted Dark Beast;Besta Negra Corrompida
Corrupted Dragon;Dragão Corrompido
Corrupted Hunllef;Hunllef Corrompido
Corrupted Rat;Rato Corrompido
Corrupted Scorpion;Escorpião Corrompido
Corrupted Spider;Aranha Corrompida
Corrupted Unicorn;Unicórnio Corrompido
Corrupted Wolf;Lobo Corrompido
Corrupted Youngllef;Youngllef corrompido
Corrupted scavenger;Limpador corrompido
Corsair Traitor;Traidor Corsário
Corsair Traitor (hard);Corsário Traidor (difícil)
Cosmic Being;Ser Cósmico
Council workman;Trabalhador do conselho
Councillor Andrews;Conselheiro Andrews
Councillor Halgrive;Conselheiro Halgrive
Councillor Orson;Conselheiro Orson
Councillor Unkar;Conselheiro Unkar
Count Check;Verificação de contagem
Count Draynor;Conde Draynor
Count Draynor (hard);Conde Draynor (difícil)
Court judge;Juiz do tribunal
Cow;Vaca
Cow (hard);Vaca (difícil)
Cow calf;Bezerro de vaca
Cow31337Killer;Vaca31337Assassino
Cowardly Bandit;Bandido Covarde
Crab;Caranguejo
Crafting tutor;Tutor de artesanato
Crate;Caixa
Crate goblin;Duende da caixa
Crawling Hand;Mão Rastejante
Crawling hand;Mão rastejante
Crazy archaeologist;Arqueólogo maluco
Creakyknees;Joelhos rangentes
Crefydd;Crefydd
Crimson swift;Carmesim rápido
Crimsonette van Marr;Carmesim van Marr
Crocodile;Crocodilo
Crondis;Crondis
Crone;Velha
Crow;Corvo
Crunchy;Crocante
Crusher;Triturador
Crushing hand;Mão esmagadora
Crust of ice;Crosta de gelo
Crypt rat;Rato da cripta
Crypt spider;Aranha da cripta
Crystal impling;Impelente de cristal
Crystalline Bat;Morcego Cristalino
Crystalline Bear;Urso Cristalino
Crystalline Dark Beast;Besta Negra Cristalina
Crystalline Dragon;Dragão Cristalino
Crystalline Hunllef;Hunllef Cristalino
Crystalline Rat;Rato Cristalino
Crystalline Scorpion;Escorpião Cristalino
Crystalline Spider;Aranha Cristalina
Crystalline Unicorn;Unicórnio Cristalino
Crystalline Wolf;Lobo Cristalino
Cuffs;Punhos
Culinaromancer;Culinaromante
Culinaromancer (hard);Culinaromante (difícil)
Curator Haig Halen;Curador Haig Halen
Curly;Encaracolado
Curpile Fyod;Curpile Fyod
Curufin;Curufin
Customer;Cliente
Customs officer;Oficial de alfândega
Cute creature;Criatura fofa
Cyclops;Ciclope
Cyreg Paddlehorn;Chifre de remo Cyreg
Cyrisus;Cirisco
Da Vinci;Da Vinci
Dad;Pai
Dad (hard);Pai (difícil)
Daer Krand;Daer Krand
Daero;Daero
Daga;Daga
Dagannoth;Dagannoth
Dagannoth Prime;Dagannoth Prime
Dagannoth Prime Jr.;Dagannoth Prime Jr.
Dagannoth Rex;Dagannoth Rex
Dagannoth Rex Jr.;Dagannoth Rex Jr.
Dagannoth Supreme;Dagannoth Supremo
Dagannoth Supreme Jr.;Dagannoth Supremo Jr.
Dagannoth fledgeling;Novato Dagannoth
Dagannoth mother;Mãe Dagannoth
Dagannoth mother (hard);Mãe Dagannoth (difícil)
Dagannoth spawn;Desova de Dagannoth
Dakh'thoulan Aegis;Égide de Dakh'thoulan
Dalal;Dalal
Dalcian Fang (easy);Dalcian Fang (fácil)
Dalila;Dalila
Dallas Jones;Dallas Jones
Dalldav;Daldav
Damaged clay golem;Golem de argila danificado
Damien Leucurte;Damien Leucurte
Damis;Damis
Damis (hard);Damis (difícil)
Dampe;Amortecimento
Damwin;Damwin
Dantaera;Dantaera
Darcor quo Narga;Darcor quo Narga
Dark Ankou;Ankou Sombrio
Dark Core;Núcleo Sombrio
Dark Mage;Mago Negro
Dark Squirrel;Esquilo Escuro
Dark beast;Besta negra
Dark core;Núcleo escuro
Dark energy core;Núcleo de energia escura
Dark kebbit;Kebbit escuro
Dark mage;Mago negro
Dark warrior;Guerreiro sombrio
Dark wizard;Bruxo das trevas
Darkmeyer Slave;Escravo Darkmeyer
Darren;Darren
Dartog;Dartog
Darve;Darve
Daryl;Daryl
Dashing kebbit;Kebbit arrojado
Dave;David
Davey;David
David;Davi
David Andrews;David Andrews
Davon;Davon
Dawn;Alvorecer
Dead Monk;Monge Morto
Dead swamp snake;Cobra morta do pântano
Deadly red spider;Aranha vermelha mortal
Death;Morte
Death spawn;Geração da morte
Death wing;Asa da morte
Deathly mage;Mago mortal
Deathly ranger;Ranger mortal
Debra;Débora
Defiler;Profanador
Del-Monty;Del Monty
Delrith;Delrith
Demon;Demônio
Demon butler;Mordomo demônio
Demonic gorilla;Gorila demoníaco
Denadu;Denadu
Denath;Denath
Denulth;Denulth
Deranged archaeologist;Arqueólogo enlouquecido
Derni;Derni
Dernu;Dernu
Derrik;Derrik
Derse Venator;Derse Venador
Derwen;Derwen
Desert Lizard;Lagarto do Deserto
Desert Phoenix;Fênix do Deserto
Desert Spirit;Espírito do Deserto
Desert Wolf;Lobo do Deserto
Desert eagle;Águia do deserto
Desert snake;Cobra do deserto
Desmodus Lasiurus;Desmodus Lasiurus
Despoina Callidra;Despoina Callidra
Dessourt;Sobremesa
Dessourt (hard);Sobremesa (difícil)
Dessous;Dessous
Dessous (hard);Desous (difícil)
Devan Rutter;Devan Rutter
Deviant spectre;Espectro desviante
Devin Mendelberg;Devin Mendelberg
Dharok the Wretched;Dharok, o Miserável
Diana;Diana
Diango;Diango
Dig Site workman;Trabalhador do local de escavação
Digsite workman;Trabalhador de escavação
Dimintheis;Dimintheis
Diol;Diol
Diphylla Bechstein;Diphylla Bechstein
Dire Wolf;Lobo Terrível
Disciple of Iban;Discípulo de Iban
Disciple of Yama;Discípulo de Yama
Dobwinkle;Dobwinkle
Dock worker;Trabalhador portuário
Dockmaster;Mestre das docas
Doctor Orbon;Doutor Órbon
Dodgy Squire;Escudeiro desonesto
Dog;Cachorro
Doll;Boneca
Dominic Onion;Cebola Dominic
Dommik;Dommik
Don;Vestir
Don't Know What;Não sei o quê
Donal;Donal
Dondakan the Dwarf;Dondakan, o Anão
Donie;Donie
Donny the lad;Donny, o rapaz
Donovan the Family Handyman;Donovan, o faz-tudo da família
Doomion;Perdição
Doomsayer;Apocalypse
Door;Porta
Door man;Porteiro
Door-support;Suporte de porta
Doric;Dórico
Doris;Dóris
Double agent;Agente duplo
Doug Deeping;Doug Deeping
Doyen;Decano
Dr Fenkenstrain;Dr. Fenkenstrain
Dr Ford;Dr. Ford
Dr Harlow;Dr. Harlow
Dr Jekyll;Dr Jekyll
Draconis Sanguine;Draconis Sanguíneo
Dragon display;Exibição de dragão
Dragon impling;Dragão implicável
Dragonkin;Dragão
Drain pipe;Tubo de drenagem
Drake;Drake
Drasdan Ranor;Drasdan Ranor
Draul Leptoc;Draul Leptoc
Dreven;Dreven
Drew;Atraiu
Drezel;Drezel
Driftwood;Madeira flutuante
Drill Sergeant;Sargento de treinamento
Droalak;Droalak
Drogo dwarf;Drogo anão
Dromund;Dromundo
Dromund's cat;O gato de Dromund
Dron;Drone
Druid;druida
Drunken Ali;Ali bêbado
Drunken Dwarf;Anão Bêbado
Drunken Dwarf's Leg;Perna de Anão Bêbado
Drunken man;Homem bêbado
Drunken soldier;Soldado bêbado
Dryad;Dríade
Duck;Pato
